contrast	af_bin	n	lambda
blood_vs_faeces	overall	372238	0.562
blood_vs_faeces	0.01-0.05	197720	0.553
blood_vs_faeces	0.05-0.20	140897	0.55
blood_vs_faeces	0.20-0.50	19672	0.638
blood_vs_faeces	0.50-1.00	13949	0.72
respiratory_vs_faeces	overall	326146	0.498
respiratory_vs_faeces	0.01-0.05	218415	0.469
respiratory_vs_faeces	0.05-0.20	71373	0.525
respiratory_vs_faeces	0.20-0.50	20360	0.618
respiratory_vs_faeces	0.50-1.00	14575	0.673
blood_vs_faeces_unitig	overall	6280612	3.424
blood_vs_faeces_unitig	0.01-0.05	2276936	0.801
blood_vs_faeces_unitig	0.05-0.20	1289199	1.34
blood_vs_faeces_unitig	0.20-0.50	501392	3.167
blood_vs_faeces_unitig	0.50-1.00	2213085	21.135
blood_vs_faeces_unitig_fine	overall	6280612	3.424
blood_vs_faeces_unitig_fine	0.01-0.05	2276936	0.801
blood_vs_faeces_unitig_fine	0.05-0.10	854862	1.092
blood_vs_faeces_unitig_fine	0.10-0.15	262146	1.912
blood_vs_faeces_unitig_fine	0.15-0.20	172191	2.322
blood_vs_faeces_unitig_fine	0.20-0.25	121913	2.708
blood_vs_faeces_unitig_fine	0.25-0.30	86387	2.303
blood_vs_faeces_unitig_fine	0.30-0.35	75628	2.848
blood_vs_faeces_unitig_fine	0.35-0.40	80231	3.675
blood_vs_faeces_unitig_fine	0.40-0.45	68413	3.810
blood_vs_faeces_unitig_fine	0.45-0.50	68820	4.198
blood_vs_faeces_unitig_fine	0.50-0.70	352469	6.814
blood_vs_faeces_unitig_fine	0.70-1.00	1860616	23.760
variant_permnull	overall	372239	0.905
variant_permnull	0.01-0.05	197721	0.905
variant_permnull	0.05-0.10	99865	0.863
variant_permnull	0.10-0.15	32117	0.914
variant_permnull	0.15-0.20	8915	0.972
variant_permnull	0.20-0.25	5517	1.033
variant_permnull	0.25-0.30	4031	1.038
variant_permnull	0.30-0.35	3314	1.012
variant_permnull	0.35-0.40	2649	1.014
variant_permnull	0.40-0.45	2232	1.000
variant_permnull	0.45-0.50	1929	1.067
variant_permnull	0.50-0.70	6027	0.963
variant_permnull	0.70-1.00	7922	1.005
unitig_permnull	overall	418665	0.724
unitig_permnull	0.01-0.05	151595	0.91
unitig_permnull	0.05-0.10	56941	0.797
unitig_permnull	0.10-0.15	17329	1.047
unitig_permnull	0.15-0.20	11581	1.288
unitig_permnull	0.20-0.25	8237	1.277
unitig_permnull	0.25-0.30	5759	1.195
unitig_permnull	0.30-0.35	4995	1.092
unitig_permnull	0.35-0.40	5376	0.895
unitig_permnull	0.40-0.45	4496	1.097
unitig_permnull	0.45-0.50	4504	1.134
unitig_permnull	0.50-0.70	23420	1.062
unitig_permnull	0.70-1.00	124432	0.428
