drug,n_holdout,n_only_full_cohort,n_only_trainval_vocab,unpaired_examples,n_resistant,full_cohort_auroc,trainval_vocab_auroc,delta,ci_lo,ci_hi,n_boot_valid,separates_from_zero,full_n_unitigs,full_C,full_n_variants,full_n_unique_patterns,full_bonferroni_threshold,full_n_significant,full_genomic_inflation_lambda,full_pheno_var,trainval_n_unitigs,trainval_C,trainval_n_variants,trainval_n_unique_patterns,trainval_bonferroni_threshold,trainval_n_significant,trainval_genomic_inflation_lambda,trainval_pheno_var,trainval_min_samples,trainval_n_reflist
amikacin,705,3,0,SAMN06437685;SAMN06438446;SAMN06438662,127,0.9610249843337056,0.9610386071983217,-1.3622864616036345e-05,-0.0019871043695534303,0.0019141099544241892,2000,False,280743,0.01,3660845,2205416,2.2671459715536663e-08,280743,5.521112927562003,0.141695793035207,193975,0.01,2684588,2284684,2.1884864602719677e-08,193975,4.935945553026987,0.141695793035207,29,2832
ampicillin-sulbactam,448,2,0,SAMN06438446;SAMN06438662,390,0.9699381078691423,0.9674624226348364,0.0024756852343058577,-0.0005117660338096741,0.0068474449401174165,2000,False,144191,1.0,3258066,1668559,2.9965976630134144e-08,144191,8.356593559227525,0.1105697032403184,82928,1.0,2078330,1730935,2.8886122240292097e-08,82928,7.899280946521258,0.1105697032403184,19,1801
azithromycin,384,0,0,,342,0.8541492620439989,0.8446811473127264,0.009468114731272514,-0.00021106626655832117,0.020206804524135046,2000,False,8552,0.01,3076647,1366891,3.657936148529766e-08,8552,2.2561926419827603,0.10488708580242964,4785,0.01,1594531,1384236,3.612100826737637e-08,4785,2.2468862916533228,0.10488708580242964,16,1537
aztreonam,602,0,0,,491,0.8809379644410195,0.8798921120713382,0.0010458523696812438,-0.0035682988545783804,0.0068444827698986655,2000,False,22891,0.1,3318015,1849933,2.702800587913184e-08,22891,3.546657368691037,0.13336809006619582,17152,0.1,2225442,1911317,2.6159972416925087e-08,17152,3.933283939484262,0.13336809006619582,25,2404
cefazolin,593,1,0,SAMEA3357403,487,0.9850063926233001,0.9840765565069156,0.0009298361163845303,-0.0006205849027777794,0.002696884415040561,2000,False,40463,0.01,3607626,2312922,2.1617676687756873e-08,40463,4.138915236812504,0.16567724619910804,27439,0.01,2908913,2526981,1.978645664530125e-08,27439,3.827119657838751,0.16567724619910804,24,2371
cefepime,555,2,0,SAMEA3357403;SAMN06438662,362,0.8999441788566684,0.8965949102567772,0.003349268599891264,-0.003164477291212392,0.009485581090847484,2000,False,20593,0.01,3609807,2169919,2.3042334759961086e-08,20593,2.9210798832987943,0.2323179301387103,13231,0.01,2710863,2307696,2.1666632000055467e-08,13231,3.0218179467136492,0.2323179301387103,23,2226
cefotaxime,464,0,0,,298,0.9825543785881783,0.9798051265464542,0.0027492520417240485,0.0006196473243901407,0.005429599960849884,2000,True,29219,0.01,3091047,1755114,2.848817797590356e-08,29219,3.454166843252659,0.2140309155766944,16026,0.1,2021684,1797556,2.7815545106800567e-08,16026,3.409086897360336,0.2140309155766944,19,1856
cefoxitin,619,0,0,,367,0.9241706673586783,0.924430171705376,-0.0002595043466977476,-0.0031076156414597544,0.0023088941199977415,2000,False,18384,0.01,3469120,1992599,2.5092856114050044e-08,18384,2.2009318634086976,0.24463882212167867,12602,0.01,2325461,2036245,2.455500197667766e-08,12602,2.1828150557566968,0.24463882212167867,25,2472
ceftazidime,950,1,0,SAMN06438446,627,0.9741063889670701,0.9736027374938895,0.0005036514731806552,2.0225638578907913e-05,0.00104645802722966,2000,True,450950,0.001,3668351,2750677,1.817734325040708e-08,450950,10.545571123659824,0.22001634349030472,372129,0.001,3152958,2801686,1.784639677679797e-08,372129,10.061199637235585,0.22001634349030472,38,3800
ceftriaxone,681,1,0,SAMN06438662,527,0.9863229749377757,0.9863722615145765,-4.9286576800811055e-05,-0.0014734613428433018,0.0013002511324013554,2000,False,65616,0.01,3648878,2508924,1.9928861934438828e-08,65616,4.987124054511726,0.19318993350728053,47885,0.1,3064402,2687907,1.8601834066431616e-08,47885,4.692271959876146,0.19318993350728053,28,2725
