drug	status	notes	n_reflist	n_train	n_validate	n_holdout	min_samples_floor	n_colors	n_holdout_coloured	n_clusters	n_in_other	matrix_bytes	colormap_bytes	fasta_bytes	triangle_bytes
amikacin	ok		2832	2268	567	708	29	2832	0	6	1294	7713715028	3377845588	95058132	40413741
ampicillin-sulbactam	ok		1801	1441	361	450	19	1801	0	4	786	1863432072	1722857974	70791166	16550090
azithromycin	ok		1537	1231	308	384	16	1537	0	4	535	1138924496	1212942671	58647863	12135097
aztreonam	ok		2404	1926	482	602	25	2404	0	5	951	5181771849	2519070503	79541826	29286680
cefazolin	ok		2371	1900	476	594	24	2371	0	4	1209	5646441281	3190040424	96842401	28479687
cefepime	ok		2226	1784	446	557	23	2226	0	6	974	3797296860	2710331841	91948199	25087528
cefotaxime	ok		1856	1486	372	464	19	1856	0	4	1139	2010684266	1716866476	77768691	17419538
cefoxitin	ok		2472	1982	496	619	25	2472	0	5	1059	5908382538	2744453456	84966746	30930635
ceftazidime	ok		3800	3044	761	951	38	3800	0	7	1785	13426579969	5609141211	115024467	72669782
ceftriaxone	ok		2725	2183	546	682	28	2725	0	6	1351	8045202271	3895574464	105236195	37495441
cefuroxime	ok		1937	1554	389	485	20	1937	0	5	738	2105219240	1927785687	76515801	19055610
ciprofloxacin	ok		3504	2808	703	877	36	3504	0	7	1611	11832454298	5196009145	113314688	61840329
colistin	ok		1128	902	226	282	12	1128	0	3	609	426567281	558522594	42755118	6543833
ertapenem	ok		1697	1357	340	424	17	1697	0	5	848	1551925493	1374202870	72902922	14583831
gentamicin	ok		3932	3151	788	984	40	3932	0	7	1824	13581378253	5949820151	118813026	77747925
imipenem	ok		2037	1632	408	509	21	2037	0	4	812	2224904757	1812449898	70668060	21177526
levofloxacin	ok		1927	1543	387	481	20	1927	0	5	667	2001272825	1733193580	69303163	18960610
meropenem	ok		3695	2959	740	924	37	3695	0	7	1579	12417709327	5187007209	113585025	68736734
piperacillin-tazobactam	ok		2755	2207	553	690	28	2755	0	6	1344	8183505902	3705647061	101834662	38296181
tetracycline	ok		1691	1355	339	423	17	1691	0	4	737	1610599956	1587983774	71620088	14600014
tobramycin	ok		2276	1825	457	570	23	2276	0	4	1216	4440569344	2717216043	88780110	26205802
trimethoprim-sulfamethoxazole	ok		3389	2714	679	848	34	3389	0	7	1559	11123011008	4767745770	110533723	57885367
