drug,full_n_variants,trainval_n_variants,full_n_unique_patterns,trainval_n_unique_patterns,full_bonferroni_threshold,trainval_bonferroni_threshold,full_n_significant,trainval_n_significant,full_genomic_inflation_lambda,trainval_genomic_inflation_lambda,full_pheno_var,trainval_pheno_var,pheno_var_uncomputed,ratio_n_variants,ratio_n_unique_patterns,ratio_n_significant
amikacin,3660845,2684588,2205416,2284684,2.2671459715536663e-08,2.1884864602719677e-08,280743,193975,5.521112927562003,4.935945553026987,0.141695793035207,0.141695793035207,,0.7333,1.0359,0.6909
ampicillin-sulbactam,3258066,2078330,1668559,1730935,2.9965976630134144e-08,2.8886122240292097e-08,144191,82928,8.356593559227525,7.899280946521258,0.1105697032403184,0.1105697032403184,,0.6379,1.0374,0.5751
azithromycin,3076647,1594531,1366891,1384236,3.657936148529766e-08,3.612100826737637e-08,8552,4785,2.2561926419827603,2.2468862916533228,0.10488708580242964,0.10488708580242964,,0.5183,1.0127,0.5595
aztreonam,3318015,2225442,1849933,1911317,2.702800587913184e-08,2.6159972416925087e-08,22891,17152,3.546657368691037,3.933283939484262,0.13336809006619582,0.13336809006619582,,0.6707,1.0332,0.7493
cefazolin,3607626,2908913,2312922,2526981,2.1617676687756873e-08,1.978645664530125e-08,40463,27439,4.138915236812504,3.827119657838751,0.16567724619910804,0.16567724619910804,,0.8063,1.0925,0.6781
cefepime,3609807,2710863,2169919,2307696,2.3042334759961086e-08,2.1666632000055467e-08,20593,13231,2.9210798832987943,3.0218179467136492,0.2323179301387103,0.2323179301387103,,0.751,1.0635,0.6425
cefotaxime,3091047,2021684,1755114,1797556,2.848817797590356e-08,2.7815545106800567e-08,29219,16026,3.454166843252659,3.409086897360336,0.2140309155766944,0.2140309155766944,,0.654,1.0242,0.5485
cefoxitin,3469120,2325461,1992599,2036245,2.5092856114050044e-08,2.455500197667766e-08,18384,12602,2.2009318634086976,2.1828150557566968,0.24463882212167867,0.24463882212167867,,0.6703,1.0219,0.6855
ceftazidime,3668351,3152958,2750677,2801686,1.817734325040708e-08,1.784639677679797e-08,450950,372129,10.545571123659824,10.061199637235585,0.22001634349030472,0.22001634349030472,,0.8595,1.0185,0.8252
ceftriaxone,3648878,3064402,2508924,2687907,1.9928861934438828e-08,1.8601834066431616e-08,65616,47885,4.987124054511726,4.692271959876146,0.19318993350728053,0.19318993350728053,,0.8398,1.0713,0.7298
cefuroxime,3413306,2115944,1750693,1810033,2.8560118764397872e-08,2.762380575381775e-08,129927,76918,6.901772737998115,6.640174728890786,0.10107652808432048,0.10107652808432048,,0.6199,1.0339,0.592
ciprofloxacin,3679856,3186565,2710219,2830390,1.84486936295554e-08,1.766541006716389e-08,369481,296026,10.879282309583742,9.613630724553024,0.2224121551885907,0.2224121551885907,,0.8659,1.0443,0.8012
colistin,2486812,1145309,960320,967109,5.2065978007330896e-08,5.170048050426581e-08,9277,5641,1.232361625352325,1.2543551869031215,0.19397210276143048,0.19397210276143048,,0.4606,1.0071,0.6081
ertapenem,3371827,2128854,1601208,1684879,3.122642404984237e-08,2.9675721520655196e-08,31856,18656,4.197661881353812,3.8974479847297725,0.2247794905842714,0.2247794905842714,,0.6314,1.0523,0.5856
gentamicin,3705133,3202400,2775615,2861965,1.8014025720425923e-08,1.747051413976062e-08,18832,14562,1.927939283830635,1.7888151015142533,0.2394431169142979,0.2394431169142979,,0.8643,1.0311,0.7733
imipenem,3110519,1778984,1570150,1581885,3.1844091328853934e-08,3.160786024268515e-08,88262,51606,4.622862881434751,4.668955959981863,0.24694983743311333,0.24694983743311333,,0.5719,1.0075,0.5847
levofloxacin,3130183,1801111,1588357,1602103,3.147906925206361e-08,3.1208979697310346e-08,427448,249741,11.915171784113044,12.21634276331844,0.16986429158310506,0.16986429158310506,,0.5754,1.0087,0.5843
meropenem,3676280,3034421,2618859,2672628,1.9092284082495468e-08,1.8708177868375247e-08,258935,208296,6.172112252445162,5.6782566854154455,0.23216203002631286,0.23216203002631286,,0.8254,1.0205,0.8044
piperacillin-tazobactam,3658345,2977447,2462368,2611422,2.0305656993593162e-08,1.9146656495962737e-08,100689,72012,4.466944606722487,4.081346465852232,0.23737945527188645,0.23737945527188645,,0.8139,1.0605,0.7152
tetracycline,3306296,1961111,1630364,1654918,3.0667998066689405e-08,3.0212977319722184e-08,6093,3198,1.6940870541423048,1.6518912488806465,0.24958375313562145,0.24958375313562145,,0.5931,1.0151,0.5249
tobramycin,3609532,2551749,2107196,2215210,2.3728215125693103e-08,2.257122349574081e-08,114054,74426,4.885613931742768,4.27789787253198,0.24577157224001656,0.24577157224001656,,0.7069,1.0513,0.6526
trimethoprim-sulfamethoxazole,3674643,3047173,2594130,2673844,1.9274284634925775e-08,1.869966983862933e-08,53464,40355,4.692271959876146,4.33956480348028,0.22146303094184305,0.22146303094184305,,0.8292,1.0307,0.7548
