drug,ft_auroc,ft_auprc,ft_n_evaluate,ft_checkpoint,unitig_full_cohort_auroc,unitig_trainval_vocab_auroc,unitig_n_evaluate,same_holdout_n,delta_full_cohort_minus_ft,delta_trainval_vocab_minus_ft
amikacin,0.9500521772127881,0.8786214039272274,708,klebsiella_pneumoniae_amikacin_lr_0.00015_finetuned_fold00_seed1,0.9602504506213831,0.9610386071983217,705,False,0.010198273408595027,0.010986429985533563
ampicillin-sulbactam,0.9462746305418719,0.984683008633422,450,klebsiella_pneumoniae_ampicillin-sulbactam_lr_0.00015_finetuned_fold00_seed1,0.9692118226600985,0.9674624226348364,448,False,0.022937192118226646,0.021187792092964508
azithromycin,0.7992550821498191,0.9544430451163407,384,klebsiella_pneumoniae_azithromycin_lr_0.00015_finetuned_fold00_seed1,0.8541492620439989,0.8446811473127264,384,True,0.05489417989417977,0.04542606516290726
aztreonam,0.8629658171409699,0.9454085484194397,602,klebsiella_pneumoniae_aztreonam_lr_0.00015_finetuned_fold00_seed1,0.8809379644410195,0.8798921120713382,602,True,0.01797214730004959,0.016926294930368346
cefazolin,0.9860580705828168,0.9967917550805505,594,klebsiella_pneumoniae_cefazolin_lr_0.00015_finetuned_fold00_seed1,0.9849546143660405,0.9840765565069156,593,False,-0.0011034562167763218,-0.0019815140759011918
cefepime,0.8724333304933117,0.9249244681249097,557,klebsiella_pneumoniae_cefepime_lr_0.00015_finetuned_fold00_seed1,0.8994490358126722,0.8965949102567772,555,False,0.027015705319360483,0.024161579763465446
cefotaxime,0.9860616964502305,0.9885452876177926,464,klebsiella_pneumoniae_cefotaxime_lr_0.00015_finetuned_fold00_seed1,0.9825543785881783,0.9798051265464542,464,True,-0.0035073178620521617,-0.00625656990377621
cefoxitin,0.9207484537866009,0.9502825300820654,619,klebsiella_pneumoniae_cefoxitin_lr_0.00015_finetuned_fold00_seed1,0.9241706673586783,0.924430171705376,619,True,0.0034222135720773927,0.0036817179187751403
ceftazidime,0.9851758001222615,0.9928146429028777,951,klebsiella_pneumoniae_ceftazidime_lr_0.00015_finetuned_fold00_seed1,0.9740490228944411,0.9736027374938895,950,False,-0.011126777227820406,-0.011573062628371988
ceftriaxone,0.9851620916961826,0.9957820436005533,682,klebsiella_pneumoniae_ceftriaxone_lr_0.00015_finetuned_fold00_seed1,0.9862750885478158,0.9863722615145765,681,False,0.0011129968516331301,0.0012101698183938359
cefuroxime,0.9803826722562615,0.9981338941506948,485,klebsiella_pneumoniae_cefuroxime_lr_0.00015_finetuned_fold00_seed1,0.9880146189401269,0.9861872514242718,485,True,0.007631946683865354,0.005804579168010249
ciprofloxacin,0.9717209000177169,0.9863317634587978,877,klebsiella_pneumoniae_ciprofloxacin_lr_0.00015_finetuned_fold00_seed1,0.9790527372586074,0.9792005584377939,876,False,0.007331837240890482,0.007479658420076918
colistin,0.9094363929146537,0.8329618354412891,282,klebsiella_pneumoniae_colistin_lr_0.00015_finetuned_fold00_seed1,0.9187761674718197,0.9189694041867954,282,True,0.009339774557165947,0.009533011272141678
ertapenem,0.9881861633980487,0.9937495402500482,424,klebsiella_pneumoniae_ertapenem_lr_0.00015_finetuned_fold00_seed1,0.9775303045235045,0.9797320764078393,423,False,-0.010655858874544122,-0.00845408699020933
gentamicin,0.9706798503799151,0.9393615297096574,984,klebsiella_pneumoniae_gentamicin_lr_0.00015_finetuned_fold00_seed1,0.9789732517171119,0.9790426457789383,983,False,0.008293401337196804,0.008362795399023182
imipenem,0.9577978518656485,0.9542656897988337,509,klebsiella_pneumoniae_imipenem_lr_0.00015_finetuned_fold00_seed1,0.9777270751847023,0.9780687397708675,508,False,0.01992922331905378,0.020270887905219026
levofloxacin,0.963608099489796,0.9889194962609388,482,klebsiella_pneumoniae_levofloxacin_lr_0.00015_finetuned_fold00_seed1,0.9768041237113402,0.9765551398347286,480,False,0.0131960242215442,0.012947040344932659
meropenem,0.9712502836396641,0.9493573297694688,924,klebsiella_pneumoniae_meropenem_lr_0.00015_finetuned_fold00_seed1,0.9632755969039155,0.9627934699155454,923,False,-0.007974686735748637,-0.008456813724118772
piperacillin-tazobactam,0.938446098889439,0.9515213203464835,690,klebsiella_pneumoniae_piperacillin-tazobactam_lr_0.00015_finetuned_fold00_seed1,0.9486100304166372,0.9499326408338356,689,False,0.010163931527198189,0.011486541944396578
tetracycline,0.8693980916203138,0.9112191012681916,423,klebsiella_pneumoniae_tetracycline_lr_0.00015_finetuned_fold00_seed1,0.8367815312259755,0.8569626295690125,422,False,-0.032616560394338245,-0.012435462051301305
tobramycin,0.974319682284284,0.9799585843918573,570,klebsiella_pneumoniae_tobramycin_lr_0.00015_finetuned_fold00_seed1,0.9681773487083221,0.9714675838260488,568,False,-0.006142333575961945,-0.002852098458235197
trimethoprim-sulfamethoxazole,0.961420999804152,0.9721288535116839,848,klebsiella_pneumoniae_trimethoprim-sulfamethoxazole_lr_0.00015_finetuned_fold00_seed1,0.9636946729338034,0.9623863915499876,847,False,0.0022736731296514323,0.0009653917458356531
