config,mean,ingredient,gene,auroc,delta_vs_its_mean,drug
frozen_mean_only,frozen_mean,none,,0.8701012373453318,0.0,amikacin
frozen_mean+esm_gene,frozen_mean,esm,OmpK35,0.872965879265092,0.0028646419197601,amikacin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK35,0.8619422572178479,-0.0081589801274839,amikacin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK35,0.9667041619797526,0.0966029246344207,amikacin
ft_mean_only,ft_mean,none,,0.9804574428196476,0.0,amikacin
ft_mean+esm_gene,ft_mean,esm,OmpK35,0.9826621672290964,0.0022047244094488,amikacin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK35,0.9814623172103488,0.0010048743907011,amikacin
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK35,0.983427071616048,0.0029696287964005,amikacin
frozen_mean_only,frozen_mean,none,,0.9251107419712072,0.0,ampicillin-sulbactam
frozen_mean+esm_gene,frozen_mean,esm,GyrA,0.9315245478036176,0.0064138058324104,ampicillin-sulbactam
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,OmpK35,0.9587947582133628,0.0336840162421557,ampicillin-sulbactam
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK35,0.9896179401993356,0.0645071982281283,ampicillin-sulbactam
ft_mean_only,ft_mean,none,,0.9696843853820598,0.0,ampicillin-sulbactam
ft_mean+esm_gene,ft_mean,esm,GyrA,0.9697305278700628,4.614248800294263e-05,ampicillin-sulbactam
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,OmpK35,0.9871723883351792,0.0174880029531192,ampicillin-sulbactam
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK35,0.9818660022148396,0.0121816168327797,ampicillin-sulbactam
frozen_mean_only,frozen_mean,none,,0.7468571428571429,0.0,azithromycin
frozen_mean+esm_gene,frozen_mean,esm,OmpK35,0.7274285714285714,-0.0194285714285714,azithromycin
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,GyrA,0.7554285714285714,0.0085714285714285,azithromycin
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,OmpK36,0.8854285714285715,0.1385714285714285,azithromycin
ft_mean_only,ft_mean,none,,0.8215238095238095,0.0,azithromycin
ft_mean+esm_gene,ft_mean,esm,OmpK35,0.7980952380952381,-0.0234285714285714,azithromycin
ft_mean+frozen_bac_gene,ft_mean,frozen_bac,GyrA,0.8563809523809524,0.0348571428571428,azithromycin
ft_mean+ft_bac_gene,ft_mean,ft_bac,OmpK36,0.8535238095238096,0.032,azithromycin
frozen_mean_only,frozen_mean,none,,0.8651454702410115,0.0,aztreonam
frozen_mean+esm_gene,frozen_mean,esm,ParC,0.8734980518420009,0.0083525816009893,aztreonam
frozen_mean+frozen_bac_gene,frozen_mean,frozen_bac,PmrB,0.868271855533002,0.0031263852919904,aztreonam
frozen_mean+ft_bac_gene,frozen_mean,ft_bac,ParC,0.947551387041833,0.0824059168008214,aztreonam
