gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.8610259966455942,0.003995752374773554,0.9080461413023234,0.0035808268886340032,185,2446,False,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.6571652044897432,0.0,0.73486136513467,2.298380017448157e-16,1,1302,True,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.6393449232357115,1.1491900087240784e-16,0.7248785182268385,2.298380017448157e-16,1,1144,False,True,False,True
CTX-M-15,CTX-M-15,acquired_hgt,0.6287575796671396,2.298380017448157e-16,0.7160604536394672,2.298380017448157e-16,1,1322,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.6187427428718876,1.1491900087240784e-16,0.7191806452591842,2.298380017448157e-16,1,666,True,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6019062056508837,0.0,0.7113922290622453,1.1491900087240784e-16,1,482,True,False,False,False
TEM-105,TEM-105,acquired_hgt,0.5873838859502,0.0,0.694882579917513,1.1491900087240784e-16,1,774,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.5816346277899627,1.1491900087240784e-16,0.6967197656420533,2.298380017448157e-16,1,443,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.5637982195845697,1.1491900087240784e-16,0.6918958633534003,2.298380017448157e-16,1,182,True,False,False,False
SHV-11,SHV-11,acquired_hgt,0.5625645078054446,1.1491900087240784e-16,0.6900424188690872,2.298380017448157e-16,1,223,True,False,False,False
SHV-12,SHV-12,acquired_hgt,0.5521787511288866,0.0,0.6827187531756197,1.1491900087240784e-16,1,225,True,True,False,False
NDM-1,NDM-1,acquired_hgt,0.5341246290801187,0.0,0.6709363982754007,2.298380017448157e-16,1,116,True,True,False,False
KPC-3,KPC-3,acquired_hgt,0.5328909173009935,0.0,0.669135706840873,2.298380017448157e-16,1,97,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5301896529480067,0.0,0.6641897393193019,2.298380017448157e-16,1,193,True,False,False,False
SHV-67,SHV-67,acquired_hgt,0.5225051606244354,1.1491900087240784e-16,0.6618460529821355,2.298380017448157e-16,1,116,True,False,False,False
VEB-5,VEB-5,acquired_hgt,0.5136030834731002,0.0,0.655640640099026,2.298380017448157e-16,1,41,True,True,False,False
SHV-79,SHV-79,acquired_hgt,0.5123371177912528,0.0,0.6525206761391928,2.298380017448157e-16,1,107,True,False,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5105228357631272,1.1491900087240784e-16,0.6516858755467616,1.1491900087240784e-16,1,555,False,True,False,True
SHV-1,SHV-1,acquired_hgt,0.5096089751859975,0.005725446287613633,0.6513022228321984,0.0024743523639937618,1,179,True,False,False,False
SHV-13,SHV-13,acquired_hgt,0.5079022061669463,0.0,0.6504637607895986,0.0,1,33,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5076683653722098,2.298380017448157e-16,0.6515723870438611,1.1491900087240784e-16,1,35,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.5074183976261127,0.0,0.6520728797052004,1.1491900087240784e-16,1,30,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.5059347181008904,2.298380017448157e-16,0.6510249064513006,1.1491900087240784e-16,1,17,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5059347181008904,2.298380017448157e-16,0.6510249064513006,1.1491900087240784e-16,1,27,True,True,False,False
SHV-5,SHV-5,acquired_hgt,0.5043521266073195,0.004176448371210651,0.6501059872860498,0.002425021533716732,1,22,True,True,False,False
CTX-M-14,CTX-M-14,acquired_hgt,0.5021760633036598,0.0020882241856053254,0.6484691170873255,0.001213522223193392,1,29,True,True,False,False
CTX-M-27,CTX-M-27,acquired_hgt,0.5,0.0,0.6468330134357003,2.298380017448157e-16,1,12,True,True,False,False
CTX-M-3,CTX-M-3,acquired_hgt,0.4940652818991096,2.298380017448157e-16,0.6441330127119194,2.298380017448157e-16,1,12,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.4927025545090958,1.7237850130861175e-16,0.6435223328034531,1.1491900087240784e-16,1,1879,True,False,False,False
SHV-28,SHV-28,acquired_hgt,0.48850954715520595,1.7237850130861175e-16,0.6417527083113139,0.0,1,615,True,False,False,False
