gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9280844013255081,0.00144647602745059,0.9532402089767867,0.0007249558144097293,22,2797,False,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.749299317283507,1.1491900087240784e-16,0.7566557959403079,1.1491900087240784e-16,1,1417,False,True,False,True
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7478799856270212,1.1491900087240784e-16,0.7530361039087086,1.1491900087240784e-16,1,1380,True,False,False,False
KPC,KPC,acquired_hgt,0.7443406395975566,0.0,0.7806277549180755,1.1491900087240784e-16,1,842,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6398371062402682,1.1491900087240784e-16,0.6871308808968598,1.1491900087240784e-16,1,705,False,True,False,True
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.6384177745837826,0.0,0.6827242763859374,2.298380017448157e-16,1,2084,True,False,False,False
NDM,NDM,acquired_hgt,0.5993831596598395,1.1491900087240784e-16,0.668524640671722,1.1491900087240784e-16,1,301,True,True,False,False
TEM,TEM,acquired_hgt,0.5882081686429512,0.0,0.6365433576430866,1.1491900087240784e-16,1,1456,True,True,False,False
OXA,OXA,acquired_hgt,0.5817942268535157,2.298380017448157e-16,0.6326203344118284,2.298380017448157e-16,1,1427,True,True,False,False
CTX-M,CTX-M,acquired_hgt,0.558605821056414,0.0,0.6189815543044451,1.1491900087240784e-16,1,1525,True,True,False,False
DHA,DHA,acquired_hgt,0.5130434782608696,0.0,0.5984890008147545,1.1491900087240784e-16,1,32,True,True,False,False
LAP,LAP,acquired_hgt,0.5119655048508803,0.0,0.5935916013745366,0.0,1,75,True,True,False,False
CMY,CMY,acquired_hgt,0.5086956521739128,2.298380017448157e-16,0.5949040811791717,2.298380017448157e-16,1,31,True,True,False,False
VEB,VEB,acquired_hgt,0.5053659120852796,0.0,0.5903462156157405,0.0,1,38,True,True,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.5028981514752267,0.005685399490011907,0.5891677789514322,0.0027488813228822664,1,1177,True,True,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.501729548448916,0.008770411382162934,0.5886315925425091,0.004242316138975205,1,1574,True,False,False,False
FOX,FOX,acquired_hgt,0.5014492753623189,0.0,0.5889292151198676,0.0,1,12,True,True,False,False
SCO,SCO,acquired_hgt,0.501233680680321,0.0,0.58833270254339,0.0,1,20,True,True,False,False
CARB,CARB,acquired_hgt,0.4993831596598397,1.7237850130861175e-16,0.5874799397575489,0.0,1,17,True,True,False,False
