gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9905430180457927,0.0006020853555269757,0.9937729033286437,0.00035177178035623267,155,1992,False,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7495005549389566,1.1491900087240784e-16,0.7926806266110747,1.1491900087240784e-16,1,1090,True,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7328893821679615,1.1491900087240784e-16,0.7828103706951771,1.1491900087240784e-16,1,902,False,True,False,True
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.6406708595387839,1.1491900087240784e-16,0.7224822933679124,1.1491900087240784e-16,1,1509,True,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6332223455419903,1.1491900087240784e-16,0.7247717388935759,2.298380017448157e-16,1,500,True,False,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6240596867677886,2.298380017448157e-16,0.7125644960798886,1.1491900087240784e-16,1,469,False,True,False,True
KPC-3,KPC-3,acquired_hgt,0.6226415094339621,1.1491900087240784e-16,0.7237519183894554,2.298380017448157e-16,1,316,True,True,False,False
KPC-2,KPC-2,acquired_hgt,0.6137131582192624,1.1491900087240784e-16,0.715894510432743,2.298380017448157e-16,1,331,True,True,False,False
NDM-1,NDM-1,acquired_hgt,0.6005056110494512,0.0,0.7062333148480119,1.1491900087240784e-16,1,282,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.6001356517449745,1.1491900087240784e-16,0.7026947729529655,2.298380017448157e-16,1,353,True,False,False,False
OXA-48,OXA-48,acquired_hgt,0.5849056603773585,0.0,0.6961271102284012,0.0,1,221,True,True,False,False
TEM-105,TEM-105,acquired_hgt,0.5608336416327536,1.1491900087240784e-16,0.6642335870737063,0.0,1,728,True,False,False,False
TEM-150,TEM-150,acquired_hgt,0.559131828832162,1.1491900087240784e-16,0.6724494197185359,1.1491900087240784e-16,1,269,True,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.5437168578123074,1.1491900087240784e-16,0.6553960617253966,0.0,1,907,True,False,False,False
SHV-12,SHV-12,acquired_hgt,0.5364903193981994,1.1491900087240784e-16,0.6566368752068853,1.1491900087240784e-16,1,129,True,False,False,False
OXA-181,OXA-181,acquired_hgt,0.5358490566037737,1.1491900087240784e-16,0.6602148596190303,2.298380017448157e-16,1,84,True,True,False,False
NDM-4,NDM-4,acquired_hgt,0.5283018867924528,0.0,0.6546898979868196,1.1491900087240784e-16,1,81,True,True,False,False
SHV-67,SHV-67,acquired_hgt,0.5251695646812183,0.0,0.6489847164127204,1.1491900087240784e-16,1,127,True,False,False,False
OXA-232,OXA-232,acquired_hgt,0.518867924528302,1.1491900087240784e-16,0.6477836959465559,0.0,1,49,True,True,False,False
OXA-245,OXA-245,acquired_hgt,0.5094339622641508,1.1491900087240784e-16,0.6408774939062922,1.1491900087240784e-16,1,23,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.507547169811321,2.298380017448157e-16,0.6394962534982398,2.298380017448157e-16,1,11,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.5045874953755086,0.0,0.6361443159912697,0.0,1,333,True,False,False,False
SHV-1,SHV-1,acquired_hgt,0.49581945985941545,0.0,0.6320375694373895,0.0,1,161,True,False,False,False
OXA-1,OXA-1,acquired_hgt,0.4882657129937929,0.02301953846478212,0.6289336432570278,0.0108318210870256,1,673,True,False,False,False
