gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
AAC(3),acquired,263,0.8700657169320337,0.8728415957306047,0.8727478719181405,True,0.0026821549861067995
aac(3)-IIe,bakta_nonamr,181,0.7401932428722695,0.7378622691085924,0.7398304835483744,False,-0.0003627593238950677
gspL,bakta_nonamr,871,0.7339846660653359,0.7423697988156397,0.9768103651123574,False,0.24282569904702156
pqqF,bakta_nonamr,874,0.733371896937135,0.6869313502490295,0.971413094631162,False,0.23804119769402698
scsB,bakta_nonamr,858,0.7326561825953959,0.7175845131181615,0.9680698262676968,False,0.2354136436723009
bcsC,bakta_nonamr,879,0.7281192399701949,0.7335067061453391,0.9730013922114592,False,0.2448821522412643
ccmI,bakta_nonamr,874,0.7245896897917565,0.6956963998588179,0.9787467155574728,False,0.2541570257657163
ydbH,bakta_nonamr,881,0.7245676301031412,0.7057874818620338,0.9757392446762618,False,0.25117161457312065
gcvP,bakta_nonamr,881,0.7239720185105298,0.6804237421075336,0.968180124710773,False,0.24420810620024314
fadJ,bakta_nonamr,880,0.7212072042040862,0.7176212792658536,0.9758127769716458,False,0.2546055727675596
benC,bakta_nonamr,874,0.7199841170241972,0.7291437899525472,0.972138613278952,False,0.25215449625475483
ade,bakta_nonamr,878,0.7159153300129417,0.7401540256480645,0.9750504921761636,False,0.25913516216322185
rbbA,bakta_nonamr,875,0.7149422526373583,0.6724675477469705,0.9752490293737008,False,0.2603067767363425
mhpA,bakta_nonamr,875,0.7145010588650534,0.7220577277540297,0.9748666614377034,False,0.26036560257264996
menF,bakta_nonamr,880,0.7105474724498999,0.7337567159496452,0.977903545237068,False,0.2673560727871681
pgaA,bakta_nonamr,870,0.7088464253500137,0.7019123298952901,0.9817811482803248,False,0.27293472293031107
CTX-M,acquired,428,0.7037307590526177,0.6815595642394036,0.8964958320469281,False,0.19276507299431034
StrB,acquired,297,0.6964147885149736,0.6345653420367839,0.8007817668592598,True,0.10436697834428621
StrA,acquired,289,0.688949962510475,0.6636224804833943,0.7918807612578838,True,0.10293079874740874
OmpK35,chromosomal,873,0.6849474044017112,0.7311174083711904,0.9813158823269968,False,0.29636847792528564
GyrA,chromosomal,881,0.6829075331892559,0.7350924006527588,0.9820050280068804,False,0.2990974948176245
AAC(6'),acquired,446,0.6756825298813567,0.7504879151413575,0.8556515458915891,True,0.1799690160102324
SHV-OKP-LEN,acquired,833,0.6743511004278216,0.6906562872138666,0.9711716579191108,False,0.2968205574912891
Sul,acquired,429,0.6626687028624355,0.7027383892735853,0.8446417545097693,False,0.1819730516473338
ParC,chromosomal,862,0.6584290786397919,0.7303896705332333,0.9798714329819608,False,0.32144235434216883
TEM,acquired,364,0.6550164292330085,0.6600444361134389,0.841317315750011,False,0.1863008865170025
OmpK36,chromosomal,872,0.6447426454373042,0.7470201340801835,0.9778756670930182,False,0.333133021655714
PmrB,chromosomal,881,0.6434801305517577,0.7100626295593877,0.987915141357562,False,0.3444350108058043
QnrB,acquired,218,0.6287324130022495,0.588588298857672,0.7258275261324042,False,0.09709511313015473
OXA,acquired,339,0.6170169364442288,0.6623241300224938,0.7804106205619018,False,0.16339368411767297
TetA,acquired,203,0.6042401755391875,0.5888446610505887,0.6637740925329687,False,0.05953391699378119
ANT(3''),acquired,275,0.5813881047942487,0.6161679089666123,0.7177093900233759,True,0.13632128522912712
ArmA,acquired,54,0.5632084417589203,0.5602699245798968,0.5516307943368765,True,-0.011577647422043813
NDM,acquired,89,0.5628280333436245,0.5630154809685529,0.5899583204692807,False,0.027130287125656127
TetD,acquired,108,0.5574444272923742,0.5509774842323468,0.6126698054955233,False,0.0552253782031491
