gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9677741466957155,0.001101591502946336,0.9407417975536085,0.003719999296267965,153,2280,False,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.7503812636165575,2.298380017448157e-16,0.678888193175237,1.1491900087240784e-16,1,676,True,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.6949346405228757,1.1491900087240784e-16,0.5588363044398699,1.1491900087240784e-16,1,911,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.6824618736383441,1.1491900087240784e-16,0.615653360959133,2.298380017448157e-16,1,525,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.6696078431372551,1.1491900087240784e-16,0.5599812941539691,0.0,1,1653,True,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.6689542483660132,1.1491900087240784e-16,0.5436943049984391,2.298380017448157e-16,1,1198,True,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.6625272331154685,1.1491900087240784e-16,0.5346938918195197,1.1491900087240784e-16,1,1369,False,True,False,True
KPC-3,KPC-3,acquired_hgt,0.661764705882353,1.1491900087240784e-16,0.6146686522710352,1.1491900087240784e-16,1,300,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6347494553376906,0.0,0.5305436296073329,2.298380017448157e-16,1,621,False,True,False,True
SHV-11,SHV-11,acquired_hgt,0.6334422657952069,1.1491900087240784e-16,0.5612882987231461,1.1491900087240784e-16,1,303,True,False,False,False
OXA-1,OXA-1,acquired_hgt,0.6095315904139433,0.0,0.4924427832425442,0.0,1,560,True,False,False,False
TEM-150,TEM-150,acquired_hgt,0.6077342047930283,0.0,0.5361859278849035,0.0,1,260,True,False,False,False
TEM-105,TEM-105,acquired_hgt,0.6017429193899784,1.1491900087240784e-16,0.4880071459321052,5.745950043620392e-17,1,650,True,False,False,False
SHV-28,SHV-28,acquired_hgt,0.5784858387799564,0.0,0.4736447049215765,1.1491900087240784e-16,1,666,True,False,False,False
TEM-122,TEM-122,acquired_hgt,0.5783769063180826,2.298380017448157e-16,0.5105119295365014,0.0,1,204,True,False,False,False
SHV-1,SHV-1,acquired_hgt,0.5376906318082788,0.0,0.44969737775293944,1.1491900087240784e-16,1,153,True,False,False,False
NDM-1,NDM-1,acquired_hgt,0.534912854030501,1.1491900087240784e-16,0.4676680007446016,1.1491900087240784e-16,1,77,True,True,False,False
SHV-12,SHV-12,acquired_hgt,0.5315359477124184,1.1491900087240784e-16,0.4506295268395045,5.745950043620392e-17,1,340,True,False,False,False
OXA-232,OXA-232,acquired_hgt,0.5245098039215687,0.0,0.4583023082650782,0.0,1,30,True,True,False,False
SHV-155,SHV-155,acquired_hgt,0.5194444444444446,1.1491900087240784e-16,0.4433653426451333,1.1491900087240784e-16,1,103,True,False,False,False
NDM-5,NDM-5,acquired_hgt,0.5171568627450982,1.1491900087240784e-16,0.44992553983618766,0.0,1,33,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.512254901960784,2.298380017448157e-16,0.4443410275502605,1.1491900087240784e-16,1,24,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5104030501089324,1.1491900087240784e-16,0.44025606022999925,1.1491900087240784e-16,1,32,True,True,False,False
SHV-67,SHV-67,acquired_hgt,0.507116920842411,0.013961498725574981,0.4369155143005512,0.008663129018103065,1,84,True,False,False,False
