gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9737141073657928,0.001203731771041178,0.9882702195650289,0.0008760913509244513,21,2133,False,False,False,False
ParC (WT),ParC (WT),chromosomal_coding,0.9482209737827713,3.447570026172235e-16,0.9774778175799352,4.596760034896314e-16,1,564,True,False,False,False
GyrA (WT),GyrA (WT),chromosomal_coding,0.9441323345817731,4.596760034896314e-16,0.9748242678189027,1.1491900087240784e-16,1,543,True,False,False,False
ParC (mut),ParC (mut),chromosomal_mutation,0.9368601747815234,2.298380017448157e-16,0.9739596122361381,0.0,1,1554,False,True,False,True
GyrA (mut),GyrA (mut),chromosomal_mutation,0.9300249687890134,4.596760034896314e-16,0.9696294753020109,3.447570026172235e-16,1,1590,False,True,False,True
qnrB1.v2,qnrB1.v2,acquired_hgt,0.6286828963795259,2.298380017448157e-16,0.8421615134424181,2.298380017448157e-16,1,294,True,True,False,False
aac(6')-Ib-cr.v2,aac(6')-Ib-cr.v2,acquired_hgt,0.5654806491885144,0.0,0.8200340272702694,0.0,1,500,True,True,False,False
qnrS1,qnrS1,acquired_hgt,0.5231897627965044,1.1491900087240784e-16,0.8057531970061163,2.298380017448157e-16,1,175,True,True,False,False
qnrB17,qnrB17,acquired_hgt,0.5207553058676656,1.1491900087240784e-16,0.804949809852713,2.298380017448157e-16,1,49,True,True,False,False
qnrB1.v1,qnrB1.v1,acquired_hgt,0.5014044943820225,0.007122086416251561,0.799004476078737,0.0025810800959417553,1,24,True,True,False,False
qnrB4,qnrB4,acquired_hgt,0.4958489388264669,5.745950043620392e-17,0.7973686199425605,1.1491900087240784e-16,1,10,True,True,False,False
aac(6')-Ib-cr.v1,aac(6')-Ib-cr.v1,acquired_hgt,0.4902933832709114,0.0,0.7969004551485528,2.298380017448157e-16,1,12,True,True,False,False
