gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9647981527488676,0.000964857315264067,0.9463734122335322,0.0009316639721802651,205,4101,False,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7484612457754203,0.0,0.5748911194403857,0.0,1,1761,False,True,False,True
OXA-9.v1,OXA-9.v1,acquired_hgt,0.7424684975044205,0.0,0.6495800655700864,1.1491900087240784e-16,1,859,True,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.731389467087446,1.1491900087240784e-16,0.5388425156068826,1.1491900087240784e-16,1,2340,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.7089740146377496,2.298380017448157e-16,0.611938600483075,1.1491900087240784e-16,1,756,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6325678730499787,0.0,0.47555978831757695,1.1491900087240784e-16,1,873,False,True,False,True
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.6154960943620046,1.1491900087240784e-16,0.44338721118647517,1.1491900087240784e-16,1,3218,True,False,False,False
KPC-3,KPC-3,acquired_hgt,0.6100628930817609,1.1491900087240784e-16,0.5019439679817042,2.298380017448157e-16,1,316,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.6077239866603997,1.1491900087240784e-16,0.4765229199294005,1.7237850130861175e-16,1,450,True,False,False,False
TEM-150,TEM-150,acquired_hgt,0.5991181539425681,1.1491900087240784e-16,0.47598878896048713,5.745950043620392e-17,1,348,True,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.5760704133933168,0.0,0.4023040211604966,1.1491900087240784e-16,1,1875,True,False,False,False
SHV-12,SHV-12,acquired_hgt,0.5693670404440565,1.1491900087240784e-16,0.4258004574042309,1.1491900087240784e-16,1,366,True,False,False,False
TEM-122,TEM-122,acquired_hgt,0.5651480561337542,1.1491900087240784e-16,0.44264031273684623,1.1491900087240784e-16,1,220,True,False,False,False
TEM-105,TEM-105,acquired_hgt,0.563486201571208,0.0,0.39400657061908506,1.1491900087240784e-16,1,1250,True,False,False,False
NDM-1,NDM-1,acquired_hgt,0.5582376507979141,1.1491900087240784e-16,0.42490113398132257,1.1491900087240784e-16,1,270,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.5468508695360236,0.0,0.38473199955870646,5.745950043620392e-17,1,1072,True,False,False,False
NDM-4,NDM-4,acquired_hgt,0.5283018867924528,0.0,0.3975128644939965,1.1491900087240784e-16,1,81,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.5233610868640747,1.1491900087240784e-16,0.37249357213762824,5.745950043620392e-17,1,321,True,False,False,False
OXA-181,OXA-181,acquired_hgt,0.518867924528302,1.1491900087240784e-16,0.38546312178387665,1.1491900087240784e-16,1,90,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.5177432350768818,0.0,0.3705083355902622,1.1491900087240784e-16,1,961,True,False,False,False
SHV-79,SHV-79,acquired_hgt,0.5156225519819155,1.1491900087240784e-16,0.3687265662796324,5.745950043620392e-17,1,176,True,False,False,False
NDM-5,NDM-5,acquired_hgt,0.5047169811320754,1.1491900087240784e-16,0.3673885077186964,0.0,1,25,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5038273014167729,1.1491900087240784e-16,0.36503001715265876,5.745950043620392e-17,1,24,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5030607220394369,1.1491900087240784e-16,0.3629563454248989,0.0,1,128,True,True,False,False
