gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9638070085125748,0.00036603750741366837,0.9450088857186426,0.0003933317999891284,22,4101,False,False,False,False
KPC,KPC,acquired_hgt,0.8190369077195104,2.298380017448157e-16,0.7519599744949713,1.1491900087240784e-16,1,1080,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7484612457754203,0.0,0.5748911194403857,0.0,1,1761,False,True,False,True
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.731389467087446,1.1491900087240784e-16,0.5388425156068826,1.1491900087240784e-16,1,2340,True,False,False,False
OXA,OXA,acquired_hgt,0.6683285212292128,1.1491900087240784e-16,0.4755331298849254,0.0,1,1959,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6325678730499787,0.0,0.47555978831757695,1.1491900087240784e-16,1,873,False,True,False,True
TEM,TEM,acquired_hgt,0.6273640860359452,1.1491900087240784e-16,0.4410842798585687,1.1491900087240784e-16,1,1985,True,False,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.6154960943620046,1.1491900087240784e-16,0.44338721118647517,1.1491900087240784e-16,1,3218,True,False,False,False
NDM,NDM,acquired_hgt,0.5991181539425681,1.1491900087240784e-16,0.47598878896048713,5.745950043620392e-17,1,385,True,True,False,False
CTX-M,CTX-M,acquired_hgt,0.5756787304997874,0.0,0.40242023424283685,5.745950043620392e-17,1,2048,True,True,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.5603527384229726,1.1491900087240784e-16,0.39411558640466643,5.745950043620392e-17,1,1849,True,False,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.5458045166633096,2.298380017448157e-16,0.3848409084774378,0.0,1,2190,True,False,False,False
CMY,CMY,acquired_hgt,0.5051925960742184,0.0,0.36550886220697537,5.745950043620392e-17,1,40,True,False,False,False
SCO,SCO,acquired_hgt,0.5038552787663108,0.0022971431472167433,0.36329090909090905,0.0005331639411662112,1,16,True,False,False,False
DHA,DHA,acquired_hgt,0.5017178092616217,1.1491900087240784e-16,0.36215827399805983,0.0,1,39,True,False,False,False
FOX,FOX,acquired_hgt,0.49911032028469743,5.745950043620392e-17,0.3613636363636364,0.0,1,11,True,False,False,False
VEB,VEB,acquired_hgt,0.4983661227869918,1.7237850130861175e-16,0.3606110996935709,1.1491900087240784e-16,1,49,True,False,False,False
CARB,CARB,acquired_hgt,0.4982206405693949,1.1491900087240784e-16,0.3613636363636364,0.0,1,16,True,False,False,False
LAP,LAP,acquired_hgt,0.4975133731730791,0.012609499456165763,0.36173010951312834,0.007621145131151341,1,98,True,False,False,False
