gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
aac(6')-Ib,0.8380286963815001,0.8482506589983226,0.8484977833692787,0.010469086987778597,0.4545937334041423,247,247,0.8721708510990602
mhpA,0.7620042535346274,0.7415902827701893,0.9436781092739037,0.1816738557392763,0.9368029739776952,495,495,0.8226892049923418
gatC,0.778763779055835,0.7116208363287803,0.952574586628325,0.1738108075724899,0.933085501858736,494,494,0.8148621517572546
fadJ,0.755167145938174,0.7500673975557154,0.9315465492451473,0.17637940330697333,0.9399893786510888,498,498,0.8091197685970941
hrpA,0.7380706326383897,0.7295261202971484,0.9451234124131321,0.20705277977474246,0.9368029739776952,496,496,0.8086792906817899
pqqF,0.7501947040498442,0.6786259884974838,0.9488153007428708,0.19862059669302656,0.9309612320764736,495,495,0.8027331622304094
hrpB,0.758776659477594,0.7424439851425835,0.9479765756050803,0.18919991612748632,0.9368029739776952,497,497,0.7983756002400959
ccmI,0.7810103642463456,0.7569793913251857,0.9536005271986581,0.17259016295231244,0.9336165693043016,494,494,0.7961279339321935
entF,0.7810178528636472,0.7580951953031392,0.9544766954229571,0.17345884255930988,0.9346787041954328,497,497,0.7959733462350458
comEC,0.7696201773304578,0.7920336089144501,0.9463440570333094,0.17672387970285153,0.9309612320764736,494,494,0.7948394875191457
pgaA,0.750554157680326,0.7308516055595493,0.9457599448837767,0.19520578720345072,0.9341476367498672,492,492,0.7947896831146252
hemYx,0.7670590702132759,0.7151704409297868,0.9475422358015817,0.1804831655883058,0.9097185342538502,487,487,0.7944714523740531
walK,0.7701219146896716,0.7539165468487898,0.9505826144260724,0.18046069973640078,0.9261816250663836,495,495,0.7938990251272922
mhpB,0.7343188353702373,0.7360187514977234,0.9552405343877307,0.22092169901749337,0.9362719065321295,495,495,0.7938084716645278
benC,0.7301851186196981,0.7766819434459622,0.9480215073088905,0.2178363886891923,0.9352097716409984,494,494,0.7928938816906073
ydcK,0.7233854541097532,0.7345360052719866,0.9615309729211597,0.23814551881140655,0.9389272437599576,499,499,0.7918014188433995
tamB,0.7761202971483345,0.7576608554996406,0.9556598969566261,0.1795395998082916,0.9389272437599576,499,499,0.7916927546880823
cydC,0.7630077282530553,0.7142268751497725,0.9437380182123173,0.180730289959262,0.9399893786510888,499,499,0.7911274423562529
xynB,0.7728777258566979,0.7863048166786485,0.9505601485741673,0.17768242271746937,0.9309612320764736,495,495,0.7910659953636627
mnmC,0.7573163791037624,0.7396432422717468,0.9380167145938174,0.18070033549005504,0.9399893786510888,499,499,0.7907212453947097
ydbH,0.752403846153846,0.7714998202731848,0.9410271387491013,0.18862329259525523,0.9389272437599576,499,499,0.7901358819389825
cpdB,0.7460834531512102,0.7748547208243468,0.9524847232207044,0.20640127006949427,0.9389272437599576,495,495,0.7899858219149729
tadD,0.7624086388689192,0.6867511382698299,0.9400011981787683,0.17759255930984907,0.8762612851832182,465,465,0.7899528345821086
lpoA,0.7642882818116463,0.7585594895758447,0.9432737239396118,0.17898544212796552,0.9394583112055233,499,499,0.7898027745580991
oxlT,0.7546204768751498,0.7198433381260483,0.9420081476156242,0.18738767074047447,0.92777482740308,490,490,0.7894709607981123
rbbA,0.7752740833932423,0.6438563383656841,0.9386232925952552,0.1633492092020129,0.929368029739777,496,496,0.7893610030218985
nirB,0.7553244069015097,0.7680475676971005,0.9580487658758687,0.20272435897435903,0.9091874668082848,486,486,0.7893176667218612
ade,0.7566199376947039,0.7331506110711719,0.9437005751258087,0.1870806374311048,0.938396176314392,496,496,0.7892510452456845
dsbD,0.727526659477594,0.7322819314641744,0.9474149293074527,0.21988826982985876,0.9134360063728092,487,487,0.7891152150515378
scsB,0.7805161155044332,0.7169152887610832,0.9432362808531033,0.16272016534867006,0.912373871481678,486,486,0.7889211719170427
paaH,0.7591660675772826,0.761959321830817,0.959673795830338,0.2005077282530554,0.9399893786510888,499,499,0.788828031212485
thiK,0.7490189911334771,0.7752141744548287,0.9395593697579679,0.1905403786244908,0.9399893786510888,499,499,0.7885214430599826
bcsC,0.7405718308171578,0.726148753894081,0.9485157560508028,0.20794392523364502,0.9352097716409984,497,497,0.7884237746822866
treA,0.7596603163191948,0.7398229690869877,0.9452656961418644,0.18560537982266956,0.938396176314392,499,499,0.788116539719336
dsd1,0.712077641984184,0.7265980709321831,0.950268092499401,0.23819045051521703,0.9006903876792353,478,478,0.7876126743800969
hutG,0.7466675653007427,0.745237239396118,0.9313144021087947,0.18464683680805194,0.8751991502920871,468,468,0.7867951059734237
gspJ,0.7571890726096333,0.740796489336209,0.9546713994728013,0.19748232686316802,0.9378651088688263,497,497,0.7863416918491536
tssH,0.763090103043374,0.705233045770429,0.939432063263839,0.176341960220465,0.8911311736590547,475,475,0.7862614873535622
dgcQ,0.7639438054157681,0.7322819314641745,0.943820393002636,0.17987658758686786,0.9336165693043016,494,494,0.7859186778159539
tmcA,0.7583048765875868,0.7570767433501078,0.941790977713875,0.18348610112628816,0.9394583112055233,498,498,0.7843249368713001
hofC,0.767029115744069,0.7530328900071891,0.9563937814521927,0.18936466570812371,0.9320233669676048,497,497,0.7840772084695947
alaX,0.7583722741433021,0.7573088904864607,0.9464863407620416,0.18811406661873953,0.930430164630908,491,491,0.7840545701039038
sbcB,0.7447355020369039,0.7167879822669543,0.9475422358015817,0.20280673376467784,0.9394583112055233,497,497,0.7837356925528833
phnX,0.7167580277977474,0.72090672178289,0.9284762161514497,0.21171818835370226,0.9091874668082848,481,481,0.7827583619654759
ecpC,0.7453720345075485,0.7282231008866523,0.9598759884974838,0.21450395398993527,0.915029208709506,487,487,0.7822836030964111
hypF,0.7281257488617302,0.763217409537503,0.9544167864845435,0.22629103762281333,0.9378651088688263,498,498,0.7819731340812186
hpxW,0.7594356578001438,0.716870357057273,0.9559968847352025,0.19656122693505873,0.9298990971853426,494,494,0.781586341433125
tssM,0.762865444524323,0.7191019650131799,0.894889767553319,0.13202432302899592,0.7854487519915029,412,412,0.7810999399759904
treC,0.7566199376947041,0.7456640905823149,0.9554951473759885,0.19887520968128436,0.9394583112055233,499,499,0.7805837852382332
sbcC,0.7489665708123652,0.7095015576323989,0.9430565540378624,0.1940899832254972,0.8576739245884227,443,443,0.780259086393178
