gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,652,1.0,0.7832245969253843,0.45806451694950445,0.8236070491188601,0.46891909066144993,0.970933633295838,0.9089615163747564,0.18770903637045377
PmrB,chromosomal,652,1.0,0.7172328458942632,0.32539986171298185,0.7941657292838395,0.48225375471330945,0.9776377952755906,0.9170498601279273,0.2604049493813274
OmpK35,chromosomal,643,0.9861963190184049,0.7885114360704912,0.46816674830341487,0.8519160104986877,0.5491401347523772,0.9804349456317961,0.9315677278291817,0.19192350956130488
OmpK36,chromosomal,643,0.9861963190184049,0.776572928383952,0.45209594717396395,0.7808173978252718,0.43110591080840843,0.9637195350581178,0.891115949837543,0.18714660667416583
ParC,chromosomal,638,0.9785276073619632,0.7287739032620921,0.3571879585509286,0.8417397825271841,0.5492186206878535,0.979482564679415,0.9256281571852822,0.25070866141732284
SHV-OKP-LEN,acquired,620,0.950920245398773,0.6468916385451818,0.2822122738211418,0.7607124109486314,0.4709621919814621,0.9593325834270716,0.8653753629716863,0.3124409448818898
CTX-M,acquired,363,0.5567484662576687,0.48026246719160104,0.1868459256440734,0.6855043119610049,0.3749578999042777,0.8534983127109111,0.6779409403132642,0.3732358455193101
AAC(6'),acquired,349,0.5352760736196319,0.7631796025496814,0.5278288591954542,0.760517435320585,0.5829914634221682,0.8843869516310461,0.8076972256920787,0.12120734908136466
Sul,acquired,338,0.5184049079754601,0.6172703412073492,0.24999385440890615,0.6933558305211849,0.4040091051745238,0.8289088863892013,0.6225462969803174,0.2116385451818521
TEM,acquired,299,0.45858895705521474,0.5115260592425946,0.21590040269784694,0.6379827521559804,0.3359846437371977,0.8217697787776529,0.6436720116131749,0.31024371953505825
OXA,acquired,264,0.4049079754601227,0.5925159355080614,0.28125463642465065,0.6382527184101987,0.3653854054835687,0.7649418822647169,0.5519938778737346,0.17242594675665557
StrB,acquired,247,0.37883435582822084,0.5313835770528684,0.2184007658927853,0.6728608923884514,0.4059036448281848,0.7614998125234346,0.5557570651451452,0.23011623547056614
StrA,acquired,242,0.37116564417177916,0.5274240719910012,0.20493230793763823,0.6146231721034872,0.36282809932822635,0.7517360329958755,0.5374717542764204,0.22431196100487438
Dfr,acquired,226,0.34662576687116564,0.7078065241844769,0.4053489570214923,0.6838320209973754,0.48460857896432236,0.7928533933258343,0.6704707139664836,0.0850468691413574
ANT(3''),acquired,212,0.32515337423312884,0.6995800524934381,0.3872335653856664,0.6472590926134233,0.42518754994678865,0.7599400074990624,0.568307360439752,0.0603599550056243
AAC(3),acquired,206,0.3159509202453988,0.5747356580427447,0.22879671106547014,0.5977802774653168,0.25798440180586524,0.6754555680539933,0.39510575120616903,0.10071991001124858
QnrB,acquired,184,0.2822085889570552,0.5372853393325834,0.20746952133360383,0.5953880764904387,0.31082602586343017,0.6900337457817773,0.44846659256231636,0.15274840644919396
Cat,acquired,177,0.2714723926380368,0.7152230971128608,0.4049847971101918,0.6588901387326584,0.4422023057966272,0.750761154855643,0.6009999230269543,0.03553805774278218
MphA,acquired,170,0.2607361963190184,0.6335058117735284,0.33295072519252145,0.5893888263967004,0.36964998339799005,0.6866966629171354,0.5098717636875921,0.053190851143607
Mrx,acquired,169,0.25920245398773006,0.620824896887889,0.27781823699403335,0.6392650918635171,0.4227159818847007,0.6965429321334833,0.529353296198042,0.07571803524559428
KPC,acquired,164,0.25153374233128833,0.5747506561679788,0.2554821733732164,0.613145856767904,0.30263936020455035,0.640352455943007,0.40387864572388515,0.06560179977502822
TetA,acquired,162,0.24846625766871167,0.5615298087739032,0.22954967619732433,0.6002474690663667,0.2545065402294453,0.649111361079865,0.3259652015300937,0.08758155230596176
APH(3'),acquired,122,0.18711656441717792,0.5853468316460443,0.2553990762600459,0.5929658792650919,0.3585694529382691,0.6869741282339707,0.5021637455742429,0.10162729658792646
TetD,acquired,93,0.14263803680981596,0.4895988001499813,0.19450167670623186,0.542557180352456,0.28763841565612625,0.599220097487814,0.35821796006601514,0.10962129733783271
Arr,acquired,85,0.1303680981595092,0.5310611173603299,0.30059986054490545,0.5160479940007499,0.2851957106988632,0.5941357330333709,0.3773832667144281,0.06307461567304096
QnrS,acquired,79,0.12116564417177914,0.5088113985751781,0.20076732969917535,0.5343007124109486,0.24606966778207118,0.5722684664416948,0.32343446352814753,0.06345706786651673
NDM,acquired,74,0.11349693251533742,0.6413498312710911,0.37769528401112473,0.6422872140982376,0.46888774922401844,0.6563479565054368,0.5071643687859756,0.014998125234345627
ArmA,acquired,58,0.08895705521472393,0.6828421447319085,0.5035157513851701,0.6823997000374953,0.4909620985299378,0.6830146231721035,0.5214504535958835,0.0001724784401949675
MphE,acquired,46,0.0705521472392638,0.6269141357330333,0.4266329073836606,0.6261717285339332,0.45743398052669926,0.6256917885264341,0.4339167406036363,-0.0012223472065991947
MsrE,acquired,46,0.0705521472392638,0.6231496062992126,0.40741511709123923,0.6257217847769029,0.4544649218344296,0.6259917510311211,0.44610512186652274,0.00284214473190858
CmlA,acquired,31,0.04754601226993865,0.5032020997375328,0.22354713692104106,0.47808023997000376,0.2196853153276857,0.5295838020247469,0.27229028469281524,0.026381702287214037
FloR,acquired,29,0.04447852760736196,0.4733483314585677,0.1845995939484803,0.486291713535808,0.1888457259716681,0.4946156730408699,0.19444097971303687,0.0212673415823022
ANT(2''),acquired,21,0.032208588957055216,0.5020472440944882,0.2142983457942963,0.5087364079490063,0.20818686134167982,0.5152905886764154,0.21907203550374837,0.013243344581927219
RmtB,acquired,16,0.024539877300613498,0.5303787026621671,0.2509093426848107,0.5340457442819647,0.2598282215666845,0.518177727784027,0.24868495118953646,-0.012200974878140092
VEB,acquired,15,0.023006134969325152,0.5242219722534683,0.2558773891388103,0.5250843644544432,0.2526908774877317,0.5171203599550056,0.2544286063819673,-0.007101612298462734
APH(4),acquired,13,0.019938650306748466,0.4733408323959505,0.18535572484250545,0.48461192350956134,0.18905889045614793,0.48684664416947876,0.19039033662241503,0.013505811773528276
LAP,acquired,11,0.01687116564417178,0.49923509561304835,0.19827194367889617,0.4911811023622047,0.19491503272657906,0.4852718410198725,0.19568095379674355,-0.013963254593175878
CMY,acquired,10,0.015337423312883436,0.5159955005624297,0.22393966187994127,0.5137607799025121,0.2378713068436744,0.5194150731158605,0.24510334050718877,0.0034195725534308385
Erm,acquired,9,0.013803680981595092,0.5086464191976003,0.21666090081989617,0.5004424446944131,0.21089044120073835,0.508676415448069,0.2249548235685534,2.999625046862242e-05
RmtF,acquired,8,0.012269938650306749,0.5092763404574427,0.22471542169461942,0.5088863892013499,0.22404708665946002,0.5163929508811398,0.23177731487788567,0.007116610423697045
