gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,483,1.0,0.6635876714903214,0.74498510144517,0.7227024995301635,0.8119173600846283,0.9373426047735388,0.9585466816211258,0.2737549332832174
GyrA,chromosomal,483,1.0,0.7373801916932907,0.8116947101063274,0.7048862995677505,0.7857000459521077,0.9303702311595564,0.950778706771112,0.1929900394662657
OmpK36,chromosomal,476,0.9855072463768116,0.7447002443149785,0.8183117438831924,0.7286318361210298,0.8160530221464757,0.9388930652133058,0.9508205639240737,0.19419282089832735
OmpK35,chromosomal,474,0.9813664596273292,0.7275981958278519,0.8315339919896934,0.788216500657771,0.8724398292930036,0.9330201090020672,0.9457038061402052,0.20542191317421532
ParC,chromosomal,473,0.979296066252588,0.7226367224205976,0.7995125806219574,0.7438733320804359,0.841289575358934,0.9376902837812441,0.9604790157501409,0.21505356136064646
SHV-OKP-LEN,acquired,446,0.9233954451345756,0.5806145461379439,0.6829852355686946,0.7164630708513438,0.7967899822807712,0.920917120841947,0.9493940607942869,0.34030257470400305
CTX-M,acquired,256,0.5300207039337475,0.6855854162751364,0.7769625749297661,0.6823999248261605,0.7956809804419225,0.740321368163879,0.8489181528685719,0.054735951888742584
Sul,acquired,233,0.4824016563146998,0.6227494831798533,0.7247500674813567,0.5679289607216689,0.6927873249913037,0.7168201465889871,0.8310877676658721,0.09407066340913373
AAC(6'),acquired,228,0.4720496894409938,0.7387521142642361,0.8246294124711067,0.7120841947002442,0.8056968330325687,0.7925765833489945,0.8864609472113444,0.05382446908475835
OXA,acquired,193,0.3995859213250518,0.6516444277391468,0.7491954522648051,0.6328791580529975,0.7816255609420244,0.6901992106746851,0.8138894945053041,0.03855478293553838
TEM,acquired,190,0.39337474120082816,0.6265363653448599,0.7363451165193704,0.6241495959406127,0.7661297692044067,0.692773914677692,0.8280625868396077,0.0662375493328321
Dfr,acquired,168,0.34782608695652173,0.6408287915805301,0.7475051750547742,0.6320146588987032,0.7622816935703047,0.7082409321556098,0.8339102191584482,0.06741214057507972
ANT(3''),acquired,163,0.33747412008281574,0.6371076865250893,0.7584790036265259,0.6131178349934223,0.7491598257070785,0.6955459500093968,0.8262204784607741,0.05843826348430747
StrB,acquired,143,0.29606625258799174,0.5774948317985341,0.7113575947309878,0.5631742153730501,0.7023485772118442,0.6108626198083067,0.7589007224765845,0.03336778800977258
AAC(3),acquired,142,0.2939958592132505,0.5953862056004511,0.7305026563931963,0.5751080623942869,0.7277485822508687,0.6153072730689718,0.7730477650195184,0.019921067468520737
StrA,acquired,140,0.2898550724637681,0.5647152790828791,0.70114530812203,0.5644521706446156,0.724640057138361,0.6121311783499342,0.7631605114421649,0.04741589926705514
