gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,603,1.0,0.676770775237033,0.8048317028127743,0.8948410485220301,0.9527304112441218,0.985345789180145,0.9932883859331757,0.30857501394311204
GyrA,chromosomal,603,1.0,0.8356804238706079,0.9330561580603985,0.9014361405465701,0.9625108416992104,0.9866564417177915,0.9941912934705062,0.15097601784718362
OmpK36,chromosomal,597,0.9900497512437811,0.8210750139431121,0.9197291191422288,0.8803402119353039,0.9383954525534857,0.9848577802565534,0.9928997532850204,0.16378276631344124
OmpK35,chromosomal,595,0.9867330016583747,0.7926380368098159,0.9176636244019517,0.9139570552147238,0.9701036512326111,0.9898633575013943,0.996440316378807,0.1972253206915784
ParC,chromosomal,587,0.9734660033167496,0.8232083100948132,0.9271720566228563,0.9065602342442833,0.9622367994374154,0.9871374790853319,0.995127494307997,0.16392916899051868
SHV-OKP-LEN,acquired,562,0.9320066334991708,0.7847322922476296,0.8931083920401011,0.8664528722810931,0.9310654367811407,0.9852063580591188,0.9932960093716894,0.2004740658114892
Sul,acquired,294,0.48756218905472637,0.7687744004461796,0.8988518049456441,0.7933073061907416,0.9165833330733042,0.8110708310094814,0.925227731367782,0.04229643056330179
CTX-M,acquired,291,0.48258706467661694,0.8033254322364751,0.9227504513400712,0.8042735638594534,0.9255673244531111,0.8040783602900166,0.9252150422866888,0.0007529280535414351
AAC(6'),acquired,257,0.4262023217247098,0.7573898494143892,0.8947979116923614,0.7633853876185164,0.9055140388911829,0.7624163413273843,0.8981813167548511,0.00502649191299509
OXA,acquired,233,0.3864013266998342,0.7428750697155604,0.8960522984834047,0.7398842721695482,0.8873212788810807,0.7404419966536531,0.8892856920432612,-0.0024330730619073204
TEM,acquired,199,0.33001658374792703,0.6885039040713887,0.8580231274347314,0.693941717791411,0.872607535899,0.7087353597322924,0.8790906354939481,0.020231455660903674
Dfr,acquired,198,0.3283582089552239,0.675292805354155,0.8491593711401034,0.6922127718906859,0.8676498403402175,0.7001882320133853,0.8745586922953841,0.02489542665923028
ANT(3''),acquired,191,0.3167495854063018,0.6862730061349693,0.8559885776352758,0.6863915225878415,0.858847667441959,0.7034300055772449,0.8733535232026075,0.017156999442275556
StrB,acquired,163,0.2703150912106136,0.6497420524261015,0.8418608918881976,0.6617401003904072,0.8547162840394262,0.6645705521472393,0.8563057506412244,0.014828499721137756
Cat,acquired,163,0.2703150912106136,0.6673800892359176,0.8562097835007237,0.6686001115448968,0.8591552885897038,0.6687395426659231,0.8592987254388271,0.0013594534300054306
StrA,acquired,160,0.26533996683250416,0.6448968209704405,0.8389861637914052,0.6571249302844394,0.8471485006286226,0.6619980479643056,0.8547472777744052,0.01710122699386507
AAC(3),acquired,157,0.2603648424543947,0.6615518683770217,0.8473350087693909,0.6593627997769103,0.8456542766328563,0.6637618516452871,0.8541752294358749,0.002209983268265381
MphA,acquired,155,0.2570480928689884,0.6623675404350251,0.8500680537700378,0.6601505856107083,0.8497880542383096,0.6605967651979922,0.8519251094509318,-0.001770775237032951
Mrx,acquired,150,0.24875621890547264,0.6559955382041271,0.8468262857063974,0.6546569994422755,0.8499352875819411,0.6548522030117122,0.850237323198175,-0.0011433351924149404
TetA,acquired,129,0.21393034825870647,0.6025027886224205,0.8089709898633577,0.6009481316229782,0.8200637862072275,0.6274261015058561,0.8333666257658441,0.024923312883435633
KPC,acquired,125,0.20729684908789386,0.6275097601784718,0.8348283573650465,0.6272796988287787,0.8347417444113173,0.6279698828778584,0.83521779257053,0.0004601226993865559
QnrB,acquired,118,0.1956882255389718,0.5998047964305633,0.8039568610384281,0.5981246514221974,0.8044043355341061,0.6065253764640268,0.8225216482101156,0.006720580033463541
APH(3'),acquired,117,0.19402985074626866,0.6081497490239821,0.8192667395058562,0.6077663134411599,0.8176104648652296,0.6091745677635247,0.8229965834474152,0.0010248187395426323
TetD,acquired,59,0.0978441127694859,0.5090421081985499,0.7361484157738604,0.5165504740658114,0.7542365765638741,0.5685164528722811,0.7835585432295779,0.05947434467373125
Arr,acquired,48,0.07960199004975124,0.5356246514221975,0.7673888334595091,0.5359802007808143,0.7692981711724514,0.535366703848299,0.7669960387015355,-0.0002579475738985204
QnrS,acquired,41,0.06799336650082918,0.5254322364751813,0.7581906586346487,0.5258784160624652,0.7635013744476111,0.5261642498605689,0.7642151708533008,0.000732013385387531
NDM,acquired,39,0.06467661691542288,0.5321109871723368,0.765552489336887,0.5318809258226436,0.7654778507448065,0.5318809258226436,0.7654778507448065,-0.00023006134969327796
MsrE,acquired,37,0.06135986733001658,0.5295315114333519,0.7630865138183124,0.5293014500836587,0.7629032724826864,0.5295315114333519,0.7630865138183122,0.0
MphE,acquired,37,0.06135986733001658,0.5295315114333519,0.7630865138183123,0.5295315114333519,0.7630865138183122,0.5295315114333519,0.7630865138183122,0.0
ArmA,acquired,36,0.05970149253731343,0.5306957612939208,0.7633222146501908,0.5304656999442275,0.7633108470076093,0.5304656999442275,0.7633108470076093,-0.00023006134969327796
CmlA,acquired,33,0.05472636815920398,0.5234662576687117,0.7576621996285777,0.523452314556609,0.7550675985578279,0.5238008923591746,0.758398594131872,0.0003346346904629094
APH(4),acquired,17,0.028192371475953566,0.513127440044618,0.7460433703288091,0.513127440044618,0.7460433703288095,0.513127440044618,0.7460433703288095,0.0
ANT(2''),acquired,12,0.01990049751243781,0.506866982710541,0.7403238858596966,0.506866982710541,0.7403238858596966,0.506866982710541,0.7403238858596966,0.0
RmtF,acquired,8,0.013266998341625208,0.5010596765197992,0.7347093176003016,0.5033324037925264,0.7362918243832388,0.5033324037925264,0.7362918243832388,0.002272727272727204
