gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
PmrB,chromosomal,614,1.0,0.7443807546488536,0.7934439224007545,0.8171939880844916,0.8754869349732429,0.963012276584221,0.9804407406538072,0.2186315219353674
GyrA,chromosomal,614,1.0,0.8005506409099116,0.8349686411090167,0.8291546307997834,0.877314853660601,0.9664199313955587,0.983736227139842,0.16586929048564714
OmpK36,chromosomal,609,0.99185667752443,0.7991909640729372,0.85556176435816,0.8375383643256906,0.8928319340884692,0.9716216826141902,0.9856156341612488,0.17243071854125303
OmpK35,chromosomal,606,0.9869706840390879,0.773808449178552,0.8598458923412827,0.8363817927423722,0.8862494941484578,0.965331061563459,0.9816336228434444,0.1915226123849071
ParC,chromosomal,602,0.9804560260586319,0.8164718360714931,0.858042572050512,0.8118229824878136,0.8625910209749121,0.9564903412168263,0.9770295372869751,0.1400185051453332
SHV-OKP-LEN,acquired,574,0.9348534201954397,0.721965833182885,0.77936976447082,0.7874503520491064,0.8321928861255785,0.9522082054522477,0.9749292580964416,0.23024237226936273
Sul,acquired,282,0.4592833876221498,0.663110444123488,0.7613874126737865,0.6571414063910452,0.7767495036780272,0.7444146055244628,0.851486258839359,0.08130416140097485
CTX-M,acquired,281,0.4576547231270358,0.6004186224950352,0.6923272060207872,0.6303202292832641,0.7516462305469533,0.7721271890232895,0.8628185495401055,0.17170856652825428
AAC(6'),acquired,258,0.4201954397394137,0.690868162123127,0.8080875591175707,0.7149587019317566,0.8232232704571201,0.7713373352590721,0.8654793700758447,0.08046917313594515
OXA,acquired,219,0.3566775244299674,0.673841171691641,0.8083635775797853,0.6908907293735331,0.8202252766503928,0.7270716735872901,0.8411015262731728,0.05323050189564904
TEM,acquired,209,0.34039087947882735,0.5733943401335981,0.6787329160203156,0.6135696876692545,0.7437345149183001,0.704222332551002,0.815678005650847,0.13082799241740384
Dfr,acquired,202,0.3289902280130293,0.6316122043690198,0.7455907832948269,0.6400692814587471,0.775121061094309,0.7103831919118976,0.8275126238664245,0.07877098754287781
ANT(3''),acquired,190,0.30944625407166126,0.6386136938075465,0.7587836267326139,0.6456095414334717,0.7650564178163912,0.6972264849250767,0.8178308180174101,0.05861279111753015
MphA,acquired,163,0.26547231270358307,0.6274372630438708,0.7389665229041584,0.626449945838599,0.7614810787856574,0.6560694619967503,0.7911567533800746,0.028632198952879495
StrB,acquired,163,0.26547231270358307,0.5101439790575916,0.6573558021489475,0.5683336342300054,0.6963115524408843,0.6475841758440152,0.7631315328242934,0.1374401967864236
StrA,acquired,159,0.25895765472312704,0.513658828308359,0.6496484652064944,0.5701051633868931,0.691430989475869,0.6570398537642174,0.7699388626603301,0.1433810254558584
Mrx,acquired,158,0.25732899022801303,0.6190704549557682,0.7326494064329804,0.618353944755371,0.7543996896397359,0.6441483119696696,0.7841938247684177,0.025077857013901417
