gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,743,1.0,0.7486052998605299,0.8552772286289152,0.7255512386265525,0.8257519781944527,0.9771119744969118,0.9816178200617546,0.22850667463638186
PmrB,chromosomal,743,1.0,0.6262452679816698,0.7369460732494115,0.7135219499236236,0.8094432008798417,0.9787059175134488,0.9822614606299718,0.352460649531779
OmpK35,chromosomal,735,0.9892328398384926,0.6573188550175998,0.7865798917262379,0.7523161984459055,0.8303631446639752,0.9777180049146577,0.9879573526632569,0.32039914989705787
OmpK36,chromosomal,735,0.9892328398384926,0.6971964866839344,0.7994521328371107,0.7549478647805007,0.8281579115485306,0.962816298067344,0.9716172210650447,0.2656198113834096
ParC,chromosomal,729,0.9811574697173621,0.7282576210400479,0.8330073318249431,0.7686126054326892,0.8532321188504673,0.9778425317128245,0.9871869413663479,0.24958491067277666
SHV-OKP-LEN,acquired,696,0.9367429340511441,0.6735654512851166,0.7786020626984099,0.7249742644617121,0.8252880339380173,0.9722429766885834,0.9854943866321728,0.2986775254034668
Sul,acquired,384,0.5168236877523553,0.7999144915985921,0.8931620266445329,0.8134671581324301,0.9054814463929,0.830361293750415,0.9233959796217269,0.030446802151822938
CTX-M,acquired,371,0.4993270524899058,0.7212799694494255,0.8234074097400703,0.7272738593345288,0.8468000887224285,0.8173482433419672,0.914886647875218,0.09606827389254169
AAC(6'),acquired,356,0.4791386271870794,0.7826509264793784,0.8725958779967862,0.7762668526266852,0.8778996254139197,0.8241017466958889,0.9163211158092908,0.041450820216510476
OXA,acquired,303,0.4078061911170929,0.6958432954771867,0.8273384246265539,0.6888448894202032,0.8437367281792003,0.7716344557348741,0.8866342764017365,0.0757911602576874
TEM,acquired,297,0.3997308209959623,0.6387311549445441,0.7680558626915486,0.6749684532111311,0.8230321363847691,0.7515814903367205,0.8739663411892791,0.11285033539217637
StrB,acquired,254,0.34185733512786004,0.7147713687985655,0.8448299421352069,0.7081340904562661,0.8469168567625946,0.7206324300989573,0.86362290240574,0.005861061300391768
Dfr,acquired,250,0.3364737550471063,0.7258542538354255,0.8629081285750615,0.729278740785017,0.867411478909867,0.7286810121538155,0.8663668090158161,0.002826758318390077
StrA,acquired,248,0.33378196500672946,0.7187437736600916,0.8543728534790512,0.7155060769077506,0.8536692974938834,0.7160166367802352,0.8569987212640839,-0.0027271368798563733
ANT(3''),acquired,233,0.3135935397039031,0.6622252108653782,0.8173165985654388,0.6640931128378827,0.8298174692908338,0.6864456731088532,0.8408645357050825,0.02422046224347496
Cat,acquired,204,0.27456258411843876,0.6620301188815834,0.8179943929932779,0.6547079431493656,0.8160344407417177,0.675146941621837,0.8324959708228927,0.013116822740253609
AAC(3),acquired,201,0.27052489905787347,0.616561233977552,0.7656789742471057,0.6485480175333731,0.8007722653085377,0.6650768745434018,0.8255744683429604,0.04851564056584978
MphA,acquired,195,0.26244952893674295,0.6699458723517301,0.8211097777227465,0.6638482101348211,0.8177116728816622,0.6729718735471873,0.8312030259304244,0.003026001195457262
Mrx,acquired,190,0.2557200538358008,0.6666625157733944,0.8175594292588393,0.6637112306568373,0.8174497652949576,0.6685594739988047,0.8264297978121906,0.0018969582254102502
