gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,416,416,0,1.0,0.6245991622129136,0.6245991622129136,0.0
GyrA,chromosomal,416,416,0,1.0,0.8558283980933122,0.8558283980933122,0.0
ParC,chromosomal,414,414,0,0.9951923076923077,0.819456882854254,0.819456882854254,0.0
OmpK35,chromosomal,411,281,130,0.9879807692307693,0.7497327748086089,0.7514661274014156,-0.001733352592806714
OmpK36,chromosomal,410,179,231,0.9855769230769231,0.773999711107901,0.5720785786508739,0.20192113245702714
SHV-OKP-LEN,acquired,396,0,396,0.9519230769230769,0.6800375559728442,,
AAC(6'),acquired,231,230,1,0.5552884615384616,0.861057345081612,0.8589195435504839,0.0021378015311280807
TEM,acquired,183,183,0,0.43990384615384615,0.7690018777986423,0.7690018777986423,0.0
CTX-M,acquired,180,180,0,0.4326923076923077,0.7892676585295393,0.7892676585295393,0.0
StrB,acquired,163,0,163,0.3918269230769231,0.7163946266069623,,
Sul,acquired,162,162,0,0.3894230769230769,0.691838798208869,0.691838798208869,0.0
StrA,acquired,157,0,157,0.37740384615384615,0.7045356059511773,,
AAC(3),acquired,130,130,0,0.3125,0.67368192979922,0.67368192979922,0.0
OXA,acquired,122,122,0,0.2932692307692308,0.6527950310559006,0.6527950310559006,0.0
Dfr,acquired,121,121,0,0.29086538461538464,0.6643073811931244,0.6643073811931244,0.0
QnrB,acquired,116,116,0,0.27884615384615385,0.6572006355626174,0.6572006355626174,0.0
ANT(3''),acquired,112,77,35,0.2692307692307692,0.6580817564639607,0.6089267658529539,0.04915499061100681
MphA,acquired,100,100,0,0.2403846153846154,0.6355915065722952,0.6355915065722952,0.0
Mrx,acquired,100,0,100,0.2403846153846154,0.6357648418315758,,
KPC,acquired,99,99,0,0.23798076923076922,0.6526794742163802,0.6526794742163802,0.0
Cat,acquired,93,93,0,0.22355769230769232,0.631315903510039,0.631315903510039,0.0
TetA,acquired,84,84,0,0.20192307692307693,0.5785353170590785,0.5785353170590785,0.0
QnrS,acquired,73,73,0,0.17548076923076922,0.5907698974433049,0.5907698974433049,0.0
NDM,acquired,67,67,0,0.16105769230769232,0.5999422215802397,0.5999422215802397,0.0
Arr,acquired,66,66,0,0.15865384615384615,0.5906832298136646,0.5906832298136646,0.0
APH(3'),acquired,61,60,1,0.1466346153846154,0.5894554383937599,0.5862631807020078,0.0031922576917521317
TetD,acquired,51,51,0,0.12259615384615384,0.5453560595117724,0.5453560595117724,0.0
ArmA,acquired,31,31,0,0.07451923076923077,0.5315903510039,0.5315903510039,0.0
FloR,acquired,26,26,0,0.0625,0.5284414271269681,0.5284414271269681,0.0
CmlA,acquired,26,26,0,0.0625,0.5360104001155569,0.5360104001155569,0.0
RmtB,acquired,25,25,0,0.06009615384615385,0.5321970244113823,0.5321970244113823,0.0
MphE,acquired,17,17,0,0.040865384615384616,0.520005777841976,0.520005777841976,0.0
MsrE,acquired,17,17,0,0.040865384615384616,0.5198902210024556,0.5198902210024556,0.0
VEB,acquired,15,15,0,0.036057692307692304,0.5163946266069623,0.5163946266069623,0.0
LAP,acquired,13,13,0,0.03125,0.5165968510761231,0.5165968510761231,0.0
ANT(2''),acquired,11,10,1,0.026442307692307692,0.5146612740141556,0.511295681063123,0.00336559295103267
APH(4),acquired,10,9,1,0.02403846153846154,0.5069334103712264,0.5086089845442727,-0.0016755741730463125
CMY,acquired,8,8,0,0.019230769230769232,0.5106312292358804,0.5106312292358804,0.0
