gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,847,844,3,1.0,0.6967192301682379,0.6989166102401166,-0.0021973800718787517
GyrA,chromosomal,847,847,0,1.0,0.8609986197197771,0.8609986197197771,0.0
OmpK36,chromosomal,841,426,415,0.9929161747343566,0.7812906922235533,0.644988020209386,0.13630267201416735
OmpK35,chromosomal,839,528,311,0.9905548996458088,0.7724881504245013,0.7686305276316475,0.003857622792853732
ParC,chromosomal,834,834,0,0.9846517119244392,0.836534454919527,0.836534454919527,0.0
SHV-OKP-LEN,acquired,800,0,800,0.9445100354191264,0.7735233605916976,,
AAC(6'),acquired,388,386,2,0.45808736717827625,0.8030170842231366,0.8028412938173862,0.00017579040575033122
CTX-M,acquired,372,372,0,0.43919716646989376,0.7844907286837856,0.7844907286837856,0.0
Sul,acquired,360,360,0,0.42502951593860683,0.7361027918120735,0.7361027918120735,0.0
TEM,acquired,295,295,0,0.3482880755608028,0.710401583415803,0.710401583415803,0.0
OXA,acquired,276,276,0,0.32585596221959856,0.687340486483671,0.687340486483671,0.0
StrB,acquired,260,0,260,0.3069657615112161,0.6645626074274701,,
Dfr,acquired,255,255,0,0.3010625737898465,0.6517657169644252,0.6517657169644252,0.0
StrA,acquired,252,0,252,0.2975206611570248,0.658771290171363,,
ANT(3''),acquired,243,183,60,0.28689492325855964,0.6635762279285381,0.6210675035158082,0.042508724412729904
AAC(3),acquired,227,227,0,0.2680047225501771,0.6691689671337049,0.6691689671337049,0.0
MphA,acquired,204,204,0,0.2408500590318772,0.6456521172977759,0.6456521172977759,0.0
Cat,acquired,202,202,0,0.2384887839433294,0.6568994478879108,0.6568994478879108,0.0
Mrx,acquired,199,0,199,0.23494687131050768,0.6419181988645242,,
QnrB,acquired,184,184,0,0.21723730814639905,0.6254036668576488,0.6254036668576488,0.0
KPC,acquired,181,181,0,0.21369539551357733,0.6384414552841293,0.6384414552841293,0.0
TetA,acquired,171,171,0,0.20188902007083825,0.583829235897703,0.583829235897703,0.0
APH(3'),acquired,139,138,1,0.1641086186540732,0.5952458461378196,0.5937841814677848,0.0014616646700348346
TetD,acquired,93,93,0,0.10979929161747344,0.5440582842856398,0.5440582842856398,0.0
Arr,acquired,93,93,0,0.10979929161747344,0.5683824678368665,0.5683824678368665,0.0
QnrS,acquired,91,91,0,0.10743801652892562,0.5580564091879785,0.5580564091879785,0.0
NDM,acquired,82,82,0,0.09681227863046045,0.564319756237304,0.564319756237304,0.0
ArmA,acquired,47,47,0,0.05548996458087367,0.5359621594874733,0.5359621594874733,0.0
CmlA,acquired,40,40,0,0.047225501770956316,0.5232922287619147,0.5232922287619147,0.0
MphE,acquired,37,37,0,0.043683589138134596,0.5260169800510444,0.5260169800510444,0.0
MsrE,acquired,37,37,0,0.043683589138134596,0.5258216573779884,0.5258216573779884,0.0
FloR,acquired,31,31,0,0.03659976387249114,0.5106027657690504,0.5106027657690504,0.0
RmtB,acquired,26,26,0,0.030696576151121605,0.5082881920933382,0.5082881920933382,0.0
ANT(2''),acquired,20,19,1,0.023612750885478158,0.5112798843689775,0.5111106047189957,0.00016927964998181277
APH(4),acquired,19,18,1,0.02243211334120425,0.5064358820771915,0.5052281368821292,0.001207745195062282
VEB,acquired,15,15,0,0.01770956316410862,0.5094861711547477,0.5094861711547477,0.0
LAP,acquired,15,15,0,0.01770956316410862,0.5106190426584718,0.5106190426584718,0.0
CMY,acquired,10,10,0,0.011806375442739079,0.504326397208188,0.504326397208188,0.0
Erm,acquired,8,8,0,0.009445100354191263,0.5020378665555497,0.5020378665555497,0.0
RmtF,acquired,8,7,1,0.009445100354191263,0.500478540548987,,
