gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,460,460,0,1.0,0.8764618000103034,0.8764618000103034,0.0
PmrB,chromosomal,460,458,2,1.0,0.5909793416104271,0.5957704394415537,-0.004791097831126634
OmpK36,chromosomal,458,261,197,0.9956521739130435,0.7446293338828499,0.6472103446499408,0.09741898923290915
OmpK35,chromosomal,458,230,228,0.9956521739130435,0.8021482664468601,0.798954201226109,0.0031940652207510523
ParC,chromosomal,452,452,0,0.9826086956521739,0.8382102931327599,0.8382102931327599,0.0
SHV-OKP-LEN,acquired,436,0,436,0.9478260869565217,0.7246406676626654,,
AAC(6'),acquired,262,259,3,0.5695652173913044,0.7569934573180155,0.7737880583174488,-0.016794600999433307
CTX-M,acquired,260,260,0,0.5652173913043478,0.7855854927618361,0.7855854927618361,0.0
Sul,acquired,242,242,0,0.5260869565217391,0.6964607696666838,0.6964607696666838,0.0
OXA,acquired,190,190,0,0.41304347826086957,0.6968471485240328,0.6968471485240328,0.0
TEM,acquired,182,182,0,0.39565217391304347,0.6327340167946011,0.6327340167946011,0.0
Dfr,acquired,180,180,0,0.391304347826087,0.6433723146669414,0.6433723146669414,0.0
ANT(3''),acquired,176,143,33,0.3826086956521739,0.6155787955283087,0.589176240276132,0.026402555252176718
AAC(3),acquired,163,163,0,0.35434782608695653,0.6396373190459018,0.6396373190459018,0.0
StrB,acquired,160,0,160,0.34782608695652173,0.6257276801813405,,
StrA,acquired,157,0,157,0.34130434782608693,0.6248776466951729,,
Cat,acquired,146,146,0,0.3173913043478261,0.6426253155427335,0.6426253155427335,0.0
MphA,acquired,139,139,0,0.30217391304347824,0.6297717788882593,0.6297717788882593,0.0
Mrx,acquired,134,0,134,0.29130434782608694,0.6234609242182267,,
KPC,acquired,126,126,0,0.27391304347826084,0.6368038740920097,0.6368038740920097,0.0
TetA,acquired,117,117,0,0.2543478260869565,0.5458502910720726,0.5458502910720726,0.0
QnrB,acquired,112,112,0,0.24347826086956523,0.5856730719695019,0.5856730719695019,0.0
APH(3'),acquired,95,94,1,0.20652173913043478,0.5770181855648859,0.5757044974498995,0.0013136881149864443
TetD,acquired,78,78,0,0.16956521739130434,0.4673123486682808,0.4673123486682808,0.0
QnrS,acquired,65,65,0,0.14130434782608695,0.5077275771469786,0.5077275771469786,0.0
Arr,acquired,62,62,0,0.13478260869565217,0.5313224460357528,0.5313224460357528,0.0
NDM,acquired,60,60,0,0.13043478260869565,0.552521766008964,0.552521766008964,0.0
FloR,acquired,29,29,0,0.06304347826086956,0.5044819947452476,0.5044819947452476,0.0
ArmA,acquired,29,29,0,0.06304347826086956,0.5189583226005873,0.5189583226005873,0.0
CmlA,acquired,22,22,0,0.04782608695652174,0.49340580083457836,0.49340580083457836,0.0
RmtB,acquired,22,22,0,0.04782608695652174,0.5059244758126836,0.5059244758126836,0.0
MsrE,acquired,20,20,0,0.043478260869565216,0.5063108546700325,0.5063108546700325,0.0
MphE,acquired,20,20,0,0.043478260869565216,0.5063108546700325,0.5063108546700325,0.0
VEB,acquired,13,13,0,0.02826086956521739,0.5005924475812683,0.5005924475812683,0.0
LAP,acquired,13,13,0,0.02826086956521739,0.5009530678481274,0.5009530678481274,0.0
ANT(2''),acquired,12,12,0,0.02608695652173913,0.4973211065890474,0.4973211065890474,0.0
APH(4),acquired,10,10,0,0.021739130434782608,0.4958013497501417,0.4958013497501417,0.0
