gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,881,881,0,1.0,0.6829075331892559,0.6829075331892559,0.0
PmrB,chromosomal,881,878,3,1.0,0.6434801305517577,0.6436179596877344,-0.0001378291359767081
OmpK35,chromosomal,873,542,331,0.9909194097616345,0.6849474044017112,0.6121212455343359,0.07282615886737531
OmpK36,chromosomal,872,436,436,0.9897843359818388,0.6447426454373042,0.5816031182463723,0.06313952719093185
ParC,chromosomal,862,862,0,0.978433598183882,0.6584290786397919,0.6584290786397919,0.0
SHV-OKP-LEN,acquired,833,0,833,0.945516458569807,0.6743511004278216,,
AAC(6'),acquired,446,443,3,0.5062429057888763,0.6756825298813567,0.6782654478895603,-0.0025829180082036496
Sul,acquired,429,429,0,0.4869466515323496,0.6626687028624355,0.6626687028624355,0.0
CTX-M,acquired,428,428,0,0.4858115777525539,0.7037307590526177,0.7037307590526177,0.0
TEM,acquired,364,364,0,0.41316685584562995,0.6550164292330085,0.6550164292330085,0.0
OXA,acquired,339,339,0,0.3847900113507378,0.6170169364442288,0.6170169364442288,0.0
StrB,acquired,297,0,297,0.337116912599319,0.6964147885149736,,
StrA,acquired,289,0,289,0.3280363223609535,0.688949962510475,,
Dfr,acquired,287,287,0,0.3257661748013621,0.5480196709742865,0.5480196709742865,0.0
ANT(3''),acquired,275,210,65,0.31214528944381387,0.5813881047942487,0.5261654831738191,0.05522262162042968
AAC(3),acquired,263,263,0,0.2985244040862656,0.8700657169320337,0.8700657169320337,0.0
Cat,acquired,233,233,0,0.264472190692395,0.5449736470692013,0.5449736470692013,0.0
MphA,acquired,227,227,0,0.2576617480136209,0.5286491642041194,0.5286491642041194,0.0
Mrx,acquired,222,0,222,0.25198637911464244,0.49775889824901864,,
QnrB,acquired,218,218,0,0.2474460839954597,0.6287324130022495,0.6287324130022495,0.0
KPC,acquired,211,211,0,0.2395005675368899,0.4906827504079743,0.4906827504079743,0.0
TetA,acquired,203,203,0,0.2304199772985244,0.6042401755391875,0.6042401755391875,0.0
APH(3'),acquired,159,158,1,0.18047673098751418,0.5147173951395934,0.5131296034931416,0.0015877916464517305
TetD,acquired,108,108,0,0.12258796821793416,0.5574444272923742,0.5574444272923742,0.0
QnrS,acquired,104,104,0,0.11804767309875142,0.5292473426542584,0.5292473426542584,0.0
Arr,acquired,97,97,0,0.11010215664018161,0.5274362678075243,0.5274362678075243,0.0
NDM,acquired,89,89,0,0.10102156640181612,0.5628280333436245,0.5628280333436245,0.0
ArmA,acquired,54,54,0,0.06129398410896708,0.5632084417589203,0.5632084417589203,0.0
MphE,acquired,43,43,0,0.04880817253121453,0.544182507828695,0.544182507828695,0.0
MsrE,acquired,43,43,0,0.04880817253121453,0.5444278436907335,0.5444278436907335,0.0
CmlA,acquired,38,38,0,0.043132803632236094,0.5240484276452168,0.5240484276452168,0.0
FloR,acquired,32,32,0,0.036322360953461974,0.5254625545803379,0.5254625545803379,0.0
RmtB,acquired,25,25,0,0.028376844494892167,0.5015767653155735,0.5015767653155735,0.0
APH(4),acquired,19,18,1,0.021566401816118047,0.5197454020200238,0.5194394213381555,0.00030598068186837857
LAP,acquired,17,17,0,0.019296254256526674,0.5136313015480969,0.5136313015480969,0.0
ANT(2''),acquired,17,15,2,0.019296254256526674,0.5039915317778856,0.5012184095620341,0.0027731222158514646
VEB,acquired,14,14,0,0.015891032917139614,0.5108802319940016,0.5108802319940016,0.0
CMY,acquired,10,10,0,0.011350737797956867,0.5004961848895162,0.5004961848895162,0.0
RmtF,acquired,9,8,1,0.01021566401816118,0.510056013760861,0.5079196621532218,0.002136351607639142
Erm,acquired,8,8,0,0.009080590238365494,0.4996885061526926,0.4996885061526926,0.0
