gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,411,409,2,1.0,0.8435790931118033,0.8251644167532017,0.01841467635860161
GyrA,chromosomal,411,411,0,1.0,0.9523537556247836,0.9523537556247836,0.0
OmpK36,chromosomal,407,247,160,0.9902676399026764,0.8610938040844581,0.7328660436137072,0.1282277604707509
ParC,chromosomal,406,406,0,0.9878345498783455,0.9541190723433715,0.9541190723433715,0.0
OmpK35,chromosomal,403,158,245,0.9805352798053528,0.8528210453444097,0.8548978885427483,-0.0020768431983385627
SHV-OKP-LEN,acquired,373,0,373,0.9075425790754258,0.805330564209069,,
Sul,acquired,232,232,0,0.5644768856447688,0.6527172031844928,0.6527172031844928,0.0
CTX-M,acquired,229,229,0,0.5571776155717761,0.571754932502596,0.571754932502596,0.0
AAC(6'),acquired,214,213,1,0.5206812652068127,0.6327275874004845,0.6286258220837659,0.004101765316718575
OXA,acquired,194,194,0,0.4720194647201946,0.594773277950848,0.594773277950848,0.0
Dfr,acquired,175,175,0,0.4257907542579075,0.7092938733125649,0.7092938733125649,0.0
ANT(3''),acquired,162,128,34,0.39416058394160586,0.6366735894773279,0.6097957770854967,0.02687781239183118
TEM,acquired,158,158,0,0.3844282238442822,0.5203011422637591,0.5203011422637591,0.0
MphA,acquired,151,151,0,0.36739659367396593,0.6625822083766009,0.6625822083766009,0.0
Cat,acquired,148,148,0,0.36009732360097324,0.6720145379023883,0.6720145379023883,0.0
Mrx,acquired,146,0,146,0.35523114355231145,0.6482000692281065,,
KPC,acquired,138,138,0,0.3357664233576642,0.6289546555901696,0.6289546555901696,0.0
AAC(3),acquired,131,131,0,0.31873479318734793,0.5425060574593285,0.5425060574593285,0.0
StrB,acquired,119,0,119,0.2895377128953771,0.6061266874350987,,
StrA,acquired,116,0,116,0.2822384428223844,0.6028729664243683,,
APH(3'),acquired,114,113,1,0.2773722627737226,0.5867601246105919,0.5935098650051921,-0.00674974039460019
TetA,acquired,88,88,0,0.2141119221411192,0.5351678781585323,0.5351678781585323,0.0
QnrB,acquired,69,69,0,0.1678832116788321,0.5683800623052959,0.5683800623052959,0.0
TetD,acquired,42,42,0,0.10218978102189781,0.46555901696088614,0.46555901696088614,0.0
Arr,acquired,41,41,0,0.09975669099756691,0.5048286604361371,0.5048286604361371,0.0
CmlA,acquired,33,33,0,0.08029197080291971,0.5008480443059882,0.5008480443059882,0.0
QnrS,acquired,32,32,0,0.07785888077858881,0.4525441329179647,0.4525441329179647,0.0
NDM,acquired,28,28,0,0.0681265206812652,0.4974731741086882,0.4974731741086882,0.0
MsrE,acquired,25,25,0,0.06082725060827251,0.4997403946002077,0.4997403946002077,0.0
MphE,acquired,25,25,0,0.06082725060827251,0.4992731048805815,0.4992731048805815,0.0
ArmA,acquired,23,23,0,0.05596107055961071,0.4974039460020768,0.4974039460020768,0.0
APH(4),acquired,18,17,1,0.043795620437956206,0.5235548632744893,0.5220145379023883,0.0015403253721010257
ANT(2''),acquired,11,10,1,0.0267639902676399,0.4788508134302526,0.48866389754240225,-0.00981308411214965
RmtF,acquired,8,7,1,0.019464720194647202,0.5074766355140187,,
