gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,614,611,3,1.0,0.7443807546488536,0.749469669615454,-0.005088914966600466
GyrA,chromosomal,614,614,0,1.0,0.8005506409099116,0.8005506409099116,0.0
OmpK36,chromosomal,609,328,281,0.99185667752443,0.7991909640729372,0.6708679364506228,0.1283230276223144
OmpK35,chromosomal,606,357,249,0.9869706840390879,0.773808449178552,0.7619550009026901,0.011853448275861878
ParC,chromosomal,602,602,0,0.9804560260586319,0.8164718360714931,0.8164718360714931,0.0
SHV-OKP-LEN,acquired,574,0,574,0.9348534201954397,0.721965833182885,,
Sul,acquired,282,282,0,0.4592833876221498,0.663110444123488,0.663110444123488,0.0
CTX-M,acquired,281,281,0,0.4576547231270358,0.6004186224950352,0.6004186224950352,0.0
AAC(6'),acquired,258,257,1,0.4201954397394137,0.690868162123127,0.6889555876512006,0.001912574471926387
OXA,acquired,219,219,0,0.3566775244299674,0.673841171691641,0.673841171691641,0.0
TEM,acquired,209,209,0,0.34039087947882735,0.5733943401335981,0.5733943401335981,0.0
Dfr,acquired,202,202,0,0.3289902280130293,0.6316122043690198,0.6316122043690198,0.0
ANT(3''),acquired,190,154,36,0.30944625407166126,0.6386136938075465,0.6049941325148944,0.03361956129265209
MphA,acquired,163,163,0,0.26547231270358307,0.6274372630438708,0.6274372630438708,0.0
StrB,acquired,163,0,163,0.26547231270358307,0.5101439790575916,,
StrA,acquired,159,0,159,0.25895765472312704,0.513658828308359,,
Mrx,acquired,158,0,158,0.25732899022801303,0.6190704549557682,,
Cat,acquired,158,158,0,0.25732899022801303,0.6491187488716375,0.6491187488716375,0.0
AAC(3),acquired,158,158,0,0.25732899022801303,0.5774113107059036,0.5774113107059036,0.0
KPC,acquired,144,144,0,0.23452768729641693,0.6731077360534393,0.6731077360534393,0.0
TetA,acquired,130,130,0,0.21172638436482086,0.47993771438887883,0.47993771438887883,0.0
QnrB,acquired,120,120,0,0.19543973941368079,0.4862678281278209,0.4862678281278209,0.0
APH(3'),acquired,116,115,1,0.18892508143322476,0.5733886983209966,0.5753069146055245,-0.0019182162845279294
TetD,acquired,59,59,0,0.09609120521172639,0.5278254197508576,0.5278254197508576,0.0
Arr,acquired,51,51,0,0.08306188925081433,0.5383868929409641,0.5383868929409641,0.0
QnrS,acquired,47,47,0,0.07654723127035831,0.4735624661491244,0.4735624661491244,0.0
ArmA,acquired,45,45,0,0.0732899022801303,0.5443333634230005,0.5443333634230005,0.0
NDM,acquired,43,43,0,0.07003257328990228,0.547656391045315,0.547656391045315,0.0
CmlA,acquired,36,36,0,0.05863192182410423,0.523949494493591,0.523949494493591,0.0
MsrE,acquired,35,35,0,0.057003257328990226,0.5359496298970934,0.5359496298970934,0.0
MphE,acquired,35,35,0,0.057003257328990226,0.5355208521393754,0.5355208521393754,0.0
APH(4),acquired,19,18,1,0.030944625407166124,0.5122991514713847,0.5130043780465787,-0.0007052265751940068
ANT(2''),acquired,18,17,1,0.029315960912052116,0.5056079617259432,0.506380890052356,-0.0007729283264127362
VEB,acquired,13,13,0,0.021172638436482084,0.5059126196064272,0.5059126196064272,0.0
RmtF,acquired,10,9,1,0.016286644951140065,0.5102737407474274,0.5068999368116989,0.0033738039357285032
CMY,acquired,9,9,0,0.014657980456026058,0.4976191550821448,0.4976191550821448,0.0
FloR,acquired,9,9,0,0.014657980456026058,0.4956558042968045,0.4956558042968045,0.0
