card_family,bakta_gene_name,bakta_gene_set,n_card_hits,n_with_bakta,n_bakta_distinct,bakta_coverage
AAC(2'),aac(2')-IIa,aac(2')-IIa,1,1,1,1.0
AAC(3),aac(3)-IIe,aac(3)-IIe|aac(3)-IId,2181,2177,17,0.9982
AAC(6'),aac(6')-Ib,aac(6')-Ib,3445,3357,19,0.9745
ACC,blaACC-1,blaACC-1,5,5,2,1.0
ACT,blaACT-35,blaACT-35,1,1,1,1.0
ADC,blaADC,blaADC,4,4,4,1.0
ANT(2''),ant(2'')-Ia,ant(2'')-Ia|aadB,130,130,2,1.0
ANT(3''),aadA2,aadA2|aadA1|aadA16,2959,2954,55,0.9983
ANT(4'),aadD1,aadD1,1,1,1,1.0
APH(2''),aph(2'')-IIa,aph(2'')-IIa,8,8,1,1.0
APH(3''),aph(3'')-Ib,aph(3'')-Ib,2,2,1,1.0
APH(3'),aph(3')-Ia,aph(3')-Ia|aph(3')-VI,1423,1419,15,0.9972
APH(4),aph(4)-Ia,aph(4)-Ia,116,116,2,1.0
APH(6),aph(6)-Id,aph(6)-Id,4,4,1,1.0
AmpC1,pbp4b,pbp4b,3,3,1,1.0
ArmA,armA,armA,358,358,1,1.0
Arr,arr-3,arr-3|arr-2|arr,630,613,4,0.973
CARB,blaPSE,blaPSE,19,19,1,1.0
CMY,blaCMY-2,blaCMY-2|blaCMY-16|blaCMY-4|blaCMY-6,91,91,8,1.0
CTX-M,blaCTX-M-15,blaCTX-M-15,3277,3275,19,0.9994
Cat,catA1,catA1|catA2|catB3,1899,1890,10,0.9953
CmlA,cmlA1,cmlA1|cmlA5,290,290,3,1.0
CmlB,cmlB,cmlB,1,1,1,1.0
DHA,blaDHA-1,blaDHA-1,113,113,4,1.0
Dfr,dfrA12,dfrA12|dfrA|dfrA5,4638,2317,25,0.4996
EreA,ere(A),ere(A),75,69,1,0.92
EreB,ere(B),ere(B),10,10,1,1.0
Erm,erm(B),erm(B)|erm(42),96,95,3,0.9896
FOX,blaFOX-5,blaFOX-5,15,15,2,1.0
FloR,floR,floR,223,223,1,1.0
FosA,fosA3,fosA3|fosA7,24,24,2,1.0
GES,blaGES-19,blaGES-19|blaGES-5,7,7,2,1.0
GyrA,gyrA,gyrA,7061,7061,13,1.0
IMP,blaIMP-4,blaIMP-4|blaIMP-1,12,12,4,1.0
KPC,blaKPC-2,blaKPC-2|blaKPC-3,1480,1480,9,1.0
LAP,blaLAP-2,blaLAP-2,124,124,3,1.0
LnuF,lnu(F),lnu(F),27,27,1,1.0
LnuG,lnu(G),lnu(G),1,1,1,1.0
Mcr1,mcr-1.1,mcr-1.1,6,6,2,1.0
Mcr10,mcr-10.1,mcr-10.1,3,3,1,1.0
Mcr3,mcr-3.21,mcr-3.21,10,10,6,1.0
Mcr8,mcr-8.1,mcr-8.1,1,1,1,1.0
Mcr9,mcr-9.1,mcr-9.1|mcr-9.2,26,26,2,1.0
MefB,mef(B),mef(B),4,4,1,1.0
MphA,mph(A),mph(A),1757,1757,2,1.0
MphB,hyfJ,hyfJ|mph(B),7,7,2,1.0
MphE,mph(E),mph(E),348,348,1,1.0
Mrx,BCBCGN_25615,BCBCGN_25615,1735,1735,1735,1.0
MsrE,msr(E),msr(E),349,349,1,1.0
NDM,blaNDM-1,blaNDM-1|blaNDM-4|blaNDM-5,590,590,6,1.0
OXA,blaOXA-1,blaOXA-1|blaOXA-9|blaOXA-48,4010,3997,27,0.9968
OXY,blaOXY-5-9,blaOXY-5-9,1,1,1,1.0
OmpK35,ompK35,ompK35|ompC,7016,7016,1018,1.0
OmpK36,ompC,ompC|ompK36_T333N|ompK36,6955,6955,1972,1.0
PDC,blaPDC-35,blaPDC-35,4,4,3,1.0
PER,blaPER-7,blaPER-7,1,1,1,1.0
ParC,parC,parC,6961,6961,2,1.0
PmrB,pmrB,pmrB,7062,7062,2,1.0
QepA,qepA1,qepA1,10,10,1,1.0
QnrA,qnrA1,qnrA1|qnrA3|qnrA6,35,35,4,1.0
QnrB,qnrB1,qnrB1|qnrB|qnrB6,1645,1638,12,0.9957
QnrE,qnrE1,qnrE1,3,3,2,1.0
QnrS,qnrS1,qnrS1,690,690,2,1.0
QnrVC,qnrVC4,qnrVC4,1,1,1,1.0
RmtB,rmtB1,rmtB1,135,135,3,1.0
RmtC,rmtC,rmtC,30,30,1,1.0
RmtD,rmtD1,rmtD1,2,2,1,1.0
RmtF,rmtF1,rmtF1|rmtF,90,90,3,1.0
RmtG,rmtG,rmtG,2,2,1,1.0
RmtH,rmtH,rmtH,1,1,1,1.0
SAT,sat2,sat2,57,57,1,1.0
SCO,blaSCO-1,blaSCO-1,63,63,1,1.0
SFO-1,blaSFO-1,blaSFO-1,4,4,3,1.0
SHV-OKP-LEN,blaSHV-11,blaSHV-11|blaSHV-28|blaSHV-1|blaSHV-12,6974,6771,107,0.9709
StrA,aph(3'')-Ib,aph(3'')-Ib,2219,2217,1,0.9991
StrB,aph(6)-Id,aph(6)-Id,2248,2246,1,0.9991
Sul,sul1,sul1|sul2,5186,5179,5,0.9987
TEM,blaTEM-1,blaTEM-1,3278,2910,18,0.8877
TetA,tet(A),tet(A),1469,1430,1,0.9735
TetB,tet(B),tet(B),50,50,1,1.0
TetC,tet(C),tet(C),11,11,1,1.0
TetD,tet(D),tet(D),827,826,1,0.9988
TetG,tet(G),tet(G),17,17,1,1.0
TetJ,tet(J),tet(J),4,3,1,0.75
TetL,tet(L),tet(L),1,1,1,1.0
TetM,tet(M),tet(M),4,4,1,1.0
TetR,tetR(B),tetR(B),54,54,1,1.0
TetW,tet(W),tet(W),2,2,1,1.0
TetX,tet(X5),tet(X5),1,1,1,1.0
VEB,blaVEB-5,blaVEB-5|blaVEB-1,63,63,2,1.0
VIM,blaVIM-1,blaVIM-1|blaVIM-4,64,64,6,1.0
tmexC,tmexC3,tmexC3,1,1,1,1.0
tmexD,adeB,adeB,1,1,1,1.0
toprJ,adeC,adeC,1,1,1,1.0
