gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.8974626782531195,0.000627996010568669,0.751547603732972,0.001739302475916944,16,2519,False,False,False,False
AAC(6'),AAC(6'),acquired_hgt,0.7089460784313725,0.0,0.3053618390156852,0.0,1,1679,True,True,False,False
ArmA,ArmA,acquired_hgt,0.6629901960784312,1.1491900087240784e-16,0.435733070348455,0.0,1,222,True,True,False,False
ANT(3''),ANT(3''),acquired_hgt,0.655414438502674,1.1491900087240784e-16,0.28252248645808564,1.1491900087240784e-16,1,1123,True,True,False,False
APH(3'),APH(3'),acquired_hgt,0.6195409982174687,2.298380017448157e-16,0.2716144254605793,0.0,1,578,True,True,False,False
AAC(3),AAC(3),acquired_hgt,0.5929144385026739,0.0,0.23099772929589124,8.618925065430588e-17,1,1155,True,True,False,False
RmtB,RmtB,acquired_hgt,0.561636586452763,0.0,0.27958804016496325,0.0,1,79,True,True,False,False
RmtF,RmtF,acquired_hgt,0.5227272727272726,1.1491900087240784e-16,0.23184507799892412,5.745950043620392e-17,1,44,True,True,False,False
APH(4),APH(4),acquired_hgt,0.5060661764705883,0.008372118918491813,0.19785024691907277,0.001337333975394978,1,55,True,True,False,False
ANT(2''),ANT(2''),acquired_hgt,0.5041685234699941,0.012204187075364656,0.19957397427856186,0.005970571025416041,1,88,True,True,False,False
SAT,SAT,acquired_hgt,0.5028687611408199,0.0,0.19757486103639946,2.872975021810196e-17,1,26,True,True,False,False
StrB,StrB,acquired_hgt,0.5001671122994652,0.0,0.19531881356568304,5.745950043620392e-17,1,1262,True,True,False,False
StrA,StrA,acquired_hgt,0.49649064171122975,1.1491900087240784e-16,0.19417307258498318,5.745950043620392e-17,1,1238,True,True,False,False
