gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9752045795795795,0.0010503517775570267,0.9957380533871086,0.00012771178690538119,21,2013,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.827027027027027,0.0,0.9602741497478339,1.1491900087240784e-16,1,1184,True,True,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.813907657657658,3.447570026172235e-16,0.9569619451689774,1.1491900087240784e-16,1,922,True,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.8067567567567567,0.0,0.9556187766714078,3.447570026172235e-16,1,1091,False,True,False,True
OXA,OXA,acquired_hgt,0.7770270270270268,2.298380017448157e-16,0.9487908961593168,4.596760034896314e-16,1,1045,True,True,False,False
TEM,TEM,acquired_hgt,0.7756756756756755,2.298380017448157e-16,0.9484805379542219,2.298380017448157e-16,1,1036,True,True,False,False
KPC,KPC,acquired_hgt,0.62972972972973,2.298380017448157e-16,0.9149618518039571,0.0,1,542,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5988738738738738,0.0,0.9070343070343069,1.1491900087240784e-16,1,1515,True,False,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5863175675675675,1.1491900087240784e-16,0.904330790120264,2.298380017448157e-16,1,488,False,True,False,True
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.543243243243243,2.298380017448157e-16,0.8941099013603927,0.0,1,847,True,True,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.5411036036036039,2.298380017448157e-16,0.8936720245397343,0.0,1,1141,True,False,False,False
NDM,NDM,acquired_hgt,0.518918918918919,0.0,0.8895124789861628,2.298380017448157e-16,1,81,True,True,False,False
LAP,LAP,acquired_hgt,0.5054054054054051,2.298380017448157e-16,0.8864088969352124,2.298380017448157e-16,1,31,True,True,False,False
CMY,CMY,acquired_hgt,0.5054054054054051,2.298380017448157e-16,0.8864088969352124,2.298380017448157e-16,1,19,True,True,False,False
CARB,CARB,acquired_hgt,0.5027027027027026,1.1491900087240784e-16,0.8857881805250225,2.298380017448157e-16,1,14,True,True,False,False
FOX,FOX,acquired_hgt,0.5027027027027026,1.1491900087240784e-16,0.8857881805250225,2.298380017448157e-16,1,10,True,True,False,False
