gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
GyrA,chromosomal,407,0.8656792174234033,0.8770764119601329,0.9720837947582134,False,0.10640457733481012
paaH,bakta_nonamr,407,0.8645443196004993,0.8904494382022472,0.9829677189227752,False,0.11842339932227597
mhpA,bakta_nonamr,404,0.8593722133047976,0.8496522204387373,0.9801141430354914,False,0.12074192973069375
comEC,bakta_nonamr,403,0.851614053861245,0.9092429106474048,0.9799135009809168,False,0.12829944711967178
hrpB,bakta_nonamr,405,0.8501649723559835,0.9029784198323524,0.9873372570001784,False,0.13717228464419484
entF,bakta_nonamr,404,0.8500535045478865,0.8658373461744249,0.9856875334403424,False,0.1356340288924559
tmcA,bakta_nonamr,405,0.8500089174246478,0.8165239878723025,0.9536739789548778,False,0.10366506153023003
gatC,bakta_nonamr,404,0.849139468521491,0.8282949884073479,0.9722222222222222,False,0.12308275370073118
aNKYR,bakta_nonamr,401,0.849028000713394,0.7482165150704476,0.94573747101837,False,0.09670947030497601
ubiF,bakta_nonamr,407,0.8479133226324238,0.8597734974139468,0.979489923310148,False,0.13157660067772414
OmpK35,chromosomal,401,0.846922296050203,0.9358157991878924,0.9853266888150608,True,0.13840439276485783
lpoA,bakta_nonamr,407,0.8432539682539681,0.8780096308186196,0.973470661672909,False,0.13021669341894082
ftsK,bakta_nonamr,406,0.8400659889423935,0.8918762261458891,0.9761904761904762,False,0.13612448724808268
pqqF,bakta_nonamr,404,0.8395532370251471,0.8347601212769753,0.978063135366506,False,0.13850989834135896
glgX,bakta_nonamr,407,0.8394194756554307,0.8719457820581417,0.982254324950954,False,0.14283484929552326
gspL,bakta_nonamr,406,0.8345148920991617,0.8857232031389336,0.9702158016764758,False,0.13570090957731407
ParC,chromosomal,404,0.8329411221853084,0.860234403839055,0.9598560354374308,False,0.12691491325212245
pat,bakta_nonamr,406,0.8305689316925271,0.862983770287141,0.9748974496165508,False,0.14432851792402368
CTX-M,acquired,218,0.7823689553340716,0.787329272794389,0.7979881875230712,True,0.015619232188999632
OmpK36,chromosomal,403,0.7767165005537098,0.8454226651901071,0.966500553709856,True,0.18978405315614622
OXA,acquired,194,0.770279623477298,0.7697720561092654,0.7707871908453303,True,0.0005075673680323689
AAC(6'),acquired,192,0.7622046880767812,0.7616048357327427,0.761327980804725,False,-0.000876707272056243
PmrB,chromosomal,407,0.7330887781469178,0.869139904023625,0.9725913621262458,False,0.239502583979328
Sul,acquired,218,0.7294204503506829,0.730827796234773,0.7697028423772609,False,0.04028239202657802
SHV-OKP-LEN,acquired,380,0.7177233296419344,0.827357881136951,0.9736295681063124,True,0.255906238464378
TEM,acquired,148,0.6858619416758952,0.6868309339239571,0.6888842746400886,True,0.0030223329641934082
AAC(3),acquired,128,0.6741648209671465,0.674764673311185,0.6738648947951273,False,-0.0002999261720191271
Cat,acquired,122,0.6580380214101144,0.6588455149501661,0.6597452934662237,False,0.0017072720561093213
KPC,acquired,111,0.6483711701734958,0.6465254706533776,0.6495247323735696,True,0.0011535622000737877
ANT(3''),acquired,143,0.6466177556293836,0.6300526024363233,0.676656515319306,False,0.030038759689922423
Dfr,acquired,147,0.6382890365448505,0.6449104835732743,0.6634597637504615,False,0.025170727205610977
MphA,acquired,123,0.6356127722406792,0.6371585455887782,0.6428340716131414,False,0.0072212993724621866
Mrx,acquired,119,0.6320828719084534,0.6325442967884829,0.6404808047249908,False,0.008397932816537446
StrB,acquired,126,0.6222083794758213,0.6494555186415653,0.6609219269102989,False,0.038713547434477635
StrA,acquired,122,0.6118032484311555,0.6423495754891103,0.6538390550018457,False,0.04203580657069017
APH(3'),acquired,102,0.6096114802510151,0.6152870062753784,0.617017349575489,False,0.007405869324473957
TetA,acquired,98,0.5794804355850869,0.5910852713178294,0.62093946105574,False,0.041459025470653166
QnrB,acquired,70,0.5539174972314508,0.5464424141749723,0.5623154300479882,False,0.008397932816537446
Arr,acquired,29,0.5281238464378,0.5281238464378,0.5281238464378,False,0.0
TetD,acquired,45,0.5263935031376893,0.5303156146179402,0.544296788482835,False,0.017903285345145736
NDM,acquired,19,0.5116048357327427,0.5116048357327427,0.5113049095607235,True,-0.0002999261720192381
ArmA,acquired,15,0.5092284976005906,0.5092284976005906,0.5092284976005906,False,0.0
MsrE,acquired,16,0.5077519379844961,0.5077519379844961,0.5077519379844961,False,0.0
MphE,acquired,16,0.506298449612403,0.5077519379844961,0.5077519379844961,False,0.0014534883720931369
CmlA,acquired,21,0.5019610557401256,0.5012689184200813,0.5017303433001108,False,-0.00023071244001482416
APH(4),acquired,8,0.5011766334440753,0.5011766334440753,0.502422480620155,False,0.001245847176079784
ANT(2''),acquired,10,0.485718899963086,0.4919481358434847,0.4884413067552602,False,0.0027224067921742257
QnrS,acquired,18,0.4834348468069398,0.499907715023994,0.5007844222960502,False,0.017349575489110425
