gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9078536629690984,0.0026604816169952163,0.9721783721804554,0.0008502831656997664,168,2730,False,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7349808131854304,1.1491900087240784e-16,0.8984978622863301,1.1491900087240784e-16,1,1264,True,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7322653022709639,1.1491900087240784e-16,0.898092043060933,3.447570026172235e-16,1,1466,False,True,False,True
CTX-M-15,CTX-M-15,acquired_hgt,0.7257858206294953,1.1491900087240784e-16,0.8957706512293664,2.298380017448157e-16,1,1420,True,True,False,False
KPC-2,KPC-2,acquired_hgt,0.6268950911111576,1.1491900087240784e-16,0.8638301506766302,2.298380017448157e-16,1,677,True,True,False,False
TEM-105,TEM-105,acquired_hgt,0.6166935771351886,1.1491900087240784e-16,0.8575636454262164,1.1491900087240784e-16,1,888,True,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6090817588961814,1.1491900087240784e-16,0.857013387439858,1.1491900087240784e-16,1,567,True,False,False,False
SHV-28,SHV-28,acquired_hgt,0.5999706431252492,1.1491900087240784e-16,0.8512875557537427,0.0,1,829,True,False,False,False
OXA-1,OXA-1,acquired_hgt,0.5950743358007087,1.1491900087240784e-16,0.850527075084234,2.298380017448157e-16,1,698,True,False,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5719138585418018,2.298380017448157e-16,0.8412866193319375,2.298380017448157e-16,1,2013,True,False,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5681184340204241,0.0,0.8401864326177424,2.298380017448157e-16,1,703,False,True,False,True
SHV-11,SHV-11,acquired_hgt,0.5583153347732182,0.0,0.8392455105358357,1.1491900087240784e-16,1,291,True,False,False,False
SHV-12,SHV-12,acquired_hgt,0.5556207930550022,0.0,0.8379096605505705,0.0,1,272,True,True,False,False
NDM-1,NDM-1,acquired_hgt,0.5329426073098615,2.298380017448157e-16,0.8296778660534014,1.1491900087240784e-16,1,190,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.5329426073098615,2.298380017448157e-16,0.8296778660534014,1.1491900087240784e-16,1,199,True,False,False,False
TEM-150,TEM-150,acquired_hgt,0.5307827800960389,1.1491900087240784e-16,0.8288953096597834,1.1491900087240784e-16,1,176,True,False,False,False
KPC-3,KPC-3,acquired_hgt,0.5248380129589634,1.1491900087240784e-16,0.8270611849285276,3.447570026172235e-16,1,111,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.517215710121831,0.0,0.8231819768166595,0.0,1,249,True,False,False,False
SHV-13,SHV-13,acquired_hgt,0.5124032795822935,1.1491900087240784e-16,0.8217307869239435,0.0,1,27,True,True,False,False
SHV-67,SHV-67,acquired_hgt,0.5097401916584536,1.1491900087240784e-16,0.821108796649055,1.1491900087240784e-16,1,110,True,False,False,False
VEB-5,VEB-5,acquired_hgt,0.5081045943508985,0.0,0.820744027892827,0.0,1,41,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5075593952483802,1.1491900087240784e-16,0.8207725007441105,3.447570026172235e-16,1,25,True,True,False,False
CTX-M-55,CTX-M-55,acquired_hgt,0.5064794816414687,0.0,0.8203794579825842,1.1491900087240784e-16,1,35,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.5053995680345571,1.1491900087240784e-16,0.8199864152210579,1.1491900087240784e-16,1,18,True,True,False,False
CTX-M-3,CTX-M-3,acquired_hgt,0.5021598272138228,1.1491900087240784e-16,0.8188072869364796,1.1491900087240784e-16,1,15,True,True,False,False
OXA-48,OXA-48,acquired_hgt,0.5010903982050366,1.1491900087240784e-16,0.81835191700565,1.1491900087240784e-16,1,49,True,True,False,False
NDM-4,NDM-4,acquired_hgt,0.49870410367170626,0.020075939591571928,0.8182587484255032,0.006620112408392876,1,77,True,True,False,False
SHV-5,SHV-5,acquired_hgt,0.4985601151907847,0.004215551071052004,0.8176892364713083,0.0013936848373585218,1,24,True,True,False,False
CTX-M-27,CTX-M-27,acquired_hgt,0.4983853718886956,1.1491900087240784e-16,0.8175804592876386,0.0,1,22,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.49319339889702024,0.009394001994695988,0.8161048487531215,0.0029951378179579485,1,96,True,True,False,False
CTX-M-14,CTX-M-14,acquired_hgt,0.49189540564910145,0.0,0.8156155456496064,2.298380017448157e-16,1,60,True,True,False,False
