gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
dcp,bakta_nonamr,479,0.7748733839797415,0.7438774490203919,0.9333016793282688,False,0.15842829534852731
gspL,bakta_nonamr,478,0.7690173930427829,0.7577802212448354,0.9304444888711184,False,0.16142709582833548
sbcB,bakta_nonamr,481,0.7659019725443155,0.6818022790883647,0.923572237771558,False,0.15767026522724248
lpoA,bakta_nonamr,483,0.7580051312808209,0.7671181527389044,0.9457300413168066,False,0.18772491003598568
gatC,bakta_nonamr,477,0.7556144208983073,0.7182626949220312,0.9245968279354924,False,0.16898240703718503
comEC,bakta_nonamr,481,0.754506530721045,0.7545148607223777,0.9467712914834066,False,0.19226476076236154
pgaB,bakta_nonamr,477,0.7491170198587231,0.6962381713981075,0.941173530587765,False,0.19205651072904184
OmpK36,chromosomal,476,0.7447002443149785,0.7286318361210298,0.9388930652133058,True,0.19419282089832735
paaH,bakta_nonamr,483,0.7409202985472477,0.749458549913368,0.935500799680128,False,0.19458050113288028
tssH,bakta_nonamr,446,0.7395791683326669,0.6104558176729308,0.8631047580967613,False,0.12352558976409445
rne,bakta_nonamr,481,0.7390793682526989,0.653896774623484,0.937833200053312,False,0.19875383180061312
AAC(6'),acquired,228,0.7387521142642361,0.7120841947002442,0.7925765833489945,False,0.05382446908475835
yegD,bakta_nonamr,483,0.7386045581767294,0.6769875383180061,0.9351342796214848,False,0.19652972144475533
aac(6')-Ib,bakta_nonamr,232,0.7385712381713981,0.7208449953351993,0.7778805144608822,False,0.03930927628948411
pgtC,bakta_nonamr,456,0.7385629081700655,0.7164800746368118,0.923947087831534,False,0.18538417966146847
GyrA,chromosomal,483,0.7373801916932907,0.7048862995677505,0.9303702311595564,False,0.1929900394662657
ccmI,bakta_nonamr,480,0.7370218579234973,0.6693739170998267,0.9213064774090364,False,0.1842846194855391
bcsC,bakta_nonamr,482,0.7354558176729309,0.704676462748234,0.92182293749167,False,0.1863671198187391
OmpK35,chromosomal,474,0.7275981958278519,0.788216500657771,0.9330201090020672,True,0.20542191317421532
ParC,chromosomal,473,0.7226367224205976,0.7438733320804359,0.937690283781244,False,0.21505356136064635
CTX-M,acquired,256,0.6855854162751364,0.6823999248261605,0.740321368163879,True,0.054735951888742584
PmrB,chromosomal,483,0.6635876714903214,0.7227024995301635,0.9373426047735388,False,0.2737549332832174
OXA,acquired,193,0.6516444277391468,0.6328791580529975,0.6901992106746851,True,0.03855478293553838
Dfr,acquired,168,0.6408287915805301,0.6320146588987032,0.7082409321556098,False,0.06741214057507972
ANT(3''),acquired,163,0.6371076865250893,0.6131178349934223,0.6955459500093968,False,0.05843826348430747
MphA,acquired,139,0.6363089644803608,0.5949915429430559,0.6804548017289983,False,0.04414583724863752
Mrx,acquired,134,0.6326536365344859,0.6100451043037024,0.6710768652508927,False,0.0384232287164068
TEM,acquired,190,0.6265363653448599,0.6241495959406127,0.692773914677692,True,0.0662375493328321
Sul,acquired,233,0.6227494831798533,0.5679289607216689,0.7168201465889871,False,0.09407066340913373
AAC(3),acquired,142,0.5953862056004511,0.5751080623942869,0.6153072730689718,False,0.019921067468520737
KPC,acquired,113,0.5911200902086073,0.5796372862243939,0.6107780492388648,True,0.019657959030257466
APH(3'),acquired,100,0.5835651193384702,0.548430746100357,0.6087577523021988,False,0.025192632963728534
SHV-OKP-LEN,acquired,446,0.5806145461379439,0.7164630708513438,0.920917120841947,True,0.34030257470400305
StrB,acquired,143,0.5774948317985341,0.5631742153730501,0.6108626198083067,False,0.03336778800977258
QnrB,acquired,100,0.5677410261229092,0.5655515880473595,0.6065401240368351,False,0.038799097913925884
StrA,acquired,140,0.5647152790828791,0.5644521706446156,0.6121311783499342,False,0.04741589926705514
Cat,acquired,123,0.5646025183236232,0.6069441834241683,0.6125446344672054,False,0.047942116143582236
ArmA,acquired,42,0.5587859424920127,0.5587859424920127,0.5587859424920127,False,0.0
Arr,acquired,44,0.5449821462131178,0.5327382071039277,0.5363841383198646,False,-0.008598007893253157
NDM,acquired,31,0.5405750798722045,0.5405750798722045,0.5405750798722045,True,0.0
TetA,acquired,122,0.5394756624694605,0.5192257094531103,0.6362901710204848,False,0.09681450855102425
MphE,acquired,29,0.5360740462319113,0.5363747415899268,0.5363747415899268,False,0.0003006953580154681
MsrE,acquired,29,0.5360646495019733,0.5365250892689345,0.5370700996053374,False,0.0010054501033640584
VEB,acquired,15,0.5188498402555911,0.519423040781808,0.5188498402555911,True,0.0
TetD,acquired,47,0.5142548393159181,0.5067092651757188,0.564254839315918,False,0.04999999999999993
ANT(2''),acquired,19,0.513831986468709,0.5054407066340914,0.5144615673745536,False,0.00062958090584464
CmlA,acquired,36,0.5097632024055628,0.5007423416651006,0.5182202593497462,False,0.008457056944183416
APH(4),acquired,15,0.5087671490321368,0.5025465138131929,0.5025465138131929,False,-0.006220635218943893
CMY,acquired,9,0.5080060139071604,0.5017289983085886,0.508682578462695,True,0.0006765645555346644
QnrS,acquired,41,0.4861492200714151,0.5121781619996242,0.5609471903777485,False,0.07479797030633345
