gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
AAC(6'),acquired,231,0.861057345081612,0.8614184602051133,0.8677596417737975,False,0.006702296692185472
GyrA,chromosomal,416,0.8558283980933122,0.8833164812942367,0.987346526072512,False,0.13151812797919982
aac(6')-Ib,bakta_nonamr,229,0.8255916832559167,0.8265870382658704,0.8291307232913072,False,0.003539040035390517
gatC,bakta_nonamr,413,0.8204158372041583,0.8005972130059721,0.974330900243309,False,0.1539150630391507
ParC,chromosomal,414,0.819456882854254,0.9051278347537196,0.9932399248880542,False,0.17378304203380024
thiK,bakta_nonamr,416,0.7909201504092015,0.866932094669321,0.9781243087812432,False,0.18720415837204174
CTX-M,acquired,180,0.7892676585295393,0.788964321825798,0.7884587606528962,True,-0.0008088978766430666
pgaA,bakta_nonamr,413,0.7876023003760229,0.8393939393939394,0.982415394824154,False,0.1948130944481311
ade,bakta_nonamr,416,0.7847378898473789,0.8299491262994912,0.9804246848042468,False,0.19568679495686792
comEC,bakta_nonamr,414,0.7828024773280247,0.8060827250608271,0.974496792744968,False,0.19169431541694337
xynB,bakta_nonamr,411,0.778942711789427,0.8538708250387084,0.976786109267861,False,0.19784339747843405
tssH,bakta_nonamr,398,0.7766202167662022,0.7911745189117452,0.9746516257465164,False,0.19803140898031424
pcaB,bakta_nonamr,415,0.7760451227604512,0.787657597876576,0.9756690997566908,False,0.19962397699623957
dcp,bakta_nonamr,410,0.7744746737447467,0.849944702499447,0.9777040477770406,False,0.2032293740322939
OmpK36,chromosomal,410,0.773999711107901,0.893398815542395,0.9874620829120324,True,0.2134623718041314
paaZ,bakta_nonamr,415,0.7723512497235124,0.819442601194426,0.9804799823047998,False,0.2081287325812874
rbbA,bakta_nonamr,413,0.7691992921919929,0.7206259677062596,0.9799933642999336,False,0.21079407210794066
TEM,acquired,183,0.7690018777986423,0.7739130434782608,0.7798786653185035,True,0.010876787519861209
ftsK,bakta_nonamr,412,0.7684693651846937,0.8502211900022119,0.9761446582614464,False,0.2076752930767527
fimK,bakta_nonamr,392,0.7650962176509623,0.8364189338641894,0.9729263437292632,False,0.20783012607830098
rne,bakta_nonamr,415,0.7641672196416722,0.8082946250829464,0.9793519132935192,False,0.215184693651847
OmpK35,chromosomal,411,0.7497327748086089,0.908363426260292,0.9909287880976456,True,0.24119601328903673
StrB,acquired,163,0.7163946266069623,0.7070778564206269,0.7415426838075978,False,0.02514805720063551
StrA,acquired,157,0.7045356059511773,0.7191391015455728,0.7429438104867832,False,0.038408204535605894
Sul,acquired,162,0.691838798208869,0.6918532428138091,0.7357503972266359,False,0.04391159901776698
SHV-OKP-LEN,acquired,396,0.6800375559728442,0.7947566084067601,0.9818720208002312,True,0.30183446482738696
AAC(3),acquired,130,0.67368192979922,0.680008666762964,0.6850642784919831,False,0.011382348692763111
Dfr,acquired,121,0.6643073811931244,0.6716596851076123,0.6866387404304493,False,0.022331359237324877
ANT(3''),acquired,112,0.6580817564639607,0.6492416582406472,0.6832731474794165,False,0.025191391015455755
QnrB,acquired,116,0.6572006355626174,0.6657951755019501,0.6648996099956667,False,0.007698974433049233
OXA,acquired,122,0.6527950310559006,0.6422360248447204,0.6612451249458328,True,0.00845009388993212
KPC,acquired,99,0.6526794742163802,0.6507872309692331,0.652925032500361,True,0.0002455582839808734
Mrx,acquired,100,0.6357648418315758,0.638711541239347,0.63947710530117,False,0.0037122634695941903
MphA,acquired,100,0.6355915065722952,0.6437382637584862,0.6369637440416004,False,0.0013722374693051487
Cat,acquired,93,0.631315903510039,0.625292503250036,0.6323414704607829,False,0.0010255669507439613
PmrB,chromosomal,416,0.6245991622129136,0.8479849776108623,0.9948577206413404,False,0.3702585584284268
NDM,acquired,67,0.5999422215802397,0.5966344070489671,0.602888920988011,True,0.0029466994077712583
QnrS,acquired,73,0.5907698974433049,0.5900332225913621,0.6038133757041744,False,0.01304347826086949
Arr,acquired,66,0.5906832298136646,0.5961866242958255,0.5925899176657519,False,0.0019066878520872521
APH(3'),acquired,61,0.5894554383937599,0.5920554672829698,0.5925610284558717,False,0.0031055900621117516
TetA,acquired,84,0.5785353170590785,0.5778564206268959,0.615527950310559,False,0.0369926332514805
TetD,acquired,51,0.5453560595117724,0.5400982233135924,0.5763252925032499,False,0.03096923299147758
CmlA,acquired,26,0.5360104001155569,0.5323992488805431,0.5394915499061101,False,0.0034811497905532507
RmtB,acquired,25,0.5321970244113823,0.5345659396215513,0.5337570417449082,False,0.0015600173335259537
ArmA,acquired,31,0.5315903510039,0.5362126245847176,0.5377437527083634,False,0.006153401704463435
FloR,acquired,26,0.5284414271269681,0.5303192257691752,0.5259569550772786,False,-0.00248447204968949
MphE,acquired,17,0.520005777841976,0.526592517694641,0.5199479994222158,False,-5.777841976017939e-05
MsrE,acquired,17,0.5198902210024556,0.5215080167557418,0.5232413693485483,False,0.003351148346092625
LAP,acquired,13,0.5165968510761231,0.5149501661129567,0.5132745919399104,False,-0.0033222591362126463
VEB,acquired,15,0.5163946266069623,0.5162790697674419,0.5154123934710385,True,-0.0009822331359238268
ANT(2''),acquired,11,0.5146612740141556,0.5146612740141557,0.5129568106312292,False,-0.0017044633829264022
CMY,acquired,8,0.5106312292358804,0.5106312292358804,0.5106312292358804,True,0.0
APH(4),acquired,10,0.5069334103712264,0.5119601328903655,0.510255669507439,False,0.0033222591362125353
