gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9542139062586962,0.0005764978178495521,0.974712582774299,0.0002773552694664138,21,4190,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.7831197789591042,1.1491900087240784e-16,0.8447267855822369,1.1491900087240784e-16,1,1926,True,True,False,False
OXA,OXA,acquired_hgt,0.7727329035315917,1.1491900087240784e-16,0.8400344417178649,1.1491900087240784e-16,1,1682,True,True,False,False
TEM,TEM,acquired_hgt,0.7613442345704944,1.1491900087240784e-16,0.829865986108432,1.1491900087240784e-16,1,1756,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7556458605998911,0.0,0.8309388821451367,2.298380017448157e-16,1,1664,False,True,False,True
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7100319389013664,0.0,0.7839371517350286,2.298380017448157e-16,1,2526,True,False,False,False
KPC,KPC,acquired_hgt,0.6407035175879395,1.1491900087240784e-16,0.7538739955283021,1.1491900087240784e-16,1,882,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5817485067351764,0.0,0.7063090878921129,1.1491900087240784e-16,1,788,False,True,False,True
NDM,NDM,acquired_hgt,0.5527638190954772,1.1491900087240784e-16,0.6936333650632013,1.1491900087240784e-16,1,349,True,True,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.5448329536212684,2.298380017448157e-16,0.6789729914306337,1.1491900087240784e-16,1,2199,True,False,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5386471478507221,1.1491900087240784e-16,0.676691265469419,1.1491900087240784e-16,1,3393,True,False,False,False
VEB,VEB,acquired_hgt,0.5100502512562813,1.1491900087240784e-16,0.6643736302658668,1.1491900087240784e-16,1,50,True,True,False,False
DHA,DHA,acquired_hgt,0.5058626465661644,2.298380017448157e-16,0.6615050288151476,0.0,1,29,True,False,False,False
CMY,CMY,acquired_hgt,0.5058626465661644,2.298380017448157e-16,0.6615050288151476,0.0,1,42,True,True,False,False
FOX,FOX,acquired_hgt,0.5025125628140703,0.0,0.6592101476545726,2.298380017448157e-16,1,12,True,False,False,False
CARB,CARB,acquired_hgt,0.5025125628140703,0.0,0.6592101476545726,2.298380017448157e-16,1,17,True,True,False,False
LAP,LAP,acquired_hgt,0.500185457476737,0.002873094875328601,0.6576507323648565,0.0013674081605838174,1,88,True,False,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.4936930095278107,1.7237850130861175e-16,0.6546698662066248,0.0,1,1935,True,True,False,False
