gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9712741737330002,0.0005832053733279705,0.9889962903106629,0.0002544224145772527,21,3042,False,False,False,False
CTX-M,CTX-M,acquired_hgt,0.8329853862212941,2.298380017448157e-16,0.915580756841965,3.447570026172235e-16,1,1582,True,True,False,False
OXA,OXA,acquired_hgt,0.7651808036289597,1.1491900087240784e-16,0.8807887092392955,1.1491900087240784e-16,1,1295,True,True,False,False
TEM,TEM,acquired_hgt,0.7433954483362973,0.0,0.8683202744765979,2.298380017448157e-16,1,1300,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7381311374004482,2.298380017448157e-16,0.866131134806979,1.1491900087240784e-16,1,1207,False,True,False,True
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7364493930255933,2.298380017448157e-16,0.8615513856950053,1.1491900087240784e-16,1,1834,True,False,False,False
KPC,KPC,acquired_hgt,0.6169102296450937,2.298380017448157e-16,0.8063633610062567,2.298380017448157e-16,1,573,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5534098816979818,1.1491900087240784e-16,0.7696531232724694,1.1491900087240784e-16,1,2399,True,False,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5509162607283694,1.1491900087240784e-16,0.7691456134237017,2.298380017448157e-16,1,632,False,True,False,True
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.5399172659089152,1.1491900087240784e-16,0.7629293337377093,0.0,1,1716,True,False,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.5393695713807054,2.298380017448157e-16,0.7626421861063064,2.298380017448157e-16,1,1279,True,True,False,False
NDM,NDM,acquired_hgt,0.5386221294363257,0.0,0.7667918407759271,2.298380017448157e-16,1,172,True,True,False,False
LAP,LAP,acquired_hgt,0.5062630480167014,0.0,0.7504356124140583,2.298380017448157e-16,1,37,True,False,False,False
CMY,CMY,acquired_hgt,0.5031315240083509,2.298380017448157e-16,0.7488527516048451,2.298380017448157e-16,1,25,True,True,False,False
CARB,CARB,acquired_hgt,0.5031315240083509,2.298380017448157e-16,0.7488527516048451,2.298380017448157e-16,1,17,True,True,False,False
FOX,FOX,acquired_hgt,0.5020876826722338,0.0,0.7483251313351074,1.1491900087240784e-16,1,12,True,False,False,False
DHA,DHA,acquired_hgt,0.5010889455913813,1.1491900087240784e-16,0.7477102257367956,1.1491900087240784e-16,1,18,True,False,False,False
