gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,772,1.0,0.8972302824452092,0.9536714166564277,0.9195627235306025,0.9597231263064616,0.986466323263678,0.993576138904235,0.08923604081846881
PmrB,chromosomal,772,1.0,0.7610987396060613,0.8287298621781201,0.8792691064774202,0.9392763991687368,0.9809178906958783,0.9894723183626298,0.21981915108981698
OmpK36,chromosomal,765,0.9909326424870466,0.8244483433430057,0.8991201550645342,0.8995771194637514,0.9331597017715627,0.9827923611579729,0.9916957904797972,0.1583440178149672
OmpK35,chromosomal,764,0.9896373056994818,0.8113345479901927,0.8974976229120091,0.8894737236730624,0.9365501398888513,0.9784435896859137,0.9817286111632422,0.16710904169572105
ParC,chromosomal,754,0.9766839378238342,0.8933726222342189,0.9524389215430002,0.9316493090701876,0.959317972428208,0.9827773653942761,0.9906974223852738,0.0894047431600572
SHV-OKP-LEN,acquired,724,0.9378238341968912,0.7534996363527303,0.8345698778049138,0.8408574577681805,0.891729537461915,0.9689887606751093,0.9794440538846236,0.215489124322379
Sul,acquired,386,0.5,0.7080174850604705,0.7990910571148193,0.723211942626208,0.8446505151340943,0.8028619415015258,0.9022092615681482,0.09484445644105532
CTX-M,acquired,371,0.4805699481865285,0.7167112790636645,0.8146608264357147,0.700429628629912,0.8295029417066183,0.7847658036604659,0.8923269592379807,0.06805452459680139
AAC(6'),acquired,364,0.47150259067357514,0.766669665819406,0.864006477755942,0.7647727017117664,0.8653165252286301,0.80524626792931,0.9055113560131173,0.03857660210990399
OXA,acquired,308,0.39896373056994816,0.7148742980108118,0.8186174760790259,0.7137833562018729,0.8310440158843797,0.7556327837385938,0.8769510789350047,0.04075848572778196
TEM,acquired,302,0.3911917098445596,0.618848925178637,0.743781642835331,0.6329749345809809,0.7882927068299664,0.7258999332688516,0.8546152868822373,0.10705100809021462
Dfr,acquired,250,0.3238341968911917,0.6415412645927525,0.7722954115236176,0.6502500543596433,0.7949525294408515,0.6874920335005361,0.8338759245192355,0.0459507689077836
StrB,acquired,249,0.3225388601036269,0.5997068328197284,0.7482803077168463,0.6127456493540574,0.7509160250201337,0.6700369645575125,0.8069834851514663,0.07033013173778413
StrA,acquired,243,0.31476683937823835,0.5950431503100374,0.7401317178877157,0.6192575597393734,0.7526014658249163,0.677527348524042,0.8187335643638883,0.08248419821400454
ANT(3''),acquired,236,0.30569948186528495,0.6532717007445397,0.7955427227010021,0.6420023843264276,0.7904747867095119,0.6857975122028027,0.8293622123676152,0.032525811458263054
Cat,acquired,203,0.26295336787564766,0.6520345502395573,0.7943785424269568,0.6579128896086855,0.805504684502473,0.6694033935413245,0.8226110807733689,0.017368843301767245
AAC(3),acquired,202,0.2616580310880829,0.5887786700257176,0.7410221128788728,0.5894384836283749,0.7518279231312558,0.6414775325970413,0.8002218263217638,0.052698862571323724
MphA,acquired,195,0.25259067357512954,0.6280038389155064,0.7689077072100147,0.6317565287806195,0.7948991129597869,0.6592812530460145,0.8124420350479206,0.03127741413050811
Mrx,acquired,190,0.24611398963730569,0.6212370005473454,0.764697248899614,0.6277714045782066,0.7873579748208867,0.6489416739771015,0.8053701579263864,0.02770467342975602
QnrB,acquired,182,0.23575129533678757,0.5821317977671309,0.726470967419445,0.5785328144799095,0.7439342037798391,0.5947582307997991,0.7680692192240135,0.012626433032668194
KPC,acquired,175,0.2266839378238342,0.6330199218720711,0.7770264775199083,0.6365964115137474,0.7829328580336815,0.6524206911547488,0.8083356080435984,0.019400769282677643
TetA,acquired,166,0.21502590673575128,0.5526013901072947,0.7075480100012264,0.5495197606676114,0.7251641140732039,0.593011224329127,0.7623371709469839,0.04040983422183231
APH(3'),acquired,149,0.19300518134715025,0.5886587039161437,0.7420851570457419,0.5998905309250137,0.763103969381155,0.6188826656469547,0.7836080550013489,0.03022396173081099
TetD,acquired,76,0.09844559585492228,0.5087837685853747,0.6681277634429156,0.512641428796365,0.680024875931625,0.5608977963725248,0.7197587349665746,0.05211402778715013
ArmA,acquired,56,0.07253886010362694,0.5283344955050198,0.6928520014320327,0.523475868067271,0.7001956757781238,0.5334105615163716,0.7077184855647812,0.005076066011351799
Arr,acquired,51,0.06606217616580311,0.5323458622939019,0.7013584894719944,0.5308050475740603,0.6987241204430998,0.5369608085715785,0.7040081465629324,0.004614946277676557
NDM,acquired,50,0.06476683937823834,0.5397987568511895,0.7108707153225686,0.539690037564388,0.7103722369825987,0.5400799274205037,0.7112424239785518,0.00028117056931420414
QnrS,acquired,47,0.06088082901554404,0.5144296736172032,0.6762496437829308,0.5025755224149178,0.6662509251438209,0.5041688223076981,0.6759966835389848,-0.010260851309505048
MsrE,acquired,45,0.05829015544041451,0.519408267164526,0.6951060939995188,0.5200980722945767,0.6945666114451519,0.5182385975961791,0.6934487899371107,-0.001169669568346965
MphE,acquired,45,0.05829015544041451,0.520956579766216,0.6862889669029435,0.5200530850034866,0.6912693096032267,0.5194944928057823,0.6922862760532629,-0.0014620869604337061
