gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
GyrA,chromosomal,881,1.0,0.6829075331892559,0.5389582322860152,0.7350924006527588,0.6063406997645602,0.9820050280068804,0.9639312643501124,0.2990974948176245
PmrB,chromosomal,881,1.0,0.6434801305517577,0.4942868570728646,0.7100626295593877,0.5534917910723571,0.9879151413575619,0.9821024137176267,0.3444350108058042
OmpK35,chromosomal,873,0.9909194097616345,0.6849474044017112,0.5710036107745707,0.7311174083711904,0.583878287788339,0.9813158823269968,0.9633139920982801,0.29636847792528564
OmpK36,chromosomal,872,0.9897843359818388,0.6447426454373042,0.47358676859632315,0.7470201340801835,0.6030093190540224,0.9778756670930182,0.9521442692028311,0.333133021655714
ParC,chromosomal,862,0.978433598183882,0.6584290786397919,0.4999744256863533,0.7303896705332333,0.6175240838781713,0.9798714329819609,0.9708109814062384,0.32144235434216895
SHV-OKP-LEN,acquired,833,0.945516458569807,0.6743511004278216,0.5269616672755921,0.6906562872138666,0.5392435036880832,0.9711716579191109,0.9591577862780536,0.2968205574912892
AAC(6'),acquired,446,0.5062429057888763,0.6756825298813567,0.5549530002911259,0.7504879151413575,0.7041904450762931,0.8556515458915891,0.8338317655596488,0.1799690160102324
Sul,acquired,429,0.4869466515323496,0.6626687028624355,0.5322398670141487,0.7027383892735853,0.602803870935602,0.8446417545097693,0.7923897381175735,0.1819730516473338
CTX-M,acquired,428,0.4858115777525539,0.7037307590526177,0.5552784258157818,0.6815595642394036,0.6034707170501747,0.8964958320469281,0.8811521670210949,0.19276507299431034
TEM,acquired,364,0.41316685584562995,0.6550164292330085,0.5073692892622828,0.6600444361134389,0.5819007004948942,0.841317315750011,0.8195772282285929,0.1863008865170025
OXA,acquired,339,0.3847900113507378,0.6170169364442288,0.4983263824920803,0.6623241300224938,0.5960740051192531,0.7804106205619018,0.74039331580634,0.16339368411767297
StrB,acquired,297,0.337116912599319,0.6964147885149736,0.5623294531015794,0.6345653420367839,0.5454969234707424,0.8007817668592598,0.7852956423007318,0.10436697834428621
StrA,acquired,289,0.3280363223609535,0.688949962510475,0.5564037482419283,0.6636224804833943,0.591436374584432,0.7918807612578838,0.7697644277689681,0.10293079874740874
Dfr,acquired,287,0.3257661748013621,0.5480196709742865,0.4262059134430264,0.6059740660697746,0.48763053051034727,0.7138942795395405,0.602769592699807,0.16587460856525404
ANT(3''),acquired,275,0.31214528944381387,0.5813881047942487,0.4906269188962967,0.6161679089666123,0.4873743951408138,0.7177093900233759,0.6340535648714373,0.13632128522912712
AAC(3),acquired,263,0.2985244040862656,0.8700657169320337,0.8547338591546786,0.8728415957306047,0.8714147779037249,0.8727478719181405,0.8756250390102621,0.0026821549861067995
Cat,acquired,233,0.264472190692395,0.5449736470692013,0.42651414176575886,0.5943936620650112,0.4895373304655548,0.6947884047104486,0.6122752359647072,0.1498147576412473
MphA,acquired,227,0.2576617480136209,0.5286491642041194,0.39964028373665217,0.5711887487319719,0.4359670325883979,0.6931565077404842,0.5916351845842622,0.16450734353636476
Mrx,acquired,222,0.25198637911464244,0.49775889824901864,0.3700089791109028,0.570229457945574,0.44688240301795745,0.6921090063070612,0.5948943367732702,0.19435010805804254
QnrB,acquired,218,0.2474460839954597,0.6287324130022495,0.5221717383227755,0.588588298857672,0.5160564538293786,0.7258275261324042,0.6880221098938886,0.09709511313015473
KPC,acquired,211,0.2395005675368899,0.4906827504079743,0.37064433930642093,0.55007056851762,0.4315555561075602,0.6688241520751556,0.5700375997492364,0.17814140166718123
TetA,acquired,203,0.2304199772985244,0.6042401755391875,0.5072992516504394,0.5888446610505887,0.5318566871745614,0.6637740925329687,0.622719892489124,0.05953391699378119
APH(3'),acquired,159,0.18047673098751418,0.5147173951395934,0.39456663128791786,0.5582107572884047,0.4440358784194903,0.6308963304370838,0.5255729764304752,0.11617893529749046
TetD,acquired,108,0.12258796821793416,0.5574444272923742,0.45117169174825655,0.5509774842323468,0.4572446445591377,0.6126698054955233,0.5330663881727071,0.0552253782031491
QnrS,acquired,104,0.11804767309875142,0.5292473426542584,0.40239851652314,0.5456986283244388,0.43461000012907375,0.6002293476822652,0.5071164304498337,0.07098200502800678
