gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,527,524,3,1.0,0.7295994222845248,0.7192876258442717,0.01031179644025304
GyrA,chromosomal,527,527,0,1.0,0.8392591648613058,0.8392591648613058,0.0
OmpK36,chromosomal,522,295,227,0.9905123339658444,0.763455248290217,0.7060978717981395,0.057357376492077505
OmpK35,chromosomal,520,280,240,0.9867172675521821,0.8149292723333758,0.812412386899452,0.002516885433923699
ParC,chromosomal,510,510,0,0.967741935483871,0.8301367826345525,0.8301367826345525,0.0
SHV-OKP-LEN,acquired,484,0,484,0.9184060721062619,0.7913746229981735,,
Sul,acquired,270,270,0,0.5123339658444023,0.7560214094558431,0.7560214094558431,0.0
CTX-M,acquired,242,242,0,0.45920303605313095,0.7766662418758761,0.7766662418758761,0.0
AAC(6'),acquired,231,229,2,0.43833017077798864,0.7433626438978802,0.7521982923410221,-0.008835648443141886
OXA,acquired,218,218,0,0.41366223908918404,0.7449662291321525,0.7449662291321525,0.0
TEM,acquired,177,177,0,0.33586337760910817,0.676224459453719,0.676224459453719,0.0
Dfr,acquired,175,175,0,0.33206831119544594,0.6551442164733869,0.6551442164733869,0.0
ANT(3''),acquired,169,137,32,0.3206831119544592,0.6603691431969756,0.6241769678433372,0.03619217535363839
StrB,acquired,150,0,150,0.2846299810246679,0.647497982243745,,
AAC(3),acquired,148,148,0,0.2808349146110057,0.6533813346926638,0.6533813346926638,0.0
MphA,acquired,147,147,0,0.27893738140417457,0.6511724225818784,0.6511724225818784,0.0
Cat,acquired,147,147,0,0.27893738140417457,0.6637780892910241,0.6637780892910241,0.0
StrA,acquired,146,0,146,0.27703984819734345,0.6369631706384605,,
Mrx,acquired,142,0,142,0.269449715370019,0.6443014315449641,,
KPC,acquired,141,141,0,0.2675521821631879,0.6553566118686547,0.6553566118686547,0.0
APH(3'),acquired,118,117,1,0.2239089184060721,0.6129518712034323,0.6119748523852003,0.0009770188182319783
TetA,acquired,117,117,0,0.222011385199241,0.5867210398878553,0.5867210398878553,0.0
QnrB,acquired,93,93,0,0.17647058823529413,0.5579202242895374,0.5579202242895374,0.0
TetD,acquired,48,48,0,0.09108159392789374,0.49641051781997364,0.49641051781997364,0.0
Arr,acquired,32,32,0,0.06072106261859583,0.5214094558429974,0.5214094558429974,0.0
CmlA,acquired,32,32,0,0.06072106261859583,0.5245529076929611,0.5245529076929611,0.0
QnrS,acquired,25,25,0,0.04743833017077799,0.5241174971326622,0.5241174971326622,0.0
APH(4),acquired,17,16,1,0.03225806451612903,0.5142304914829448,0.5125207085510387,0.0017097829319060454
NDM,acquired,16,16,0,0.030360531309297913,0.5125950469393824,0.5125950469393824,0.0
ANT(2''),acquired,14,14,0,0.026565464895635674,0.511118898942271,0.511118898942271,0.0
MsrE,acquired,13,13,0,0.024667931688804556,0.5121065375302664,0.5121065375302664,0.0
ArmA,acquired,13,13,0,0.024667931688804556,0.5084320971921328,0.5084320971921328,0.0
MphE,acquired,13,13,0,0.024667931688804556,0.5114799711142262,0.5114799711142262,0.0
RmtF,acquired,8,7,1,0.015180265654648957,0.49943715220254037,,
