gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
PmrB,chromosomal,483,481,2,1.0,0.6635876714903214,0.6735857921443337,-0.009998120654012288
GyrA,chromosomal,483,483,0,1.0,0.7373801916932907,0.7373801916932907,0.0
OmpK36,chromosomal,476,264,212,0.9855072463768116,0.7447002443149785,0.603570757376433,0.14112948693854555
OmpK35,chromosomal,474,263,211,0.9813664596273292,0.7275981958278519,0.6987596316481864,0.02883856417966546
ParC,chromosomal,473,473,0,0.979296066252588,0.7226367224205976,0.7226367224205976,0.0
SHV-OKP-LEN,acquired,446,0,446,0.9233954451345756,0.5806145461379439,,
CTX-M,acquired,256,256,0,0.5300207039337475,0.6855854162751364,0.6855854162751364,0.0
Sul,acquired,233,233,0,0.4824016563146998,0.6227494831798533,0.6227494831798533,0.0
AAC(6'),acquired,228,226,2,0.4720496894409938,0.7387521142642361,0.7366378500281902,0.002114264236045993
OXA,acquired,193,193,0,0.3995859213250518,0.6516444277391468,0.6516444277391468,0.0
TEM,acquired,190,190,0,0.39337474120082816,0.6265363653448599,0.6265363653448599,0.0
Dfr,acquired,168,168,0,0.34782608695652173,0.6408287915805301,0.6408287915805301,0.0
ANT(3''),acquired,163,119,44,0.33747412008281574,0.6371076865250893,0.5953486186806991,0.04175906784439021
StrB,acquired,143,0,143,0.29606625258799174,0.5774948317985341,,
AAC(3),acquired,142,142,0,0.2939958592132505,0.5953862056004511,0.5953862056004511,0.0
StrA,acquired,140,0,140,0.2898550724637681,0.5647152790828791,,
MphA,acquired,139,139,0,0.28778467908902694,0.6363089644803608,0.6363089644803608,0.0
Mrx,acquired,134,0,134,0.2774327122153209,0.6326536365344859,,
Cat,acquired,123,123,0,0.2546583850931677,0.5646025183236232,0.5646025183236232,0.0
TetA,acquired,122,122,0,0.2525879917184265,0.5394756624694605,0.5394756624694605,0.0
KPC,acquired,113,113,0,0.23395445134575568,0.5911200902086073,0.5911200902086073,0.0
APH(3'),acquired,100,99,1,0.2070393374741201,0.5835651193384702,0.5865626761886863,-0.0029975568502160765
QnrB,acquired,100,100,0,0.2070393374741201,0.5677410261229092,0.5677410261229092,0.0
TetD,acquired,47,47,0,0.09730848861283643,0.5142548393159181,0.5142548393159181,0.0
Arr,acquired,44,44,0,0.09109730848861283,0.5449821462131178,0.5449821462131178,0.0
ArmA,acquired,42,42,0,0.08695652173913043,0.5587859424920127,0.5587859424920127,0.0
QnrS,acquired,41,41,0,0.08488612836438923,0.48614922007141514,0.48614922007141514,0.0
CmlA,acquired,36,36,0,0.07453416149068323,0.5097632024055628,0.5097632024055628,0.0
NDM,acquired,31,31,0,0.06418219461697723,0.5405750798722045,0.5405750798722045,0.0
MphE,acquired,29,29,0,0.060041407867494824,0.5360740462319113,0.5360740462319113,0.0
MsrE,acquired,29,29,0,0.060041407867494824,0.5360646495019733,0.5360646495019733,0.0
ANT(2''),acquired,19,18,1,0.039337474120082816,0.513831986468709,0.5157771095658711,-0.0019451230971621047
VEB,acquired,15,15,0,0.031055900621118012,0.5188498402555911,0.5188498402555911,0.0
APH(4),acquired,15,14,1,0.031055900621118012,0.5087671490321368,0.5084476602142455,0.00031948881789134465
CMY,acquired,9,9,0,0.018633540372670808,0.5080060139071604,0.5080060139071604,0.0
