gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,412,412,0,1.0,0.7798091603053435,0.7798091603053435,0.0
PmrB,chromosomal,412,412,0,1.0,0.6516030534351145,0.6516030534351145,0.0
ParC,chromosomal,410,410,0,0.9951456310679612,0.755559796437659,0.755559796437659,0.0
OmpK35,chromosomal,405,247,158,0.9830097087378641,0.7929262086513995,0.7563104325699745,0.03661577608142497
OmpK36,chromosomal,404,175,229,0.9805825242718447,0.8383587786259542,0.642557251908397,0.19580152671755724
SHV-OKP-LEN,acquired,395,0,395,0.9587378640776699,0.6038040712468193,,
AAC(6'),acquired,272,271,1,0.6601941747572816,0.7419338422391858,0.7423791348600509,-0.0004452926208651231
TEM,acquired,216,216,0,0.5242718446601942,0.5107888040712468,0.5107888040712468,0.0
CTX-M,acquired,206,206,0,0.5,0.5027989821882952,0.5027989821882952,0.0
Sul,acquired,195,195,0,0.4733009708737864,0.6338676844783715,0.6338676844783715,0.0
StrB,acquired,166,0,166,0.4029126213592233,0.5247455470737914,,
OXA,acquired,163,163,0,0.39563106796116504,0.6875063613231551,0.6875063613231551,0.0
StrA,acquired,162,0,162,0.3932038834951456,0.5166412213740459,,
Dfr,acquired,144,144,0,0.34951456310679613,0.6660305343511451,0.6660305343511451,0.0
ANT(3''),acquired,138,92,46,0.33495145631067963,0.6266284987277353,0.5869083969465649,0.03972010178117036
AAC(3),acquired,134,134,0,0.32524271844660196,0.5471755725190841,0.5471755725190841,0.0
QnrB,acquired,131,131,0,0.3179611650485437,0.5292493638676844,0.5292493638676844,0.0
Cat,acquired,129,129,0,0.3131067961165049,0.7025063613231551,0.7025063613231551,0.0
KPC,acquired,125,125,0,0.30339805825242716,0.7369465648854963,0.7369465648854963,0.0
MphA,acquired,119,119,0,0.28883495145631066,0.623498727735369,0.623498727735369,0.0
Mrx,acquired,118,0,118,0.28640776699029125,0.6260559796437659,,
QnrS,acquired,89,89,0,0.21601941747572814,0.5673155216284987,0.5673155216284987,0.0
TetA,acquired,86,86,0,0.2087378640776699,0.5909287531806615,0.5909287531806615,0.0
NDM,acquired,82,82,0,0.19902912621359223,0.6129516539440204,0.6129516539440204,0.0
Arr,acquired,73,73,0,0.17718446601941748,0.5915648854961831,0.5915648854961831,0.0
APH(3'),acquired,66,66,0,0.16019417475728157,0.5536895674300254,0.5536895674300254,0.0
TetD,acquired,61,61,0,0.14805825242718446,0.5103053435114504,0.5103053435114504,0.0
ArmA,acquired,47,47,0,0.11407766990291263,0.4380534351145038,0.4380534351145038,0.0
MsrE,acquired,33,33,0,0.08009708737864078,0.5058396946564885,0.5058396946564885,0.0
MphE,acquired,33,33,0,0.08009708737864078,0.5118956743002545,0.5118956743002545,0.0
FloR,acquired,25,25,0,0.06067961165048544,0.5160050890585242,0.5160050890585242,0.0
RmtB,acquired,23,23,0,0.055825242718446605,0.5322646310432569,0.5322646310432569,0.0
CmlA,acquired,23,23,0,0.055825242718446605,0.5015267175572519,0.5015267175572519,0.0
VEB,acquired,14,14,0,0.03398058252427184,0.5100763358778627,0.5100763358778627,0.0
ANT(2''),acquired,12,9,3,0.02912621359223301,0.5091857506361323,0.5074936386768447,0.0016921119592875344
LAP,acquired,11,11,0,0.02669902912621359,0.47404580152671755,0.47404580152671755,0.0
APH(4),acquired,10,9,1,0.024271844660194174,0.5058269720101781,0.5015521628498728,0.004274809160305315
