gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,447,447,0,1.0,0.7191508182220256,0.7191508182220256,0.0
PmrB,chromosomal,447,445,2,1.0,0.6679265007438382,0.6788729846005388,-0.010946483856700606
OmpK36,chromosomal,441,263,178,0.9865771812080537,0.7104961601865626,0.5916629809818664,0.11883317920469616
OmpK35,chromosomal,441,171,270,0.9865771812080537,0.7062040127055608,0.6605986892364601,0.04560532346910062
ParC,chromosomal,441,441,0,0.9865771812080537,0.6832053395520887,0.6832053395520887,0.0
SHV-OKP-LEN,acquired,407,0,407,0.9105145413870246,0.5740722126171043,,
Sul,acquired,268,268,0,0.5995525727069351,0.5799324514494794,0.5799324514494794,0.0
AAC(6'),acquired,240,239,1,0.5369127516778524,0.7180350609143178,0.7169695629447952,0.0010654979695225997
OXA,acquired,230,230,0,0.5145413870246085,0.7944895661613928,0.7944895661613928,0.0
CTX-M,acquired,229,229,0,0.5123042505592841,0.6115455751678662,0.6115455751678662,0.0
Dfr,acquired,198,198,0,0.4429530201342282,0.5856017047967512,0.5856017047967512,0.0
ANT(3''),acquired,180,150,30,0.40268456375838924,0.5696996501950062,0.5523601785211691,0.017339471673837092
TEM,acquired,177,177,0,0.3959731543624161,0.4999296369265409,0.4999296369265409,0.0
KPC,acquired,173,173,0,0.3870246085011186,0.8636966748421857,0.8636966748421857,0.0
MphA,acquired,166,166,0,0.3713646532438479,0.5559889027381288,0.5559889027381288,0.0
Cat,acquired,162,162,0,0.3624161073825503,0.6444051304732419,0.6444051304732419,0.0
Mrx,acquired,161,0,161,0.36017897091722595,0.5600498572634796,,
APH(3'),acquired,136,135,1,0.3042505592841163,0.5461782799244099,0.543333601383137,0.0028446785412729048
AAC(3),acquired,130,130,0,0.29082774049217003,0.5156507579108198,0.5156507579108198,0.0
StrB,acquired,125,0,125,0.2796420581655481,0.5412629166499134,,
StrA,acquired,121,0,121,0.27069351230425054,0.5120019299585863,,
TetA,acquired,96,96,0,0.21476510067114093,0.5970407301676651,0.5970407301676651,0.0
QnrB,acquired,76,76,0,0.17002237136465326,0.5630955731574926,0.5630955731574926,0.0
TetD,acquired,44,44,0,0.09843400447427293,0.5297434763379035,0.5297434763379035,0.0
CmlA,acquired,33,33,0,0.0738255033557047,0.4726890756302521,0.4726890756302521,0.0
QnrS,acquired,31,31,0,0.06935123042505593,0.4897068875397049,0.4897068875397049,0.0
Arr,acquired,30,30,0,0.06711409395973154,0.517339471673837,0.517339471673837,0.0
NDM,acquired,27,27,0,0.06040268456375839,0.554822886092236,0.554822886092236,0.0
MsrE,acquired,20,20,0,0.0447427293064877,0.5134594507659523,0.5134594507659523,0.0
MphE,acquired,20,20,0,0.0447427293064877,0.513067427928109,0.513067427928109,0.0
ArmA,acquired,19,19,0,0.042505592841163314,0.5188874592899361,0.5188874592899361,0.0
APH(4),acquired,18,17,1,0.040268456375838924,0.4746994491576535,0.47797635800731775,-0.0032769088496642507
ANT(2''),acquired,17,14,3,0.03803131991051454,0.484097945398255,0.4854348437939769,-0.001336898395721875
RmtB,acquired,8,8,0,0.017897091722595078,0.5122532266495115,0.5122532266495115,0.0
RmtF,acquired,8,7,1,0.017897091722595078,0.5068352699931647,,
