gene_label,amr_source,n_carriers_reliable,n_carriers_bakta,carrier_recovery,prevalence,esm_lr_auroc_reliable,esm_lr_auroc_bakta,delta_auroc
GyrA,chromosomal,499,499,0,1.0,0.7116008205942691,0.7116008205942691,0.0
PmrB,chromosomal,499,496,3,1.0,0.6826318575871883,0.6868175501290451,-0.004185692541856856
OmpK36,chromosomal,492,254,238,0.9859719438877755,0.7085732248031237,0.6626298722784727,0.04594335252465098
OmpK35,chromosomal,492,263,229,0.9859719438877755,0.7408096750711402,0.6200450003308848,0.12076467474025532
ParC,chromosomal,483,483,0,0.9679358717434869,0.7400072794652903,0.7400072794652903,0.0
SHV-OKP-LEN,acquired,457,0,457,0.9158316633266533,0.687901197802925,,
Sul,acquired,269,269,0,0.5390781563126252,0.6791741115743498,0.6791741115743498,0.0
CTX-M,acquired,249,249,0,0.49899799599198397,0.5754417311892,0.5754417311892,0.0
AAC(6'),acquired,245,243,2,0.4909819639278557,0.8591754351134935,0.856404275031434,0.002771160082059465
OXA,acquired,200,200,0,0.40080160320641284,0.7272930315664086,0.7272930315664086,0.0
TEM,acquired,198,198,0,0.3967935871743487,0.5889583746939315,0.5889583746939315,0.0
Dfr,acquired,169,169,0,0.33867735470941884,0.638748262854874,0.638748262854874,0.0
StrB,acquired,167,0,167,0.3346693386773547,0.6491959499702205,,
StrA,acquired,164,0,164,0.3286573146292585,0.6533071934352458,,
AAC(3),acquired,158,158,0,0.3166332665330661,0.6546969095360995,0.6546969095360995,0.0
ANT(3''),acquired,157,128,29,0.31462925851703405,0.6526867844616504,0.6145523128846536,0.03813447157699679
MphA,acquired,139,139,0,0.2785571142284569,0.6189613526570048,0.6189613526570048,0.0
Cat,acquired,135,135,0,0.27054108216432865,0.6022599430878168,0.6022599430878168,0.0
Mrx,acquired,134,0,134,0.2685370741482966,0.6159503011051553,,
KPC,acquired,127,127,0,0.2545090180360721,0.5519654556283502,0.5519654556283502,0.0
QnrB,acquired,125,125,0,0.250501002004008,0.6085136655416584,0.6085136655416584,0.0
TetA,acquired,116,116,0,0.23246492985971945,0.6076285487393289,0.6076285487393289,0.0
APH(3'),acquired,108,108,0,0.21643286573146292,0.6041956190854345,0.6041956190854345,0.0
TetD,acquired,42,42,0,0.0841683366733467,0.5153199655879823,0.5153199655879823,0.0
CmlA,acquired,38,38,0,0.07615230460921844,0.5437264244590034,0.5437264244590034,0.0
ArmA,acquired,35,35,0,0.07014028056112225,0.5338246972404208,0.5338246972404208,0.0
QnrS,acquired,30,30,0,0.06012024048096192,0.4956819535437761,0.4956819535437761,0.0
Arr,acquired,27,27,0,0.05410821643286573,0.5299202567665938,0.5299202567665938,0.0
NDM,acquired,26,26,0,0.052104208416833664,0.5127473363774734,0.5127473363774734,0.0
MsrE,acquired,21,21,0,0.04208416833667335,0.5181076699093375,0.5181076699093375,0.0
MphE,acquired,21,21,0,0.04208416833667335,0.5181076699093375,0.5181076699093375,0.0
APH(4),acquired,19,18,1,0.03807615230460922,0.5188935212758917,0.5185295480113824,0.00036397326450932077
VEB,acquired,15,15,0,0.03006012024048096,0.5121682880021177,0.5121682880021177,0.0
ANT(2''),acquired,13,13,0,0.026052104208416832,0.5149229038448813,0.5149229038448813,0.0
CMY,acquired,9,9,0,0.018036072144288578,0.49962775461584275,0.49962775461584275,0.0
