gene_name,annotation,prevalence,lr_auroc_ethionamide,n_train,n_pos,kept_filtered
rpoB,,0.9895,0.7436774403979247,1981,990,False
embB,,0.9785,0.7338941950446575,1955,981,False
sufC,,0.1025,0.7219073675982022,205,119,False
gyrA,,0.992,0.7205840677870038,1988,994,False
pncA,,0.901,0.7194874763833997,1800,842,False
pqqL,,0.1915,0.7012468478565425,381,166,False
ethA,,0.958,0.693594479948255,1916,927,False
rsmG,,0.982,0.6801530750166633,1969,978,False
ftsK,,0.2715,0.6614476456264193,541,262,False
katG,,0.991,0.6548926767676768,1982,990,False
pPE19,,0.613,0.6321947728753459,1224,606,False
cut1,,0.218,0.629895394820768,435,201,False
gp36,,0.2725,0.6288538091969801,545,235,False
espK,,0.962,0.6274801845114346,1922,962,False
argS,,0.994,0.6198092167462607,1990,996,False
wag22,,0.187,0.6193168738489871,373,181,False
opcA,,0.997,0.6187779286158719,1990,996,False
pE23,,0.96,0.6148004032807434,1916,975,False
bioF2,,0.951,0.6140543058047276,1897,946,False
ponA1,,0.8395,0.6121859819965866,1675,863,False
pPE59,,0.861,0.6091198375084632,1719,844,False
pPE18,,0.676,0.6085975747034595,1349,631,False
smc,,0.9725,0.6081388974272034,1946,977,False
embC,,0.981,0.6068801249511909,1960,985,False
esxJ,,0.1055,0.6029629629629629,208,108,False
polA,,0.987,0.601923078893154,1976,987,False
rpfA,,0.8345,0.6011141596636238,1668,846,False
fadD15,,0.946,0.6008996132503783,1889,950,False
yprA,,0.984,0.5997903041627738,1963,988,False
plcA,,0.9475,0.5994759545714959,1887,945,False
lysX,,0.9945,0.5990014533883381,1988,994,False
pE_PGRS26,,0.3715,0.5989590884049986,743,379,False
plsB1,,0.9805,0.5988803524954909,1961,978,False
pPE25,,0.5355,0.5979258210805025,1070,488,False
rpsL,,0.9945,0.5946330502733826,1992,996,False
mmpL9,,0.9605,0.5943261115660284,1918,949,False
lldD,,0.993,0.5935661639549501,1984,993,False
ggt,,0.983,0.5934126319489677,1967,990,False
lppN,,0.998,0.5908095773263566,1993,997,False
papA2,,0.996,0.5907859037406715,1987,994,False
fadE17,,0.962,0.5905946906126719,1916,970,False
ripC,,0.98,0.5894761358675331,1957,978,False
mmpL6,,0.939,0.5889772285013065,1878,919,False
pE_PGRS30,,0.6235,0.5887081189302564,1246,617,False
umaA,,0.991,0.5887008983995157,1981,987,False
mmpL10,,0.9965,0.5885722188113577,1987,993,False
ctpD,,0.9595,0.5883706528470388,1919,974,False
lhr,,0.913,0.5876775347636025,1827,934,False
pPE38,,0.5725,0.5872857142857143,1137,637,False
pE_PGRS16,,0.405,0.5857716070212465,808,419,False
lipF,,0.9795,0.5854985777762817,1950,974,False
eccD3,,0.9945,0.5846192188448551,1985,994,False
ctpF,,0.9355,0.5838906643891284,1867,916,False
pPE3,,0.913,0.5830353097677826,1822,914,False
pE_PGRS46,,0.5655,0.5829743427304404,1124,574,False
ggtA,,0.9955,0.5825604484627239,1985,994,False
mftG,,0.997,0.5824485316013552,1994,996,False
lolE,,0.384,0.5821400379454084,769,443,False
ytxK,,0.9925,0.58146659980062,1985,991,False
fadD25,,0.994,0.5813283375437232,1988,996,False
glgP,,0.983,0.5805482955837775,1967,988,False
sufB,,0.9945,0.5790847490220488,1988,993,False
cmcI,,0.9945,0.5786535902068247,1988,995,False
kgd,,0.996,0.5785007616126958,1988,993,False
hddA,,0.996,0.5772760304280411,1988,994,False
aftB,,0.995,0.5760988737673264,1985,994,False
aao,,0.993,0.5759539013722685,1984,992,False
desA,,0.978,0.5740313597446706,1952,985,False
citA,,0.961,0.5738920181075525,1921,969,False
cyp138,,0.9935,0.5738337375714508,1987,994,False
lipL,,0.9865,0.5735658298190667,1973,989,False
carA,,0.9765,0.572090657381382,1953,985,False
cyp135A1,,0.9955,0.5720801588588103,1987,992,False
proX,,0.986,0.5720453468975885,1971,980,False
lipQ,,0.9955,0.5707386891630909,1990,994,False
ephB,,0.9975,0.5705461368411883,1987,993,False
fadD23,,0.9885,0.5704929682901366,1975,989,False
murJ,,0.9665,0.5702395192982231,1937,974,False
gcvH,,0.9935,0.5698213592390073,1989,997,False
pdtaS,,0.997,0.5694994969818914,1994,994,False
mbtB,,0.922,0.5694334321872433,1839,941,False
sigG,,0.992,0.5690209490627943,1985,993,False
chp1,,0.997,0.5687557505839054,1989,995,False
inhA,,0.998,0.5683646852823885,1996,998,False
eno,,0.972,0.5680946801720084,1952,984,False
yhfA,,0.994,0.5667613881257423,1986,993,False
hsdM,,0.994,0.5665382020217984,1987,994,False
kefB,,0.993,0.566287080564111,1987,995,False
ctpG,,0.979,0.565850302465873,1953,984,False
lprF,,0.9955,0.5657202549301865,1985,994,False
atsB,,0.989,0.5654306189459019,1976,995,False
plcD,,0.294,0.5651336468697563,585,262,False
wecE,,0.996,0.5648677291604338,1986,991,False
cYB5,,0.6695,0.5645637743218548,1337,649,False
uvrC,,0.992,0.5644780601305917,1985,993,False
kdpD,,0.896,0.564263531471967,1794,873,False
dusB,,0.9905,0.5641448439178413,1983,992,False
pknA,,0.869,0.5639574266086362,1733,896,False
pknB,,0.9965,0.5636630044007614,1993,995,False
espE,,0.9125,0.5634031252108699,1822,906,False
cpnT,,0.9415,0.5626311611835262,1881,952,False
pks15,,0.8815,0.5622416995588577,1761,876,False
pPE16,,0.629,0.5620562520285621,1256,624,False
celA1,,0.955,0.5618618122549668,1906,966,False
adnA,,0.922,0.5617141196021108,1844,942,False
ypfJ,,0.989,0.5616288280396098,1977,988,False
lipY,,0.9945,0.561395563714614,1987,994,False
pheT,,0.949,0.5613678301897215,1903,970,False
cpaF,,0.953,0.5612641102915906,1906,972,False
ispE,,0.9785,0.5611817440404117,1961,989,False
narL,,0.9725,0.5610614461201964,1943,984,False
lipU,,0.995,0.5609887840694318,1983,989,False
sGA1,,0.993,0.5609840832568105,1980,990,False
eRF1,,0.9955,0.5608154845219883,1983,992,False
gltX,,0.991,0.5606001080141637,1985,992,False
kdpA,,0.992,0.560084059658782,1984,993,False
irtA,,0.996,0.55977455873205,1987,994,False
alr,,0.9935,0.5597083589478111,1989,997,False
accD6,,0.994,0.5593539859662802,1985,993,False
sufD,,0.9925,0.5592635224558716,1986,995,False
dnaE,,0.995,0.5592306343068429,1992,994,False
pE3,,0.993,0.5589159959758552,1986,994,False
guaB,,0.966,0.5588338675213675,1935,975,False
narS,,0.9945,0.5587950720849417,1987,997,False
dhaA,,0.992,0.5586071820959778,1982,991,False
tgs3,,0.489,0.5585383020331096,978,446,False
pPE33,,0.9965,0.5584181484000518,1988,992,False
pE_PGRS5,,0.558,0.5581968903236615,1115,537,False
hsdS,,0.9995,0.5580901019692344,1995,997,False
egtB,,0.9875,0.5580486167399439,1977,993,False
cobN,,0.98,0.5579044270616625,1961,985,False
recC,,0.796,0.5577681630848426,1593,830,False
fadE5,,0.9975,0.5573026695316409,1995,997,False
cysNC,,0.9865,0.5570502066580414,1969,987,False
pPE4,,0.981,0.5568040008681208,1958,986,False
cyp144,,0.9855,0.556741361556242,1964,983,False
nlpC,,0.916,0.556733468874044,1830,939,False
atsD,,0.992,0.556507225169197,1984,990,False
purL,,0.9875,0.5564725740461003,1981,994,False
pPE22,,0.92,0.556343105701431,1837,938,False
lppA,,0.46,0.5562769622745302,919,397,False
pepN,,0.953,0.5560987187662798,1906,969,False
cyp128,,0.9805,0.5560193314740562,1958,977,False
espB,,0.7715,0.5559986048580595,1541,784,False
ubiA,,0.996,0.5556080301205123,1992,995,False
cyp136,,0.9985,0.5551976570995553,1995,997,False
accD1,,0.99,0.5551942458437419,1975,988,False
ycgM,,0.9955,0.5551304259993434,1990,995,False
nrnA,,0.994,0.554784679738349,1982,994,False
dkgA,,0.998,0.5545199856597908,1993,996,False
mmaA2,,0.998,0.5544199621688266,1996,998,False
guaA,,0.989,0.5544090276206377,1981,994,False
trmL,,0.9925,0.5543723811258882,1988,998,False
ydhS,,0.9915,0.5543678848385399,1978,993,False
nudC,,0.992,0.5543619943678214,1985,991,False
spoVK,,0.9845,0.5543453140024844,1969,988,False
ephD,,0.986,0.554153898535921,1969,990,False
damX,,0.921,0.5541384029337014,1838,943,False
iniA,,0.974,0.5538959208800338,1943,977,False
leuS,,0.9915,0.5538298501777038,1987,991,False
pyrC,,0.972,0.5537467241149558,1945,987,False
sdhD,,0.995,0.5536336299973764,1991,995,False
ctpA,,0.971,0.5535457574284022,1941,974,False
mmpL12,,0.9065,0.5534372140117219,1813,912,False
obgE,,0.984,0.5530678244876673,1972,991,False
fadH2,,0.9945,0.5530259281323072,1987,996,False
pafB,,0.997,0.5530153278957602,1990,995,False
ygaE,,0.9755,0.5528161004275753,1949,985,False
nrdE,,0.9865,0.5528149475626876,1973,991,False
pPE66,,0.1745,0.5527916432514627,348,179,False
pyrD,,0.988,0.5527446649992018,1977,988,False
csm4,,0.99,0.5527362815999474,1973,987,False
pE_PGRS18,,0.1395,0.5526491769547325,279,135,False
oPT,,0.9955,0.5525233051535017,1986,994,False
nodJ,,0.94,0.552489928742227,1876,957,False
lppP,,0.998,0.5524800532250016,1992,995,False
vapC40,,0.9985,0.5523557154469582,1994,996,False
lys2b,,0.967,0.5520363792917878,1928,978,False
lysS,,0.994,0.5517432579428426,1991,994,False
ag85C,,0.9975,0.5516826029189774,1995,998,False
mmpL11,,0.9725,0.5513638295937381,1945,983,False
mprB,,0.9775,0.5511873353699075,1950,978,False
ponA2,,0.9635,0.5511666896974617,1925,973,False
ramB,,0.9955,0.5508981673023466,1990,992,False
rffA,,0.975,0.550715924547833,1950,981,False
spmT,,0.9735,0.5505616731363384,1946,975,False
pPE17,,0.988,0.5505415776405582,1970,987,False
ybbP,,0.9865,0.550506176049392,1969,988,False
yjqB,,0.9835,0.5504320124320123,1965,990,False
cyp121,,0.9135,0.5502370449122537,1824,928,False
pimE,,0.9985,0.5501987850901092,1991,995,False
sulP,,0.969,0.550157889972256,1938,965,False
hisJ,,0.9695,0.5500435225759412,1940,973,False
lppB,,0.598,0.5499051260266213,1195,535,False
ltp2,,0.992,0.5498857768449922,1980,989,False
eccD2,,0.9325,0.549757746128089,1863,952,False
dapD,,0.9935,0.5497062778682144,1989,994,False
eccD1,,0.992,0.5492424242424243,1982,992,False
tam,,0.994,0.5489751937041094,1986,996,False
oxc,,0.997,0.5487515817132755,1991,993,False
espA,,0.9895,0.5487461954440055,1971,988,False
eccE1,,0.9985,0.548535175879397,1995,995,False
yjjB,,0.9515,0.5484959700633276,1901,965,False
galK,,0.9165,0.5484022578785092,1833,941,False
mqo,,0.994,0.5482152101465687,1989,992,False
gph,,0.789,0.5481201737451737,1577,777,False
secD,,0.987,0.5480956806830831,1979,994,False
frdA,,0.989,0.5478368109814014,1979,989,False
cysK2,,0.9935,0.5477654016937142,1985,994,False
trpG,,0.9975,0.54768572786633,1993,996,False
preP,,0.937,0.5476280099008772,1873,918,False
rpfE,,0.992,0.5473218481770299,1983,994,False
hcaE,,0.993,0.5472902462250862,1986,993,False
glgB,,0.9835,0.5471395621820877,1971,991,False
mmpL2,,0.979,0.5469967832426259,1952,984,False
lysM,,0.9755,0.5469123386654392,1951,978,False
bioF1,,0.919,0.5467572646003758,1837,944,False
pPE12,,0.981,0.5465540089319253,1958,988,False
fadD19,,0.486,0.5464158163265307,970,490,False
ygiQ,,0.9955,0.5463447687125764,1991,997,False
lipC,,0.9985,0.5462898696088264,1997,997,False
cstA,,0.993,0.5462658386708981,1984,993,False
lig,,0.971,0.5461590873095594,1940,981,False
esxV,,0.645,0.5458405797101449,1290,600,False
aRO8,,0.997,0.5455910444902546,1992,995,False
dnaA,,0.991,0.5455810840276052,1986,995,False
ilvD,,0.987,0.5455348243034064,1976,989,False
fadD4,,0.994,0.5454715673027777,1988,995,False
pdc,,0.9795,0.5453961015493949,1957,986,False
