gene_name,annotation,prevalence,lr_auroc_rifabutin,n_train,n_pos,kept_filtered
rpoB,,0.991,0.9616410584720445,1984,994,True
embB,,0.9725,0.8323913708235473,1941,977,True
katG,,0.9875,0.8205088855310378,1974,986,True
pncA,,0.9295,0.7652056186657757,1860,876,False
sufC,,0.107,0.7173060528559251,217,115,False
rsmG,,0.9765,0.7010068305725566,1957,977,False
gyrA,,0.9925,0.7006699171962568,1991,997,False
rpsL,,0.994,0.687921914637272,1991,997,False
ethA,,0.9725,0.667353461488121,1947,956,False
espK,,0.965,0.6536271220802021,1926,969,False
pE_PGRS30,,0.6255,0.6480933140042976,1248,642,False
fadE17,,0.963,0.6447200603160945,1919,972,False
plcA,,0.949,0.6437171625051551,1892,959,False
mmpL9,,0.972,0.6420002848348808,1940,968,False
pE_PGRS26,,0.379,0.6383039415341508,755,441,False
fadD19,,0.502,0.6350466728095829,1003,458,False
dkgA,,0.9975,0.6347902041507562,1992,998,False
chiZ,,0.9395,0.6341979751124147,1876,955,False
pPE18,,0.745,0.6312486396285278,1486,770,False
ftsK,,0.25,0.6311463473828979,498,263,False
pE23,,0.9485,0.6305517658696045,1893,959,False
sufB,,0.9925,0.6303058217956992,1990,997,False
uvrC,,0.9925,0.6284828248620735,1988,997,False
ybbP,,0.9875,0.6284401494652752,1970,995,False
pPE59,,0.904,0.6278506148324473,1801,911,False
lipF,,0.981,0.6273791181876416,1955,988,False
ponA1,,0.829,0.6267475085677222,1655,842,False
ramB,,0.993,0.6265867555474014,1981,991,False
mmpL10,,0.9965,0.6263279576755599,1987,994,False
fadD32,,0.9925,0.6253637443321184,1980,994,False
pPE1,,0.933,0.6251283852247606,1864,944,False
glpQ1,,0.996,0.6249625141838224,1987,995,False
plsB1,,0.983,0.624668645459976,1964,992,False
yhfA,,0.9965,0.6246580808080809,1990,1000,False
fadD15,,0.9355,0.6245342450629977,1865,932,False
bioF2,,0.9505,0.6242508636513547,1898,957,False
narL,,0.967,0.6241651046043134,1927,972,False
leuS,,0.9875,0.623100704009795,1980,990,False
adnA,,0.899,0.6222260326737938,1795,924,False
lipL,,0.9895,0.6211321670928404,1976,992,False
pPE44,,0.973,0.6206701424211597,1943,983,False
ctpF,,0.9485,0.6206266141316986,1896,947,False
purF,,0.992,0.6201390315524888,1993,997,False
eno,,0.9705,0.6192631971765064,1948,982,False
wecE,,0.9955,0.6182021493237934,1985,994,False
pks15,,0.877,0.6177144087368381,1751,866,False
desA,,0.976,0.6177138595123655,1950,981,False
cyp138,,0.9955,0.6173757691585824,1991,997,False
cyp143,,0.997,0.6172456964956601,1988,996,False
lipQ,,0.9915,0.6170132469946582,1979,994,False
ephB,,0.997,0.6169091096981265,1987,996,False
lysX,,0.996,0.6169071774712663,1988,994,False
eccD3,,0.9925,0.6168559114154991,1980,998,False
ytxK,,0.9925,0.6166977455528401,1984,995,False
lldD,,0.994,0.6165119238979966,1986,995,False
polA,,0.99,0.6164006632284579,1983,993,False
opcA,,0.996,0.616139160912919,1986,998,False
glgB,,0.9825,0.6159720269309027,1967,991,False
hcaE,,0.993,0.6154090437472499,1984,997,False
gcvH,,0.9935,0.6148397610542673,1991,996,False
pknB,,0.996,0.6142790631768588,1988,998,False
cut5b,,0.951,0.6139139788769958,1898,976,False
dusB,,0.9915,0.6135574523673748,1989,996,False
lysS,,0.993,0.6133622418110323,1990,997,False
mftG,,0.998,0.6127021493855664,1994,999,False
accD6,,0.996,0.6119051361753266,1986,995,False
pPE3,,0.9085,0.6116071210917122,1812,926,False
nrtS,,0.9965,0.6115345104171411,1988,995,False
purU,,0.992,0.61138016365817,1988,995,False
pdtaS,,0.997,0.6110963675735457,1991,997,False
kefB,,0.9955,0.6110450422913543,1988,997,False
argS,,0.9945,0.6109072416189162,1993,998,False
lhr,,0.8955,0.6106518294926376,1789,927,False
pPE17,,0.9925,0.6105934609602249,1979,992,False
dinG,,0.974,0.6104195853586287,1948,981,False
ctpD,,0.955,0.6102434222104892,1907,960,False
pPE22,,0.899,0.6102103952692187,1793,918,False
hddA,,0.996,0.6095073210938005,1990,998,False
mmaA2,,0.9975,0.6090582534244506,1993,999,False
oxc,,0.995,0.6089936930312237,1990,998,False
atsD,,0.993,0.6086473825141887,1984,995,False
obgE,,0.9815,0.6084872239780215,1968,990,False
aRO8,,0.9965,0.6079731400450898,1990,996,False
mycP4,,0.9445,0.6068320005604539,1882,963,False
aftB,,0.9945,0.606506792241155,1984,992,False
fadD23,,0.9855,0.6063878643345958,1971,993,False
proX,,0.992,0.6062989555136777,1980,991,False
csa3,,0.992,0.6062089836097688,1980,992,False
embC,,0.9785,0.6058390103528701,1953,977,False
ctpV,,0.9375,0.6057153536475801,1871,953,False
cut1,,0.215,0.6054459883460331,429,138,False
kgd,,0.9975,0.6053958233377945,1990,995,False
nodJ,,0.927,0.6052558889692577,1849,942,False
trmL,,0.9955,0.604945032655876,1986,996,False
sdhD,,0.995,0.6044332485095538,1995,999,False
esxV,,0.7455,0.6042630273667389,1491,757,False
nrnA,,0.993,0.6040160191822054,1980,995,False
lipU,,0.997,0.6040096094735822,1989,997,False
nlpC,,0.899,0.6030331282242526,1795,930,False
papA2,,0.994,0.6024426491650663,1983,992,False
ltp2,,0.9925,0.6023840410886371,1982,994,False
ggtA,,0.996,0.6022365785550395,1988,997,False
narS,,0.997,0.6018852287947221,1987,994,False
lprF,,0.995,0.6018801076087509,1985,995,False
lipY,,0.9975,0.6016495159522833,1991,997,False
prcA,,0.998,0.6015802119769401,1988,996,False
pyrD,,0.9875,0.6012335715223313,1975,992,False
rpfE,,0.989,0.6011341098483682,1975,993,False
mbtB,,0.8985,0.600652474930766,1790,924,False
eRF1,,0.9955,0.6004076057961117,1984,997,False
csm4,,0.9945,0.5998644714641663,1982,991,False
disA,,0.998,0.5997811871227365,1994,1000,False
mmpL12,,0.899,0.5996117001401503,1796,927,False
mhpF,,0.138,0.5995982409468484,276,113,False
lppN,,0.997,0.5994362717370224,1990,998,False
carA,,0.9795,0.5990610694154651,1963,985,False
pimE,,0.998,0.5985944799373754,1990,995,False
ypfJ,,0.988,0.5985002620302723,1973,990,False
spmT,,0.9685,0.5976411516478821,1935,970,False
mprB,,0.967,0.5976231940144479,1929,969,False
yprA,,0.9765,0.5974794971660176,1947,990,False
sigG,,0.996,0.5971676611152945,1992,999,False
ggt,,0.981,0.5971288863999334,1964,990,False
sulP,,0.971,0.5968996104665931,1944,980,False
rpfA,,0.841,0.5960640673674629,1677,830,False
cyp121,,0.9145,0.5953679834980876,1825,954,False
cyp136,,0.997,0.594983104453104,1989,998,False
pafB,,0.995,0.5929081065904956,1983,996,False
guaB,,0.9625,0.592637205208755,1933,979,False
nudC,,0.991,0.5925126438949789,1986,993,False
accD1,,0.986,0.5913588853772902,1968,990,False
pPE25,,0.622,0.591346266048123,1242,619,False
ponA2,,0.956,0.591142740040019,1908,961,False
cobM,,0.9675,0.5904557624792866,1940,979,False
mazF3,,0.9985,0.5904270853264317,1993,998,False
kstD,,0.9855,0.5903365749611366,1968,995,False
secA2,,0.997,0.5903347904355969,1991,999,False
marP,,0.996,0.5897473733317107,1986,996,False
tatB,,0.9945,0.5896821992080661,1993,997,False
trpG,,0.997,0.587919286152951,1990,998,False
vapC40,,0.9995,0.5876323110258852,1995,999,False
rip,,0.9835,0.587129080929785,1960,987,False
pta,,0.996,0.5869430580899325,1993,997,False
carB,,0.9655,0.5868200836820083,1934,978,False
mmpL5,,0.958,0.5864248035663374,1914,977,False
hsaB,,0.9965,0.5863294818998789,1990,997,False
pPE20,,0.9855,0.5858863164524966,1965,988,False
nrdE,,0.984,0.5856748367539735,1963,990,False
pknJ,,0.9325,0.5855895338267758,1858,952,False
nnr,,0.834,0.5854113463432491,1661,867,False
vapC38,,0.9965,0.5853200202224469,1989,1000,False
glgP,,0.9865,0.5839417073050182,1971,992,False
pE_PGRS46,,0.571,0.5835038442460317,1136,576,False
ansP1,,0.9965,0.5830022930267039,1986,997,False
pPE32,,0.96,0.5823838403653028,1916,971,False
murG,,0.891,0.582318123453697,1788,925,False
eccA3,,0.99,0.5820899042790368,1975,993,False
galK,,0.892,0.581883071883072,1783,925,False
preP,,0.9445,0.5818343195266271,1885,975,False
otsA,,0.9975,0.5797373785170895,1989,996,False
rfbC,,0.9975,0.5783035281424495,1988,997,False
cobN,,0.9675,0.5782259675883412,1940,968,False
bglS,,0.9955,0.5777600749670649,1986,997,False
cyp128,,0.9815,0.5777236723315798,1959,993,False
pPE28,,0.987,0.5773189606834224,1970,992,False
adnB,,0.91,0.5770841670001333,1817,935,False
yobV,,0.943,0.576628729858453,1880,957,False
ispE,,0.977,0.576588663936415,1960,987,False
oxyS,,0.9975,0.5765677082808836,1993,998,False
tadA,,0.951,0.5765253154004335,1897,950,False
guaA,,0.987,0.5761755934142256,1979,995,False
rtcB,,0.994,0.5761376771265894,1981,994,False
betA,,0.102,0.5759122707506145,209,86,False
fadD6,,0.992,0.5748572654199308,1979,994,False
pE_PGRS16,,0.384,0.5740148765330253,766,418,False
maf,,0.9945,0.5739709340379627,1990,996,False
pheS,,0.993,0.5738765737673757,1989,996,False
yggS,,0.9935,0.5735017164531031,1986,995,False
pheT,,0.936,0.5731834608698033,1873,957,False
phiG,,0.996,0.5728175327572919,1986,996,False
fadH2,,0.996,0.5725745663802886,1987,995,False
crtC,,0.9945,0.5721219899842284,1984,996,False
egtB,,0.9885,0.5717728684888614,1981,992,False
pknA,,0.8475,0.5715727556259834,1691,868,False
fadD25,,0.9915,0.5713887789209905,1980,994,False
mutT4,,0.9655,0.571267507002801,1927,975,False
eccC4,,0.984,0.570874655948272,1961,987,False
yqjF,,0.987,0.5707209663560051,1968,984,False
ccsB,,0.997,0.5706983713749469,1991,996,False
recR,,0.992,0.5706651677085637,1990,997,False
pE_PGRS24,,0.606,0.5703961441383975,1207,626,False
tap,,0.9455,0.5703737572450687,1886,957,False
pPE38,,0.5495,0.5703538972627187,1095,639,False
lipI,,0.9745,0.5697106529995299,1944,978,False
stp,,0.9935,0.5697088557068027,1982,996,False
pPE66,,0.1755,0.5689228529839884,349,120,False
mshA,,0.9445,0.5688878433814868,1883,951,False
pepE,,0.985,0.5686821970994632,1963,990,False
pks13,,0.906,0.5674837522992029,1807,932,False
glcB,,0.991,0.5674190181267033,1979,991,False
fgd,,0.996,0.567414440903355,1989,997,False
eccA2,,0.9085,0.5670463307274128,1813,952,False
glfT1,,0.998,0.5669304395598858,1992,997,False
rip2,,0.9845,0.5659443516672952,1965,988,False
birA,,0.991,0.5659132097549837,1981,994,False
bkdC,,0.961,0.5656587407233402,1918,972,False
lppW,,0.998,0.5653440739126223,1991,999,False
amyA,,0.988,0.5651282567725042,1973,994,False
mycP,,0.207,0.5650703871292105,413,153,False
mtrB,,0.998,0.5650353572888784,1993,999,False
fdhD,,0.9935,0.564625833144595,1989,997,False
cyp135A1,,0.997,0.5644554631636847,1989,997,False
narJ,,0.9885,0.5641928973733255,1971,990,False
smc,,0.96,0.5635636724323948,1918,974,False
yloV,,0.575,0.5635314910423554,1148,654,False
esxU,,0.997,0.5633510293402496,1987,995,False
mycP2,,0.729,0.5631207482993197,1455,720,False
lppB,,0.5855,0.56305667648235,1169,477,False
