gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
mhpA,0.7969717872663309,0.9746844174656825,0.17771263019935157,0.9425,649,649,0.8549376676089004
mhpB,0.7834793405532179,0.9766020555977099,0.19312271504449197,0.9425,646,646,0.8431271290860332
dgcQ,0.7732289439194315,0.9813064772021797,0.20807753328274814,0.9395,646,646,0.8371294484308184
bcsC,0.7821618265848106,0.9752362557770573,0.1930744291922467,0.944,651,651,0.8363548235123577
wza,0.7733117196661378,0.9334482996482031,0.16013657998206532,0.7395,522,522,0.8359235703413785
comEC,0.7824860315927433,0.9778023039249499,0.1953162723322066,0.9325,641,641,0.8345219975356961
sbcB,0.7839484031178865,0.9658274125681174,0.18187900945023094,0.9465,650,650,0.8340617525549032
pqqF,0.7727529833758708,0.9811823135821204,0.20842933020624954,0.9405,647,647,0.8323874755381605
gyrA,0.7830447678830104,0.9717044905842588,0.18865972270124842,0.9465,652,652,0.8322968761324927
gatC,0.7613299303304132,0.9796854521625163,0.21835552183210316,0.941,647,647,0.8312459230267448
benC,0.7826032972339105,0.96883493136511,0.18623163413119947,0.939,647,647,0.8311825034427774
fadJ,0.7980064841001587,0.9718976339932399,0.1738911498930812,0.9445,652,652,0.8311009639776763
hypF,0.7782713664896185,0.9751258881147824,0.19685452162516393,0.945,652,652,0.8310248604769154
treA,0.7824653376560666,0.9756501345105884,0.19318479685452172,0.945,652,652,0.8303725447561063
gspL,0.8151686555839139,0.9748637649168793,0.15969510933296538,0.9325,645,645,0.8299965572225846
sacC,0.7752431537559494,0.9593226184727875,0.18407946471683811,0.9095,621,621,0.8287154816264405
ade,0.7828930123473823,0.9687659515761882,0.18587293922880588,0.945,649,649,0.8276110748713488
ccmI,0.7786921432020417,0.969504035317652,0.19081189211561023,0.9415,647,647,0.8272876349931144
entF,0.7327998896323377,0.9799820652548804,0.24718217562254274,0.944,648,648,0.8265800536348482
cpdB,0.780796026764158,0.9772090777402221,0.1964130509760641,0.9455,651,651,0.8260654490106545
flhA,0.7701386493757328,0.9710077947161481,0.20086914534041522,0.936,647,647,0.8259666956584766
pgaA,0.8024073946333723,0.9678209284679589,0.16541353383458657,0.9405,643,643,0.824228999057766
xynB,0.7526867627785058,0.9743533144788576,0.22166655170035188,0.9355,644,644,0.8230856345582374
tssA1,0.7766020555977098,0.9688901151962475,0.19228805959853768,0.9135,622,622,0.8229560774081324
rbbA,0.7655239014968614,0.9690349727529833,0.2035110712561219,0.9395,649,649,0.8224759005580923
scsB,0.7826722770228323,0.9654411257501552,0.1827688487273229,0.9335,642,642,0.8221189388997607
oadA,0.7618817686417879,0.9278264468510726,0.1659446782092847,0.581,399,399,0.8220555193157932
pgtC,0.7804649237773332,0.9604745809477823,0.18000965717044903,0.9135,613,613,0.8219386460824817
cydC,0.7548665241084362,0.970104159481272,0.2152376353728358,0.9465,652,652,0.8218290208016235
yegD,0.7824860315927433,0.9717734703731805,0.1892874387804372,0.946,652,652,0.8214729651373487
nirB,0.7789680623577291,0.9744705801200249,0.19550251776229577,0.925,631,631,0.8208442052620135
sbcC,0.7278057529143961,0.9310547009726151,0.20324894805821903,0.8305,557,557,0.8208088714938031
yfaS,0.7676898668690074,0.9719528178243775,0.20426295095537006,0.94,650,650,0.8207526998622889
walK,0.7734358832861972,0.9691039525419052,0.195668069255708,0.9375,649,649,0.8207055881713416
hisD,0.7740635993653857,0.9662412913016487,0.192177691936263,0.946,649,649,0.8202861129230993
pbuX,0.7623163413119954,0.9769745464578878,0.2146582051458924,0.9185,640,640,0.8200958541711967
dsbD,0.7422225287990618,0.9687107677450507,0.2264882389459889,0.934,643,643,0.8196075233746467
hpxW,0.7752500517348415,0.9777885079671657,0.20253845623232414,0.939,644,644,0.8195096760165255
gspK,0.7419879975167276,0.9760364213285506,0.234048423811823,0.9455,652,652,0.8190068493150685
ftsK,0.7415120369731667,0.9566393046837276,0.2151272677105609,0.944,651,651,0.8188464883670363
bglF,0.781996275091398,0.96741394771332,0.185417672621922,0.9465,652,652,0.8180972312821628
ncs1,0.7718010622887493,0.9756777264261571,0.2038766641374078,0.9245,629,629,0.8179984779299847
tynA,0.7588397599503345,0.9678416224046356,0.20900186245430108,0.944,652,652,0.816885917228383
hrpB,0.7792922673656618,0.9733600055183832,0.19406773815272138,0.944,650,650,0.8168388055374357
rne,0.7623163413119955,0.9776091605159688,0.21529281920397325,0.9445,650,650,0.8163695006160759
dcp,0.7562944057391184,0.9722149410222803,0.2159205352831619,0.9375,646,646,0.8158005363484816
lpoA,0.7585845347313237,0.9776367524315376,0.21905221770021388,0.9465,652,652,0.8154852504167571
hutI,0.7610195212802648,0.9670276608953576,0.2060081396150928,0.8865,612,612,0.8153638472131624
pgtB,0.7710560805683933,0.961619645443885,0.19056356487549175,0.911,613,613,0.815291367688628
uraD,0.7502379802717803,0.9778850796716563,0.22764709939987593,0.9435,652,652,0.8151400666811626
