gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.987286036036036,0.001909848869331883,0.9982755074847335,0.00023310300174827803,153,2013,False,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.8162162162162159,3.447570026172235e-16,0.9577912841070738,3.447570026172235e-16,1,1130,True,True,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.813907657657658,3.447570026172235e-16,0.9569619451689774,1.1491900087240784e-16,1,922,True,False,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.8067567567567567,0.0,0.9556187766714078,3.447570026172235e-16,1,1091,False,True,False,True
TEM-105,TEM-105,acquired_hgt,0.6770270270270269,1.1491900087240784e-16,0.9258243889822835,2.298380017448157e-16,1,596,True,True,False,False
SHV-28,SHV-28,acquired_hgt,0.664864864864865,1.1491900087240784e-16,0.9230311651364286,3.447570026172235e-16,1,606,True,True,False,False
OXA-1,OXA-1,acquired_hgt,0.6513513513513515,1.1491900087240784e-16,0.919927583085478,1.1491900087240784e-16,1,510,True,True,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6135135135135136,1.1491900087240784e-16,0.9112375533428165,1.1491900087240784e-16,1,502,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5988738738738738,0.0,0.9070343070343069,1.1491900087240784e-16,1,1515,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.5972972972972973,0.0,0.9075132548816761,2.298380017448157e-16,1,453,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5863175675675675,1.1491900087240784e-16,0.904330790120264,2.298380017448157e-16,1,488,False,True,False,True
SHV-12,SHV-12,acquired_hgt,0.5679617117117115,1.1491900087240784e-16,0.9005113458280274,0.0,1,264,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.5405405405405405,1.1491900087240784e-16,0.8944782102676837,1.1491900087240784e-16,1,156,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.5391891891891892,0.0,0.8941678520625889,0.0,1,178,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.5327702702702704,0.0,0.8918831381989277,0.0,1,166,True,True,False,False
OKP-B-1,OKP-B-1,acquired_hgt,0.53125,0.0,0.8915662650602412,2.298380017448157e-16,1,14,True,True,False,False
KPC-3,KPC-3,acquired_hgt,0.531081081081081,1.1491900087240784e-16,0.8923057028320186,0.0,1,83,True,True,False,False
SHV-13,SHV-13,acquired_hgt,0.5298986486486487,0.0,0.8912877616538941,2.298380017448157e-16,1,20,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.5297297297297298,0.0,0.8919953446269238,2.298380017448157e-16,1,155,True,True,False,False
SHV-229,SHV-229,acquired_hgt,0.528153153153153,1.1491900087240784e-16,0.8909290644569432,3.447570026172235e-16,1,53,True,True,False,False
