gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gyrA,0.8475120385232745,0.980203317281969,0.13269127875869446,0.9586776859504132,407,407,0.8980624549561427
pqqF,0.8395532370251471,0.9780631353665061,0.13850989834135907,0.9517906336088154,404,404,0.8934152472358452
pgaA,0.8018548243267345,0.9798912074192972,0.17803638309256276,0.949724517906336,400,400,0.8876452389741427
gatC,0.849139468521491,0.9722222222222222,0.12308275370073118,0.955922865013774,404,404,0.886761939918086
sbcB,0.8277822364901016,0.9555912252541465,0.1278089887640449,0.959366391184573,405,405,0.8856127722406792
pbpC,0.7796504369538078,0.9722668093454611,0.1926163723916533,0.955922865013774,406,406,0.885041484293976
tssM,0.7916220795434279,0.9177367576243981,0.1261146780809702,0.8023415977961432,322,322,0.8837648754592277
cdsB,0.8247948992331015,0.9554351703228108,0.13064027108970933,0.9331955922865014,393,393,0.8819037951097751
gspL,0.8345148920991617,0.9702158016764758,0.13570090957731407,0.9552341597796143,406,406,0.8787331470055723
paaH,0.8645443196004993,0.9829677189227751,0.11842339932227586,0.9579889807162536,407,407,0.8776828560881718
tssH,0.7910424469413234,0.9660469056536473,0.17500445871232384,0.9276859504132232,384,384,0.8770039023361282
ftsK,0.8400659889423935,0.9761904761904762,0.13612448724808268,0.9579889807162536,406,406,0.8769401817574575
hofC,0.7633092562867844,0.9619671838772962,0.19865792759051182,0.946969696969697,404,404,0.8764106417760902
polB,0.7883672195469948,0.9855983591938648,0.19723113964687,0.9517906336088154,404,404,0.8763249485840847
tadD,0.812800963081862,0.9404093097913322,0.1276083467094702,0.9152892561983472,384,384,0.8757998031253845
bcsC,0.8170144462279294,0.9673399322275726,0.15032548599964324,0.956611570247934,406,406,0.8715437079224454
pgtC,0.7822810772248974,0.9623015873015873,0.18002051007668995,0.9352617079889808,385,385,0.8709065021357378
creD,0.8099696807561977,0.9824772605671482,0.17250757981095055,0.959366391184573,406,406,0.8705439540157148
fimK,0.7849117174959872,0.9558587479935794,0.1709470304975922,0.9173553719008264,381,381,0.8703681731090369
dsbD,0.780876582842875,0.9761458890672373,0.19526930622436234,0.950413223140496,401,401,0.8701638278050238
hrpB,0.8501649723559835,0.9873372570001783,0.13717228464419473,0.955922865013774,405,405,0.868893810754276
bcsO,0.7796727305154271,0.9691457107187444,0.18947298020331738,0.9545454545454546,403,403,0.8671777496528328
tmcA,0.8500089174246478,0.9536739789548778,0.10366506153023003,0.959366391184573,405,405,0.8661472340874334
mhpA,0.8593722133047976,0.9801141430354914,0.12074192973069375,0.956611570247934,404,404,0.8645300497459967
mdcH,0.7430444087747459,0.9583333333333333,0.2152889245585874,0.9579889807162536,406,406,0.863993917980629
entF,0.8500535045478865,0.9856875334403424,0.1356340288924559,0.9538567493112948,404,404,0.8634292218179261
entD,0.7901729980381664,0.9745407526306402,0.1843677545924738,0.956611570247934,406,406,0.8614428975724657
ccmI,0.7487961476725521,0.9667380060638487,0.21794185839129665,0.955922865013774,403,403,0.8608232698764261
comEC,0.851614053861245,0.9799135009809168,0.12829944711967178,0.9524793388429752,403,403,0.8598103324016946
rne,0.780765115034778,0.9806046013911183,0.1998394863563403,0.9579889807162536,405,405,0.859803740617694
lpoA,0.8432539682539681,0.973470661672909,0.13021669341894082,0.9586776859504132,407,407,0.8597092583803547
benC,0.7547931157481719,0.9707954342785804,0.21600231853040852,0.9538567493112948,404,404,0.857424106593542
acrD,0.8156099518459069,0.9662698412698413,0.15065988942393438,0.9524793388429752,402,402,0.8571033064388545
cpdB,0.7781344747636881,0.9672953451043338,0.18916087034064566,0.9586776859504132,406,406,0.8569670762361792
ubiF,0.8479133226324238,0.979489923310148,0.13157660067772414,0.959366391184573,407,407,0.8569648789748457
garK,0.6785491350098092,0.9643971820938112,0.285848047084002,0.9387052341597796,397,397,0.8564748896974811
hpxW,0.7837747458533976,0.9781523096129837,0.19437756375958615,0.949724517906336,399,399,0.8556157605160928
xynB,0.7559969680756198,0.9759675405742823,0.21997057249866248,0.950413223140496,402,402,0.8556113659934258
walK,0.7868958444801142,0.9814517567326556,0.19455591225254143,0.950413223140496,405,405,0.8548247464360421
glgX,0.8394194756554307,0.9822543249509541,0.14283484929552337,0.959366391184573,407,407,0.8542820228866741
hpxE,0.7402577135723204,0.9827447833065811,0.2424870697342607,0.9552341597796143,407,407,0.8542754311026736
aNKYR,0.849028000713394,0.9457374710183699,0.0967094703049759,0.9449035812672176,401,401,0.8531768004359366
ydhJ,0.7744114499732477,0.9639513108614233,0.18953986088817554,0.9008264462809916,375,375,0.8525857371372323
pat,0.8305689316925271,0.9748974496165508,0.14432851792402368,0.959366391184573,406,406,0.8525857371372322
dxs,0.812199036918138,0.975633137149991,0.163434100231853,0.9586776859504132,404,404,0.8518738244651867
ncs1,0.7624843945068663,0.9672061708578562,0.20472177635098987,0.9414600550964188,395,395,0.8513091283024837
paaZ,0.7753477795612627,0.9818084537185661,0.2064606741573034,0.9573002754820936,407,407,0.8510981912144702
fimF,0.7677233814874264,0.9607633315498484,0.19303995006242203,0.8939393939393939,375,375,0.8504521963824291
fiu,0.8289860888175495,0.9820759764579989,0.1530898876404494,0.955922865013774,405,405,0.8503972648490921
hisD,0.7930265739254503,0.9825664348136258,0.18953986088817554,0.9586776859504132,404,404,0.8499512207983969
