gene,source,n_carriers,esm_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
bioA,bakta_nonamr,326,0.7552028218694885,0.8885361552028219,False,0.13333333333333341
ybiB,bakta_nonamr,335,0.732363315696649,0.8535714285714285,False,0.1212081128747795
sad,bakta_nonamr,333,0.7309964726631395,0.7525132275132276,False,0.021516754850088082
prpF,bakta_nonamr,324,0.7306878306878307,0.8877865961199294,False,0.15709876543209866
ecpC,bakta_nonamr,326,0.7292328042328042,0.8316137566137566,False,0.10238095238095235
malY,bakta_nonamr,333,0.7192680776014109,0.8596560846560847,False,0.1403880070546738
priA,bakta_nonamr,335,0.7095238095238096,0.8121252204585537,False,0.10260141093474417
cadC,bakta_nonamr,324,0.7066137566137566,0.816225749559083,False,0.10961199294532642
pqqE,bakta_nonamr,332,0.7038359788359788,0.7916225749559084,False,0.08778659611992956
pflD,bakta_nonamr,286,0.6958112874779542,0.8536155202821869,False,0.15780423280423272
OmpK35,chromosomal,335,0.6918095238095238,0.8431428571428572,False,0.15133333333333343
csiR,bakta_nonamr,335,0.6900352733686067,0.8319664902998236,False,0.1419312169312169
tadD,bakta_nonamr,325,0.6892416225749559,0.8767195767195767,False,0.18747795414462076
citF,bakta_nonamr,269,0.6860229276895944,0.8177248677248677,False,0.13170194003527336
lpoA,bakta_nonamr,335,0.6856261022927689,0.8375220458553793,False,0.15189594356261038
yhhY,bakta_nonamr,335,0.6849647266313932,0.8304673721340388,False,0.14550264550264558
GyrA,chromosomal,335,0.6432857142857142,0.8509523809523809,False,0.20766666666666667
SHV-OKP-LEN,acquired,301,0.6075714285714285,0.8432380952380951,False,0.23566666666666658
OXA,acquired,153,0.6039047619047619,0.6492857142857142,False,0.0453809523809523
TEM,acquired,112,0.5933333333333333,0.592047619047619,False,-0.0012857142857142234
Cat,acquired,118,0.5920952380952381,0.6246666666666668,False,0.032571428571428696
KPC,acquired,118,0.5907619047619048,0.5950952380952381,False,0.0043333333333333
Sul,acquired,201,0.5907619047619048,0.708952380952381,False,0.11819047619047618
AAC(6'),acquired,162,0.5795714285714285,0.617,False,0.03742857142857148
ParC,chromosomal,330,0.5712857142857144,0.8142857142857143,False,0.24299999999999988
PmrB,chromosomal,335,0.5551904761904762,0.8107619047619048,False,0.25557142857142856
CTX-M,acquired,175,0.5472857142857143,0.6190476190476191,False,0.0717619047619048
QnrB,acquired,49,0.5358571428571429,0.5884285714285715,False,0.0525714285714286
Dfr,acquired,139,0.527,0.5660952380952382,False,0.03909523809523818
AAC(3),acquired,114,0.5258095238095238,0.6017619047619047,False,0.07595238095238088
ANT(2''),acquired,13,0.5183333333333333,0.5183333333333333,False,0.0
TetD,acquired,37,0.5179523809523809,0.5519999999999999,False,0.03404761904761899
MphA,acquired,117,0.5121428571428572,0.582095238095238,True,0.06995238095238077
CmlA,acquired,24,0.5078095238095238,0.5089047619047619,False,0.001095238095238038
Mrx,acquired,112,0.5054761904761904,0.545047619047619,True,0.03957142857142859
APH(4),acquired,17,0.5016190476190476,0.5033333333333334,False,0.0017142857142857792
APH(3'),acquired,91,0.4816666666666666,0.4694761904761905,False,-0.012190476190476085
Arr,acquired,15,0.4735238095238094,0.4738571428571428,False,0.00033333333333340764
QnrS,acquired,18,0.4571428571428571,0.4841904761904761,False,0.027047619047619043
StrB,acquired,81,0.451,0.5154761904761904,False,0.06447619047619041
StrA,acquired,80,0.4224285714285714,0.507904761904762,False,0.0854761904761906
ANT(3''),acquired,136,0.4188095238095238,0.5438095238095239,False,0.12500000000000006
OmpK36,chromosomal,331,0.404,0.8544761904761905,False,0.4504761904761905
TetA,acquired,81,0.385047619047619,0.5317142857142857,False,0.14666666666666667
