gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gyrA,0.7812583697884117,0.8098049281314168,0.9344143380055353,0.15315596821712363,0.9618126272912424,562,562,0.8003440888396482
pqqF,0.7477234175520042,0.7872399785733417,0.902028836711008,0.15430541915900375,0.9546843177189408,559,559,0.7930721593808387
gatC,0.7758124274618338,0.7880434782608696,0.901024462101598,0.12521203463976427,0.9546843177189408,556,556,0.7906081417812804
tssM,0.7496317293098831,0.770846353004196,0.8629363449691994,0.11330461565931627,0.7820773930753564,435,435,0.7826184505479015
gspL,0.7728997410945452,0.7901303455048656,0.9170386572627444,0.14413891616819918,0.9567209775967414,559,559,0.7813993475614962
lpoA,0.8124609409874117,0.8169248281403446,0.9058900990982948,0.09342915811088304,0.9618126272912424,562,562,0.7803917013634496
pgaA,0.7694179091152576,0.742031961432015,0.901593607713597,0.13217569859833933,0.9557026476578412,555,555,0.7792669100901619
hofC,0.75995446835104,0.7879430407999285,0.892955986072672,0.13300151772163205,0.9531568228105908,559,559,0.7771841103625738
ftsK,0.7934447817159181,0.8105191500758862,0.9152642621194537,0.12181948040353552,0.9613034623217924,562,562,0.7768028924906035
tssH,0.7825640567806446,0.7711811445406661,0.9198732256048567,0.13730916882421218,0.9170061099796334,528,528,0.7753991370974627
helD,0.7292652441746272,0.7835572716721722,0.9278524238907241,0.19858717971609685,0.9623217922606924,561,561,0.7749305567964991
tadD,0.7475560217837693,0.7675765556646728,0.9009575037943041,0.15340148201053472,0.920570264765784,535,535,0.7745423896404043
polB,0.7673087224354969,0.7972279260780287,0.9063030086599411,0.1389942862244442,0.9562118126272912,559,559,0.7736181348518514
pulA,0.784628604588876,0.7788590304437104,0.926167306490492,0.141538701901616,0.9368635437881874,547,547,0.7731287066985143
parC,0.7994933488081423,0.8077738594768323,0.9291692706008392,0.12967592179269694,0.9618126272912424,561,561,0.7720207922581004
dsbD,0.7169560753504152,0.7285398625122756,0.9115145969109901,0.19455852156057496,0.9541751527494908,556,556,0.7719870385923531
