drug,ceiling_auroc,ceiling_auprc,ft_auroc,ft_auprc,concat_auroc,concat_auprc
cefuroxime,0.9615799943165672,0.9945751028147852,0.9961877286074906,0.9995904672471964,0.9970635206841482,0.9996865606823616
ertapenem,0.9770099066880422,0.9848969361186144,0.9930025445292622,0.9932722725538424,0.9959796437659032,0.9973796048508976
ceftazidime,0.9542139062586962,0.974712582774299,0.9920438564508568,0.9960621619628764,0.9971027136830044,0.9987100722390596
cefotaxime,0.9804833146412172,0.9877146327501004,0.9898309981222012,0.9938320318158512,0.994164379604218,0.997380748509074
ceftriaxone,0.9712741737330002,0.9889962903106628,0.9882320133853876,0.995777202530146,0.9893614054657,0.9961772518030848
meropenem,0.9638070085125748,0.9450088857186426,0.9874072003230516,0.9673043451180128,0.9885068182524152,0.9790803719622164
cefazolin,0.9702504573999902,0.989163002400412,0.986789006414341,0.9934444761247412,0.9939467312348668,0.9978439064719316
ciprofloxacin,0.9767607365138516,0.9842751701590609,0.986743744892068,0.993678552780207,0.9881233551521694,0.9941059279195392
imipenem,0.9663217138707334,0.9511760440854188,0.9837963893691448,0.9710804823439314,0.987133609424631,0.9862311049026384
gentamicin,0.941120374963432,0.9385094792511548,0.9831572795836456,0.976432364215926,0.9880474573280996,0.98274066687481
amikacin,0.8974626782531195,0.751547603732972,0.9804574428196476,0.9412554833633472,0.983427071616048,0.9465992817603794
cefoxitin,0.928084401325508,0.9532402089767869,0.979147089713117,0.9778834241529089,0.9848681664916256,0.9858750065061552
trimethoprim-sulfamethoxazole,0.9169510106200752,0.9394184324778578,0.9789549711097828,0.9832282726489576,0.9803330676761638,0.9854226770536194
ampicillin-sulbactam,0.9752045795795796,0.9957380533871086,0.9696843853820598,0.9928576263838618,0.9818660022148396,0.9965773819130822
piperacillin-tazobactam,0.8964521664521663,0.9268392212343726,0.963542606968767,0.9833620941253968,0.9723099837515798,0.9862589281066336
tobramycin,0.9081157021702336,0.9194475653967096,0.9606247104758124,0.9622141410397296,0.9664151942293694,0.971230282885525
levofloxacin,0.9717436537661256,0.9868977918373708,0.9550017307026653,0.9852879940158688,0.9695050190377292,0.9890977603817392
cefepime,0.8230825054831634,0.8748128061090393,0.952076677316294,0.9723707499624225,0.9475286600263108,0.9690733124526828
tetracycline,0.8658189817050272,0.8794593567443842,0.9319371727748692,0.9288415121035358,0.9469134299281626,0.9487708674348
aztreonam,0.8893972754024337,0.9625875496793944,0.9265066144047036,0.9739341750806092,0.9447983014861996,0.984775161480846
colistin,0.6798724264241509,0.4956775003463417,0.9160975609756096,0.8455501025158625,0.9345644599303136,0.8882665107173362
azithromycin,0.5552142857142857,0.9107316376460008,0.8215238095238095,0.9547521141990852,0.8535238095238096,0.9683365545520692
