drug,ceiling_auroc,ceiling_auprc,bacformer_auroc,bacformer_auprc,gap
azithromycin,0.5552142857142857,0.9107316376460008,0.8563809523809524,0.9739065782831938,0.3011666666666667
colistin,0.6798724264241509,0.4956775003463417,0.9345644599303136,0.8882665107173362,0.25469203350616265
cefepime,0.8230825054831634,0.8748128061090393,0.952076677316294,0.9723707499624225,0.12899417183313056
amikacin,0.8974626782531195,0.751547603732972,0.983427071616048,0.9465992817603794,0.08596439336292849
tetracycline,0.8658189817050272,0.8794593567443842,0.9469134299281626,0.9487708674348,0.08109444822313538
piperacillin-tazobactam,0.8964521664521663,0.9268392212343726,0.9723099837515798,0.9862589281066336,0.07585781729941354
trimethoprim-sulfamethoxazole,0.9169510106200752,0.9394184324778578,0.9803330676761638,0.9854226770536194,0.06338205705608857
tobramycin,0.9081157021702336,0.9194475653967096,0.9699391171993912,0.9792560520071458,0.06182341502915756
cefoxitin,0.928084401325508,0.9532402089767869,0.9848681664916256,0.9858750065061552,0.056783765166117606
aztreonam,0.8893972754024337,0.9625875496793944,0.9447983014861996,0.984775161480846,0.05540102608376585
gentamicin,0.941120374963432,0.9385094792511548,0.9880474573280996,0.98274066687481,0.04692708236466758
ceftazidime,0.9542139062586962,0.974712582774299,0.9971027136830044,0.9987100722390596,0.04288880742430823
cefuroxime,0.9615799943165672,0.9945751028147852,0.9970635206841482,0.9996865606823616,0.03548352636758101
cefazolin,0.9702504573999902,0.989163002400412,0.998045962363536,0.9994459916696378,0.02779550496354588
meropenem,0.9638070085125748,0.9450088857186426,0.9885068182524152,0.9790803719622164,0.024699809739840317
imipenem,0.9663217138707334,0.9511760440854188,0.9877367214828516,0.9758541524632688,0.02141500761211823
ceftriaxone,0.9712741737330002,0.9889962903106628,0.9911042944785275,0.9966464384149398,0.01983012074552737
ertapenem,0.9770099066880422,0.9848969361186144,0.9959796437659032,0.9973796048508976,0.018969737077860982
cefotaxime,0.9804833146412172,0.9877146327501004,0.994164379604218,0.997380748509074,0.01368106496300081
ampicillin-sulbactam,0.9752045795795796,0.9957380533871086,0.9871723883351792,0.9976206883835664,0.011967808755599552
ciprofloxacin,0.9767607365138516,0.9842751701590609,0.9881233551521694,0.9941059279195392,0.011362618638317779
levofloxacin,0.9717436537661256,0.9868977918373708,0.9695050190377292,0.9890977603817392,-0.0022386347283963604
