gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9702504573999902,0.001117499191124434,0.9891630024004119,0.000283058754285824,21,2636,False,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7897381694110666,1.1491900087240784e-16,0.9019168000619807,3.447570026172235e-16,1,1426,True,False,False,False
CTX-M,CTX-M,acquired_hgt,0.7883288829550511,0.0,0.9022030809198897,1.1491900087240784e-16,1,1329,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7757009345794394,2.298380017448157e-16,0.8979722662707916,2.298380017448157e-16,1,1209,False,True,False,True
OXA,OXA,acquired_hgt,0.7378727191811303,1.1491900087240784e-16,0.8779425463218993,3.447570026172235e-16,1,1172,True,True,False,False
TEM,TEM,acquired_hgt,0.7331998219848687,0.0,0.8758234411907058,0.0,1,1207,True,True,False,False
KPC,KPC,acquired_hgt,0.6413551401869159,0.0,0.8368619049225681,2.298380017448157e-16,1,637,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5510310043020324,1.1491900087240784e-16,0.7919560312468903,0.0,1,2009,True,False,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5358255451713394,1.1491900087240784e-16,0.7860770129007675,2.298380017448157e-16,1,616,False,True,False,True
NDM,NDM,acquired_hgt,0.5140186915887848,2.298380017448157e-16,0.7789399102533826,2.298380017448157e-16,1,73,True,True,False,False
CMY,CMY,acquired_hgt,0.5046728971962616,0.0,0.774688754681332,0.0,1,24,True,True,False,False
DHA,DHA,acquired_hgt,0.5046728971962616,0.0,0.774688754681332,0.0,1,10,True,True,False,False
LAP,LAP,acquired_hgt,0.5042093161252039,1.1491900087240784e-16,0.7742385454974863,2.298380017448157e-16,1,34,True,True,False,False
CARB,CARB,acquired_hgt,0.5035046728971962,0.0,0.7741573602348257,0.0,1,14,True,True,False,False
FOX,FOX,acquired_hgt,0.5035046728971962,0.0,0.7741573602348257,0.0,1,10,True,True,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.494158878504673,1.1491900087240784e-16,0.7705216063195748,2.298380017448157e-16,1,1492,True,False,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.47520768431983385,0.0,0.764092618209491,2.298380017448157e-16,1,1096,True,True,False,False
