gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
msyB,bakta_nonamr,524,0.840526564159031,,0.9863246686853592,False,0.14579810452632813
lpoA,bakta_nonamr,527,0.8395237720712572,,0.9787742341421212,False,0.139250462070864
GyrA,chromosomal,527,0.8392591648613058,0.8975617008623252,0.9912068306359118,False,0.15194766577460594
comEC,bakta_nonamr,520,0.8390518699123048,,0.9912894726493372,False,0.15223760273703235
bcsC,bakta_nonamr,525,0.8353258091155766,,0.9859510794761884,False,0.1506252703606118
cpdB,bakta_nonamr,526,0.8335660073144834,,0.9859314168862322,False,0.15236540957174882
paaH,bakta_nonamr,527,0.8313932911243069,,0.9870521845137442,False,0.15565889338943728
gatC,bakta_nonamr,524,0.8302823547917733,,0.9838373510558812,False,0.15355499626410796
ParC,chromosomal,510,0.8301367826345525,0.9066309842402616,0.975532050465146,False,0.14539526783059353
hrpB,bakta_nonamr,525,0.8296924770930828,,0.9865212945849228,False,0.15682881749183997
gspK,bakta_nonamr,527,0.8295646702583666,,0.9861083801958396,False,0.15654370993747302
rbbA,bakta_nonamr,524,0.8233709544221164,,0.98669825789453,False,0.16332730347241364
gspL,bakta_nonamr,517,0.8211687443470055,,0.9859510794761884,False,0.16478233512918294
dgcQ,bakta_nonamr,521,0.8189665342718941,,0.987150497463526,False,0.16818396319163187
dcp,bakta_nonamr,520,0.8178654292343388,,0.9881926147312124,False,0.17032718549687365
polB,bakta_nonamr,524,0.8178555979393607,,0.9885367100554484,False,0.17068111211608772
aNKYR,bakta_nonamr,515,0.8153682803098825,,0.9771520704707224,False,0.16178379016083988
OmpK35,chromosomal,520,0.8149292723333758,0.9123019412939128,0.9970477040057772,True,0.1821184316724015
SHV-OKP-LEN,acquired,484,0.7913746229981735,0.8808886623338006,0.9799711142262436,True,0.1885964912280701
CTX-M,acquired,242,0.7766662418758761,0.7784185038868358,0.7783760248077822,True,0.0017097829319061564
OmpK36,chromosomal,522,0.763455248290217,0.8840958328023448,0.9909731957011172,True,0.22751794741090015
Sul,acquired,270,0.7560214094558431,0.7539824136612719,0.7992013933137929,False,0.043179983857949855
OXA,acquired,218,0.7449662291321525,0.7404846862920013,0.7444033813346927,True,-0.0005628477974597423
AAC(6'),acquired,231,0.7433626438978802,0.7439998300836838,0.757975447092307,False,0.014612803194426816
PmrB,chromosomal,527,0.7295994222845248,0.8583110318168302,0.9942228452487152,False,0.2646234229641904
TEM,acquired,177,0.676224459453719,0.6834034238137718,0.7047066819591352,True,0.02848222250541621
Cat,acquired,147,0.6637780892910241,0.6640648230746358,0.6715730002973536,False,0.0077949110063294524
ANT(3''),acquired,169,0.6603691431969756,0.6387791512680006,0.6914850686037126,False,0.03111592540673702
KPC,acquired,141,0.6553566118686547,0.6554946688755787,0.6551123571640967,True,-0.00024425470455802234
Dfr,acquired,175,0.6551442164733869,0.6675056284779746,0.683764495985727,False,0.02862027951234003
AAC(3),acquired,148,0.6533813346926638,0.6573000297353554,0.6591691092137122,False,0.005787774521048394
MphA,acquired,147,0.6511724225818784,0.6477528567180664,0.650620194554182,False,-0.0005522280276963887
StrB,acquired,150,0.647497982243745,0.6623338006032029,0.6847308950341957,False,0.03723291279045071
Mrx,acquired,142,0.6443014315449641,0.6433031731872053,0.6409243447602055,False,-0.003377086784758565
StrA,acquired,146,0.6369631706384605,0.6568752389448197,0.6793891508432097,False,0.04242598020474919
APH(3'),acquired,118,0.6129518712034323,0.6143218215029098,0.6161590416719765,False,0.0032071704685442404
TetA,acquired,117,0.5867210398878553,0.5979567562975235,0.6342020304999788,False,0.04748099061212352
QnrB,acquired,93,0.5579202242895374,0.5605645469606219,0.5834926298797842,False,0.02557240559024687
CmlA,acquired,32,0.5245529076929611,0.5234803109468587,0.5269954547385413,False,0.0024425470455801124
QnrS,acquired,25,0.5241174971326622,0.5235546493352025,0.5235546493352025,False,-0.0005628477974597423
Arr,acquired,32,0.5214094558429974,0.5195722356739306,0.5218023873242428,False,0.00039293148124541766
APH(4),acquired,17,0.5142304914829448,0.5138269402319358,0.5142304914829448,False,0.0
NDM,acquired,16,0.5125950469393824,0.5131897540461323,0.5125950469393824,True,0.0
MsrE,acquired,13,0.5121065375302664,0.5123614120045877,0.5125950469393824,False,0.0004885094091160447
MphE,acquired,13,0.5114799711142262,0.5121065375302664,0.5122445945371905,False,0.00076462342296435
ANT(2''),acquired,14,0.511118898942271,0.511118898942271,0.511118898942271,False,0.0
ArmA,acquired,13,0.5084320971921328,0.509058663608173,0.5084320971921328,False,0.0
RmtF,acquired,8,0.4994371522025403,0.5018584597085936,0.5018584597085936,False,0.0024213075060532385
TetD,acquired,48,0.4964105178199736,0.5102480778216729,0.561244212225479,False,0.06483369440550546
