gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9804833146412172,0.0010129224188440019,0.9877146327501003,0.0004915778126936052,22,2033,False,False,False,False
TEM,TEM,acquired_hgt,0.8032884017182641,1.1491900087240784e-16,0.8579665432846695,2.298380017448157e-16,1,957,True,True,False,False
CTX-M,CTX-M,acquired_hgt,0.7973421926910299,0.0,0.8610599312335885,2.298380017448157e-16,1,864,True,True,False,False
OXA,OXA,acquired_hgt,0.795120299638149,2.298380017448157e-16,0.8514836342161585,2.298380017448157e-16,1,941,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7361554901919294,1.1491900087240784e-16,0.8169230540003362,2.298380017448157e-16,1,731,False,True,False,True
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.6817296908394523,1.1491900087240784e-16,0.7631726385719177,1.1491900087240784e-16,1,1302,True,False,False,False
KPC,KPC,acquired_hgt,0.6662505025710477,0.0,0.7700782442944316,0.0,1,520,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.6148930317201683,1.1491900087240784e-16,0.7338741797114905,1.1491900087240784e-16,1,348,False,True,False,True
NDM,NDM,acquired_hgt,0.6146179401993356,0.0,0.7357860987392825,1.1491900087240784e-16,1,302,True,True,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5671117506401168,0.0,0.6925417748697936,0.0,1,1672,True,False,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.5403643904606723,2.298380017448157e-16,0.6764848148231929,1.1491900087240784e-16,1,1070,True,True,False,False
CMY,CMY,acquired_hgt,0.5199335548172758,0.0,0.6708714764467787,1.1491900087240784e-16,1,36,True,True,False,False
DHA,DHA,acquired_hgt,0.5132890365448504,1.1491900087240784e-16,0.6663160643560764,2.298380017448157e-16,1,29,True,False,False,False
LAP,LAP,acquired_hgt,0.5120405442579934,1.1491900087240784e-16,0.6639123228249358,0.0,1,72,True,False,False,False
VEB,VEB,acquired_hgt,0.5116279069767442,0.0,0.665177211333401,1.1491900087240784e-16,1,49,True,True,False,False
SCO,SCO,acquired_hgt,0.5033222591362126,0.0,0.6594829462200237,1.1491900087240784e-16,1,20,True,False,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.4937892798950422,0.018183126610474273,0.6546153172749605,0.008224603525832038,1,928,True,False,False,False
