gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gatC,0.8204158372041583,0.974330900243309,0.1539150630391507,0.8872886662492173,413,413,0.8847710106701834
pqqF,0.7459190444591904,0.9794625082946251,0.23354346383543467,0.8829054477144647,415,415,0.8630721274888642
comEC,0.7828024773280247,0.9744967927449679,0.19169431541694326,0.8835316217908579,414,414,0.8624980402644951
pulA,0.7523667330236674,0.9800818403008185,0.22771510727715105,0.8741390106449592,408,408,0.8617671741997363
mhpA,0.7124308781243088,0.9777814642778146,0.2653505861535058,0.8847839699436444,412,412,0.8593497828151946
ftsK,0.7684693651846937,0.9761446582614465,0.2076752930767528,0.8854101440200376,412,412,0.8580183154574714
bcsC,0.7395819508958195,0.9769298827692988,0.23734793187347936,0.8910457107075767,416,416,0.8577116744902383
pgaA,0.7876023003760229,0.982415394824154,0.1948130944481311,0.889167188478397,413,413,0.8570580450600832
ynjC,0.7331674408316744,0.9711789427117894,0.238011501880115,0.862867877269881,402,402,0.8530936154122823
aac(6')-Ib,0.8255916832559167,0.8291307232913072,0.003539040035390517,0.4639949906073888,229,229,0.8524399859821273
lpoA,0.7468148639681486,0.9820946693209467,0.23527980535279813,0.8935504070131497,416,416,0.851750620198648
tmcA,0.7243087812430878,0.980225613802256,0.2559168325591682,0.8929242329367564,416,416,0.850072164378003
fimK,0.7650962176509623,0.9729263437292632,0.20783012607830098,0.8547276142767689,392,392,0.8497148008447614
xynB,0.778942711789427,0.976786109267861,0.19784339747843405,0.8835316217908579,411,411,0.8479867752436989
gspL,0.7422804689228047,0.9827582393275824,0.2404777704047777,0.8910457107075767,415,415,0.84725590917894
rbbA,0.7691992921919929,0.9799933642999337,0.21079407210794077,0.8835316217908579,413,413,0.8467751975874502
thiK,0.7909201504092015,0.9781243087812431,0.18720415837204163,0.8935504070131497,416,416,0.8457365377698671
gyrA,0.8301371378013714,0.9767971687679716,0.14666003096660019,0.8935504070131497,416,416,0.8456443149225789
tamB,0.7360650298606504,0.9805352798053528,0.24447024994470246,0.8929242329367564,416,416,0.8453296044562082
hrpB,0.7502101305021014,0.9817297058172971,0.23151957531519574,0.889167188478397,415,415,0.8451393948336761
polB,0.7442269409422694,0.9793740322937403,0.23514709135147094,0.89167188478397,415,415,0.8449411157120065
tadD,0.7518358770183587,0.9744525547445255,0.22261667772616678,0.8634940513462742,395,395,0.8443209170639936
dcp,0.7744746737447467,0.9777040477770406,0.2032293740322939,0.8829054477144647,410,410,0.8431762009720289
entD,0.7111811546118114,0.9767639902676399,0.2655828356558285,0.89167188478397,416,416,0.8427831010854627
hpxE,0.7539371820393718,0.9778920592789206,0.22395487723954888,0.8910457107075767,415,415,0.8424464876928611
cusA,0.7425569564255696,0.9598097765980977,0.21725282017252812,0.8121477770820288,376,376,0.8410101168463475
hrpA,0.7275823932758239,0.9767418712674187,0.24915947799159488,0.8935504070131497,415,415,0.8409052133575572
dsbD,0.7530966600309665,0.969851802698518,0.21675514266755147,0.876017532874139,407,407,0.8406654339546078
hemYx,0.7243198407431984,0.9731696527316966,0.2488498119884982,0.8641202254226675,403,403,0.8403518762738282
ade,0.7847378898473789,0.9804246848042468,0.19568679495686792,0.8929242329367564,416,416,0.8392475076775521
cydC,0.7628732581287325,0.9808891838088918,0.21801592568015926,0.8935504070131497,416,416,0.8385685169643927
hofC,0.7285003317850033,0.9794956867949569,0.2509953550099536,0.8847839699436444,413,413,0.837872234467367
pgtC,0.7127626631276265,0.9741097102410972,0.2613470471134707,0.8647463994990607,397,397,0.8375483017162672
sacC,0.7601415616014155,0.9840300818403008,0.22388852023888528,0.8922980588603632,416,416,0.8366272260289764
rne,0.7641672196416722,0.9793519132935191,0.2151846936518469,0.89167188478397,415,415,0.8361845563619932
nirB,0.7217982747179826,0.971765096217651,0.2499668214996683,0.8672510958046337,397,397,0.8359586103861372
walK,0.7082835655828355,0.9734350807343506,0.26515151515151514,0.876017532874139,410,410,0.8358145121872492
entF,0.7478765759787658,0.9788763547887636,0.23099977880999778,0.8904195366311835,415,415,0.8356254553503085
ccmI,0.756060606060606,0.9691771731917718,0.21311656713116578,0.886662492172824,411,411,0.8343954331246023
paaH,0.728920592789206,0.9819951338199513,0.25307454103074534,0.8929242329367564,416,416,0.8339562218143923
pgaB,0.7487723954877239,0.9831674408316744,0.2343950453439505,0.889167188478397,414,414,0.8338213459002333
parC,0.7924131829241319,0.9823600973236011,0.1899469143994692,0.8929242329367564,416,416,0.8336103861370616
tssM,0.7623202831232029,0.907100199071002,0.14477991594779915,0.6975579211020664,309,309,0.8333118146689661
scsB,0.7174297721742977,0.9794846272948463,0.2620548551205486,0.8778960551033187,405,405,0.8322062932870988
mhpB,0.7129174961291751,0.9756580402565804,0.26274054412740533,0.8910457107075767,413,413,0.8321809320040947
paaZ,0.7723512497235124,0.9804799823047998,0.2081287325812874,0.8922980588603632,415,415,0.8320829452288511
guaD,0.7292634372926344,0.9821720858217209,0.25290864852908645,0.886662492172824,416,416,0.8318662215377237
tssH,0.7766202167662022,0.9746516257465163,0.19803140898031413,0.8490920475892298,398,398,0.8301047651545194
bioA,0.7225503207255032,0.9837204158372042,0.261170095111701,0.8847839699436444,407,407,0.8291444947571313
pcaB,0.7760451227604512,0.9756690997566909,0.19962397699623968,0.8922980588603632,415,415,0.828794047937436
