gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
OmpK36,chromosomal,541,0.830343817367752,0.8154607263280084,0.9758167044386712,True,0.1454728870709192
OmpK35,chromosomal,539,0.7491501298988447,0.7867586092532199,0.9823254657011774,True,0.23317533580233274
ybiB,bakta_nonamr,545,0.7438829787234041,,0.9702887537993922,False,0.22640577507598802
hemYx,bakta_nonamr,534,0.7414577001013172,,0.9712386018237082,False,0.22978090172239107
pgaA,bakta_nonamr,538,0.7335612968591692,,0.9582763424518744,False,0.22471504559270528
ftsK,bakta_nonamr,544,0.7285397669706181,,0.9729229989868288,False,0.2443832320162107
ParC,chromosomal,533,0.7282903100989442,0.7243933447570614,0.9731081753358024,False,0.24481786523685822
cpdB,bakta_nonamr,541,0.7269250253292806,,0.9609169199594731,False,0.23399189463019254
paaH,bakta_nonamr,545,0.723290273556231,,0.9608029381965552,False,0.23751266464032417
lpoA,bakta_nonamr,545,0.7230306484295845,,0.967983789260385,False,0.24495314083080044
cueO,bakta_nonamr,545,0.722992654508612,,0.9611195542046606,False,0.2381268996960485
comEC,bakta_nonamr,540,0.7228026849037488,,0.9649379432624112,False,0.24213525835866245
ncs1,bakta_nonamr,533,0.720997973657548,,0.9604166666666668,False,0.23941869300911878
KPC,acquired,174,0.7203443701287933,0.7259272566469516,0.7482518932065668,True,0.027907523077773555
tadD,bakta_nonamr,518,0.7200924518743668,,0.9598150962512664,False,0.2397226443768996
GyrA,chromosomal,545,0.7200058039909346,0.7712674810679343,0.9693770383063404,False,0.24937123431540575
gatC,bakta_nonamr,540,0.7187689969604864,,0.9601697061803444,False,0.241400709219858
aNKYR,bakta_nonamr,536,0.7176671732522797,,0.9508611955420466,False,0.23319402228976693
bioA,bakta_nonamr,523,0.7152988855116514,,0.9658687943262412,False,0.25056990881458974
paaZ,bakta_nonamr,545,0.7134245187436677,,0.961195542046606,False,0.2477710233029382
OXA,acquired,230,0.6931277983527722,0.6697805538665634,0.7835111381349843,True,0.09038333978221214
PmrB,chromosomal,545,0.688180587032226,0.7501796473384557,0.9746282681996574,False,0.28644768116743147
Cat,acquired,166,0.6378033276214693,0.6192996517605439,0.7244417113481842,False,0.08663838372671495
SHV-OKP-LEN,acquired,510,0.6233969929799348,0.7597562323807419,0.9631308385384998,True,0.339733845558565
Dfr,acquired,198,0.620861201702504,0.6546901774362943,0.7608064783594053,False,0.13994527665690126
AAC(6'),acquired,301,0.6088593775910673,0.7275648112321043,0.8657205240174672,False,0.2568611464263999
Sul,acquired,270,0.5871704162290641,0.6661599690453819,0.8130976728760156,False,0.22592725664695157
TetA,acquired,135,0.5833010889392516,0.5728055386656349,0.7031051351500746,False,0.11980404621082297
QnrB,acquired,122,0.5756038914377315,0.6031244817865237,0.6804073848875131,False,0.10480349344978157
Arr,acquired,75,0.5734273948372118,0.5760806478359405,0.6140276933281743,False,0.04060029849096247
ANT(3''),acquired,194,0.5724807915538113,0.6223260184622188,0.759548946990216,False,0.18706815543640476
MphA,acquired,164,0.5714927311923055,0.5533068929301862,0.7307224586811123,False,0.15922972748880682
NDM,acquired,66,0.5709054225858162,0.5653639931457631,0.5796390470399646,True,0.008733624454148381
StrB,acquired,188,0.5707948703775358,0.6011345420374772,0.7329749599248245,False,0.16218008954728869
StrA,acquired,184,0.5699035431982754,0.6229616936598308,0.7381087280968438,False,0.1682051848985684
Mrx,acquired,159,0.5695235199823117,0.6114642639986734,0.7172627273229781,False,0.14773920734066648
CTX-M,acquired,276,0.5439652313304959,0.626216074291084,0.8303092698026643,True,0.2863440384721684
QnrS,acquired,81,0.5367516997402022,0.5519249903266817,0.6022331546072632,False,0.06548145486706103
TetD,acquired,74,0.530823337571168,0.5471850643966614,0.6058468299154275,False,0.07502349234425953
APH(3'),acquired,118,0.5306298712066773,0.5680103366314742,0.6623597368857442,False,0.13172986567906697
RmtB,acquired,25,0.5303258526339064,0.5299251008788901,0.5303258526339064,False,0.0
AAC(3),acquired,185,0.5202517826543585,0.6281092808578852,0.7306464540379194,False,0.21039467138356094
MsrE,acquired,16,0.5114076059919297,0.5083121441600796,0.5084088773423249,False,-0.0029987286496048204
MphE,acquired,16,0.5113937869658947,0.5114628820960699,0.5052305013542645,False,-0.006163285611630154
FloR,acquired,27,0.504905754242441,0.5250884417666244,0.5356185396053287,False,0.030712785362887685
CmlA,acquired,30,0.5028812669283068,0.509839146536952,0.5285017411972804,False,0.025620474268973625
TEM,acquired,223,0.5016306450721353,0.6450444972638328,0.7699270355425349,True,0.26829639047039966
VEB,acquired,12,0.5015546404289426,0.4959717539107844,0.5110068542369134,True,0.009452213807970788
APH(4),acquired,13,0.4993781438284229,0.5079666685092035,0.5135357360013266,False,0.014157592172903743
ANT(2''),acquired,13,0.4988668398651264,0.492316621524515,0.496628157647449,False,-0.0022386822176774235
LAP,acquired,12,0.4924479022718478,0.4948731413409983,0.5067160466530319,True,0.014268144381184122
ArmA,acquired,23,0.4670485324194351,0.50075313691891,0.5158711514012493,False,0.04882261898181417
