gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
pgaA,0.7335612968591692,0.9582763424518744,0.22471504559270528,0.945,538,538,0.7977156152028818
cueO,0.722992654508612,0.9611195542046606,0.2381268996960485,0.95,545,545,0.7944323173525212
gyrA,0.7290906788247214,0.9654508611955419,0.23636018237082046,0.95,545,545,0.792394853621509
comEC,0.7228026849037488,0.9649379432624113,0.24213525835866256,0.943,540,540,0.7910608735099398
lpoA,0.7230306484295845,0.967983789260385,0.24495314083080044,0.95,545,545,0.7901137251731479
bcsC,0.7065856129685917,0.9699974670719352,0.26341185410334356,0.9475,544,544,0.7874934873024855
entF,0.6674582066869301,0.9614108409321176,0.29395263424518747,0.947,542,542,0.7857917643571294
tadD,0.7200924518743668,0.9598150962512665,0.23972264437689972,0.909,518,518,0.7854234600839015
tssH,0.6879305977710233,0.9588589159067883,0.270928318135765,0.914,527,527,0.7844274665157518
sbcC,0.6912297365754814,0.9456623606889564,0.254432624113475,0.8695,478,478,0.7836386441012928
paaZ,0.7134245187436677,0.961195542046606,0.2477710233029382,0.9495,545,545,0.783495477043864
cpdB,0.7269250253292806,0.9609169199594731,0.23399189463019254,0.95,541,541,0.7829228088141501
hemYx,0.7414577001013172,0.9712386018237082,0.22978090172239107,0.928,534,534,0.7816489027227567
walK,0.6948074974670719,0.9627659574468085,0.26795845997973655,0.942,543,543,0.7810358108532981
dsbD,0.6769060283687943,0.9529825227963525,0.2760764944275582,0.9335,535,535,0.7798932815910744
gatC,0.7187689969604864,0.9601697061803444,0.241400709219858,0.9445,540,540,0.7797894152945086
dcp,0.6808320668693009,0.953007852077001,0.27217578520770014,0.937,540,540,0.7793295963924147
glgX,0.686955420466059,0.9736322188449849,0.2866767983789259,0.9505,545,545,0.7788697774903208
polB,0.7106193009118542,0.9662803951367782,0.255661094224924,0.9465,542,542,0.7788181250617583
gspL,0.7043186423505572,0.9578140830800406,0.2534954407294834,0.9365,539,539,0.7777502672451739
pqqF,0.6802938196555217,0.9607396149949342,0.2804457953394125,0.94,543,543,0.7768098561816728
ydhJ,0.6638867781155015,0.9464095744680852,0.2825227963525837,0.8885,509,509,0.7765661914643238
fiu,0.6891464032421479,0.9681357649442757,0.27898936170212774,0.947,544,544,0.77610637256223
gspJ,0.703945035460993,0.9558004052684903,0.25185536980749734,0.949,544,544,0.7758919026958075
hofC,0.6849734042553192,0.9590425531914893,0.2740691489361702,0.9435,543,543,0.7752063851384734
paaH,0.723290273556231,0.9608029381965553,0.23751266464032428,0.9495,545,545,0.7751406967238886
bioA,0.7152988855116514,0.9658687943262412,0.25056990881458974,0.923,523,523,0.7746230495593823
hrpA,0.6839918946301924,0.9681231003039514,0.28413120567375905,0.948,542,542,0.7727585091761662
ncs1,0.720997973657548,0.9604166666666668,0.23941869300911878,0.93,533,533,0.7726827148516453
dsd1,0.6724987335359676,0.9554078014184397,0.28290906788247216,0.9265,528,528,0.7725681812057024
fadJ,0.7107269503546101,0.9651785714285714,0.25445162107396135,0.95,544,544,0.7721532774588802
rbbA,0.6993477710233029,0.9594731509625126,0.2601253799392097,0.9425,541,541,0.7719657566856208
entD,0.677539260385005,0.9560030395136778,0.2784637791286728,0.949,544,544,0.7716957043145498
treR,0.6880255825734549,0.9630699088145896,0.27504432624113473,0.95,545,545,0.7714980776313543
aNKYR,0.7176671732522797,0.9508611955420466,0.23319402228976693,0.937,536,536,0.7708743184125189
zraR,0.7095618034447821,0.9631585612968593,0.25359675785207714,0.939,541,541,0.7697435793785539
gspK,0.6941616008105369,0.9600810536980751,0.26591945288753815,0.9495,545,545,0.7697065243754547
ftsK,0.7285397669706181,0.9729229989868289,0.24438323201621082,0.949,544,544,0.769521249359959
ybiB,0.7438829787234041,0.9702887537993922,0.22640577507598802,0.9495,545,545,0.7689104032482641
xynB,0.6837702634245187,0.9507345491388046,0.2669642857142859,0.9415,540,540,0.7688194500588388
fimK,0.7115311550151976,0.9570288753799392,0.2454977203647416,0.9095,517,517,0.7676859038276695
hrpB,0.6944402228976696,0.96685663627153,0.27241641337386036,0.9475,543,543,0.7675955120776852
cdsB,0.7022416413373862,0.9623923505572443,0.26015070921985806,0.9185,520,520,0.7669318906585461
eefC,0.692977456940223,0.9616134751773049,0.26863601823708194,0.948,543,543,0.7669302063402232
thiK,0.6766907294832827,0.9745187436676799,0.2978280141843972,0.9505,545,545,0.7666191688899668
tssM,0.6573454913880445,0.9195415400202634,0.2621960486322189,0.778,429,429,0.7663917859164039
bcsO,0.6874430091185408,0.9702697568389058,0.282826747720365,0.9435,539,539,0.766310377197474
carA,0.6907168186423506,0.964684650455927,0.2739678318135764,0.946,543,543,0.7659853037611949
urtB,0.7052811550151976,0.9471757852077001,0.24189463019250246,0.8355,475,475,0.7656883022969609
benC,0.6829407294832827,0.9592325227963525,0.27629179331306986,0.9445,540,540,0.76534301704081
