gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.973247803863907,0.0005574496275590605,0.9857542131680449,0.0002666144088255447,209,4190,False,False,False,False
CTX-M-15,CTX-M-15,acquired_hgt,0.7817436593471107,0.0,0.847740302770594,2.298380017448157e-16,1,1766,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.7556458605998911,0.0,0.8309388821451367,2.298380017448157e-16,1,1664,False,True,False,True
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.7100319389013664,0.0,0.7839371517350286,2.298380017448157e-16,1,2526,True,False,False,False
TEM-105,TEM-105,acquired_hgt,0.6674745646776218,1.1491900087240784e-16,0.7663545176125889,1.1491900087240784e-16,1,1164,True,False,False,False
OXA-1,OXA-1,acquired_hgt,0.6620454900440034,1.1491900087240784e-16,0.7653371841425918,1.1491900087240784e-16,1,978,True,False,False,False
SHV-28,SHV-28,acquired_hgt,0.6275724819165495,0.0,0.7427474844225783,1.1491900087240784e-16,1,917,True,False,False,False
OXA-9.v1,OXA-9.v1,acquired_hgt,0.6113902847571191,2.298380017448157e-16,0.7337937853732688,1.1491900087240784e-16,1,685,True,False,False,False
KPC-2,KPC-2,acquired_hgt,0.6080402010050251,0.0,0.7314989042126931,2.298380017448157e-16,1,689,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5817485067351764,0.0,0.7063090878921129,1.1491900087240784e-16,1,788,False,True,False,True
SHV-12,SHV-12,acquired_hgt,0.5619765494137353,0.0,0.6999442882547837,2.298380017448157e-16,1,359,True,True,False,False
SHV-11,SHV-11,acquired_hgt,0.5563832021845563,1.1491900087240784e-16,0.6941570900282932,2.298380017448157e-16,1,362,True,False,False,False
SHV-79,SHV-79,acquired_hgt,0.5404918483090694,1.1491900087240784e-16,0.67626038707007,2.298380017448157e-16,1,203,True,False,False,False
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5386471478507221,1.1491900087240784e-16,0.676691265469419,1.1491900087240784e-16,1,3393,True,False,False,False
NDM-1,NDM-1,acquired_hgt,0.5360134003350083,0.0,0.6821589592603252,1.1491900087240784e-16,1,239,True,True,False,False
TEM-122,TEM-122,acquired_hgt,0.535175879396985,0.0,0.6815852389701811,1.1491900087240784e-16,1,203,True,False,False,False
KPC-3,KPC-3,acquired_hgt,0.5309882747068677,0.0,0.6787166375194624,2.298380017448157e-16,1,182,True,True,False,False
TEM-150,TEM-150,acquired_hgt,0.529380557665067,1.1491900087240784e-16,0.6770856756927851,1.1491900087240784e-16,1,225,True,False,False,False
OXA-48,OXA-48,acquired_hgt,0.5201678273468089,2.298380017448157e-16,0.6707927110398351,1.1491900087240784e-16,1,115,True,True,False,False
TEM-168,TEM-168,acquired_hgt,0.5125628140703516,1.1491900087240784e-16,0.6660947911362983,1.1491900087240784e-16,1,59,True,True,False,False
NDM-4,NDM-4,acquired_hgt,0.5125628140703516,1.1491900087240784e-16,0.6660947911362983,1.1491900087240784e-16,1,81,True,True,False,False
SHV-13,SHV-13,acquired_hgt,0.5095789774165577,1.1491900087240784e-16,0.661831898085604,0.0,1,55,True,True,False,False
OXA-181,OXA-181,acquired_hgt,0.509212730318258,0.0,0.6637999099757229,0.0,1,85,True,True,False,False
SHV-1,SHV-1,acquired_hgt,0.508367130400125,1.1491900087240784e-16,0.6612807060264613,1.1491900087240784e-16,1,355,True,False,False,False
VEB-5,VEB-5,acquired_hgt,0.507537688442211,0.0,0.6626524693954353,1.1491900087240784e-16,1,41,True,True,False,False
SHV-5,SHV-5,acquired_hgt,0.5058626465661644,2.298380017448157e-16,0.6615050288151476,0.0,1,27,True,True,False,False
OXA-245,OXA-245,acquired_hgt,0.5041876046901174,1.1491900087240784e-16,0.6603575882348599,1.1491900087240784e-16,1,23,True,True,False,False
CTX-M-55,CTX-M-55,acquired_hgt,0.5041876046901174,1.1491900087240784e-16,0.6603575882348599,1.1491900087240784e-16,1,39,True,True,False,False
CTX-M-27,CTX-M-27,acquired_hgt,0.5033500837520937,1.1491900087240784e-16,0.6597838679447162,0.0,1,21,True,True,False,False
OXA-232,OXA-232,acquired_hgt,0.5025125628140703,0.0,0.6592101476545726,2.298380017448157e-16,1,19,True,True,False,False
NDM-5,NDM-5,acquired_hgt,0.5025125628140703,0.0,0.6592101476545726,2.298380017448157e-16,1,21,True,True,False,False
CTX-M-14,CTX-M-14,acquired_hgt,0.5006245949289139,0.0012252885056788724,0.6577810062474395,0.000534449645349715,1,76,True,True,False,False
CTX-M-3,CTX-M-3,acquired_hgt,0.5002657086791585,0.004116341157295585,0.6581304734267414,0.0012820037305239732,1,17,True,True,False,False
