gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gatC,0.8544080077522795,0.8789091749988989,0.9892029687706471,0.13479496101836752,0.906,840,840,0.8911837297650447
comEC,0.8405827423688499,0.8920930053296922,0.9879008280843942,0.14731808571554428,0.905,842,842,0.8807371694049896
pqqF,0.8069665903184602,0.8387547901158436,0.9904748271153593,0.1835082367968991,0.9025,839,839,0.8773205168533889
fadJ,0.7890642205875875,0.8735519534863233,0.9900068272915473,0.2009426067039598,0.9095,846,846,0.8743037239577032
entF,0.8317430515790865,0.8540721490551908,0.9910914857067349,0.15934843412764843,0.9065,843,843,0.8739782708640841
xynB,0.8300857816147645,0.8461023873496896,0.9889414394573404,0.15885565784257583,0.8985,837,837,0.8739782708640841
hrpB,0.8322468396247191,0.8792890807382285,0.9864940756728185,0.15424723604809942,0.907,845,845,0.8735808309337721
paaH,0.8316797339558647,0.8801177157203893,0.989117627626305,0.15743789367044025,0.909,846,846,0.8734247586323711
dsbD,0.8217526318107738,0.8344271682156543,0.9887184513059948,0.16696581949522094,0.8865,828,828,0.8729081472161058
pgaA,0.8197319737479628,0.8535931374708189,0.9893516275382108,0.16961965379024802,0.901,836,836,0.8722148958308127
bcsC,0.8324065101528432,0.8673523322908867,0.9889662159186011,0.15655970576575795,0.906,846,846,0.8714853485614731
gyrA,0.8471787869444567,0.8911570056820683,0.9912043562524777,0.14402556930802102,0.9095,847,847,0.8714702252764536
cpdB,0.8283734528476413,0.866895344227635,0.9902325683830332,0.1618591155353919,0.909,845,845,0.8694322113872287
polB,0.8288166762101924,0.8780172223935163,0.9874851341232437,0.1586684579130513,0.9055,843,843,0.869299731410458
pbpC,0.8057938378187905,0.8699125666211514,0.9916420737347487,0.18584823591595812,0.909,845,845,0.8691394245892516
pgtC,0.8086899308461436,0.8638340747918778,0.9839008060608729,0.17521087521472933,0.87,808,808,0.8690686476153605
lpoA,0.8097498128000704,0.8889051006474915,0.9904225212526978,0.1806727084526274,0.9095,847,847,0.8686082948193675
ftsK,0.8191979033607893,0.846281328458794,0.988487204334229,0.16928930097343964,0.9005,840,840,0.8678751179616233
mhpA,0.8138957406510152,0.8738300004404704,0.9887542395278157,0.1748584988768005,0.902,840,840,0.867130447407264
gspL,0.8227932431837202,0.8842498788706338,0.9865986873981412,0.163805444214421,0.8955,840,840,0.8666586009146563
dcp,0.8104297890146677,0.8692821433290754,0.9901417213584108,0.17971193234374316,0.892,835,835,0.8662345440027102
walK,0.8040842619918073,0.852219420340924,0.9874548517817029,0.18337058978989562,0.8885,838,838,0.8653688871681952
tamB,0.8256095009470115,0.8770454345240717,0.9908134387525878,0.1652039378055763,0.909,847,847,0.8652727030754712
parC,0.8142839052107651,0.8981494736378451,0.9916833678368497,0.17739946262608464,0.908,846,846,0.8637888063493598
fimK,0.8055075320442232,0.8622428753909176,0.981291018808087,0.1757834867638638,0.8735,800,800,0.863032642098386
ccmI,0.8004173457252346,0.8053643791569396,0.9887707571686561,0.18835341144342155,0.902,840,840,0.8628638662375687
hofC,0.8238999251200283,0.8848527727613091,0.9873447341761001,0.16344480905607184,0.895,837,837,0.8625505117719652
paaZ,0.8125963529049024,0.848940668634101,0.9889166629960798,0.17632031009117743,0.9085,846,846,0.8624573523362451
rne,0.8190960445756068,0.8825347971633706,0.9884954631546492,0.1693994185790424,0.9065,844,844,0.8623551189295136
thiK,0.8369461084438181,0.8977970972999163,0.9865794168171607,0.14963330837334254,0.9095,847,847,0.862235342512159
benC,0.7985040523278862,0.8808995507201691,0.9897067568162798,0.1912027044883936,0.9015,839,839,0.8613055629491615
sbcB,0.8185509624278731,0.8135819054750473,0.9884321455314277,0.1698811831035546,0.9095,845,845,0.8600049604374864
uraD,0.8099783068316964,0.869507884420561,0.9909235563581905,0.18094524952649416,0.9075,847,847,0.8593395358966291
tmcA,0.8078640488041228,0.8660694621856143,0.9902435801435933,0.1823795313394705,0.9085,846,846,0.8585870012340602
rbbA,0.8065866845791305,0.8296232876712328,0.9896021450909571,0.1830154605118266,0.9035,840,840,0.8585192489171728
zraR,0.8123926353345372,0.865664779985024,0.9883633220279259,0.17597068669338867,0.9075,845,845,0.8584448423548771
paaD,0.810561930141391,0.87065310751883,0.9900646390344888,0.17950270889309783,0.9095,847,847,0.8579578725772498
tssM,0.8044228736290358,0.8268070299079416,0.9439501387481831,0.13952726511914737,0.694,650,650,0.8572688557117623
ncs1,0.8235090076201382,0.8766242346826411,0.9867032991234638,0.16319429150332554,0.8825,820,820,0.8568581072906332
entD,0.8002549222569704,0.8737914592785094,0.9898829449852442,0.18962802272827384,0.9075,846,846,0.8563747671014107
ppro0129,0.7913959608862264,0.8905788882526537,0.990345438928776,0.1989494780425496,0.9075,847,847,0.8549918939192296
ade,0.8034455798793112,0.8977640620182353,0.9916393207946086,0.1881937409152974,0.908,844,844,0.8546271202845597
yfaS,0.8123210588908955,0.8742099061798,0.9907693917103466,0.17844833281945116,0.904,842,842,0.854519442495221
hypF,0.7930945249526494,0.8678891556182002,0.9873447341761,0.1942502092234506,0.9075,846,846,0.8540663488760376
cusA,0.7968440294234242,0.8825650795049113,0.9790501255340704,0.1822060961106462,0.8385,782,782,0.8537493648220292
dsd1,0.8165468220059022,0.8741603532572788,0.9845697705149099,0.16802294850900767,0.8775,821,821,0.8535146514385268
hrpA,0.8139452935735366,0.8726104479584197,0.9887129454257148,0.17476765185217813,0.908,844,844,0.852947225784596
guaD,0.8094497423248028,0.8727012949830418,0.9911933444919174,0.1817436021671146,0.905,842,842,0.8517682144844774
aNKYR,0.8167340219354271,0.7820221997092895,0.9909868739814122,0.17425285204598506,0.896,831,831,0.8512806397754493
yegD,0.8070161432409815,0.8471209752015152,0.9914356032242436,0.18441945998326215,0.9075,847,847,0.8506055363321798
