gene_name,site,category,mut_auroc,mut_auroc_sd,mut_auprc,mut_auprc_sd,n_determinants,n_genomes_with_determinant,embeddable,is_causal,is_rrna,is_noncoding
__ALL_CARD__,__ALL_CARD__,all,0.9615799943165672,0.0006458446932791314,0.9945751028147853,5.9868769009167404e-05,21,2250,False,False,False,False
OmpK35 (WT),OmpK35 (WT),chromosomal_coding,0.8149509803921566,2.298380017448157e-16,0.9625010797270446,4.596760034896314e-16,1,1046,True,False,False,False
CTX-M,CTX-M,acquired_hgt,0.813885336743393,0.0,0.9620460113096939,3.447570026172235e-16,1,1353,True,True,False,False
OmpK35 (mut),OmpK35 (mut),porin_truncation,0.806372549019608,1.1491900087240784e-16,0.9607627191845901,1.1491900087240784e-16,1,1203,False,True,False,True
OXA,OXA,acquired_hgt,0.7428069053708442,2.298380017448157e-16,0.9476450218769306,4.596760034896314e-16,1,1036,True,True,False,False
TEM,TEM,acquired_hgt,0.7285805626598466,0.0,0.944178876181871,0.0,1,1111,True,True,False,False
KPC,KPC,acquired_hgt,0.6556372549019608,0.0,0.9302172410814544,2.298380017448157e-16,1,598,True,True,False,False
NDM,NDM,acquired_hgt,0.5698529411764708,2.298380017448157e-16,0.9128336356569059,1.1491900087240784e-16,1,249,True,True,False,False
OmpK36 (mut),OmpK36 (mut),porin_truncation,0.5610080988917306,1.1491900087240784e-16,0.9103607635512676,2.298380017448157e-16,1,566,False,True,False,True
OmpK36 (WT),OmpK36 (WT),chromosomal_coding,0.5587169650468883,0.0,0.9098651245580506,3.447570026172235e-16,1,1680,True,False,False,False
SHV-OKP-LEN (mut),SHV-OKP-LEN (mut),chromosomal_coding,0.5531756180733164,1.1491900087240784e-16,0.9085201980939215,4.596760034896314e-16,1,831,True,True,False,False
SHV-OKP-LEN (WT),SHV-OKP-LEN (WT),chromosomal_coding,0.5530157715260017,0.0,0.9084955530138534,2.298380017448157e-16,1,1402,True,False,False,False
LAP,LAP,acquired_hgt,0.5134803921568628,1.1491900087240784e-16,0.9014101235207741,1.1491900087240784e-16,1,76,True,True,False,False
VEB,VEB,acquired_hgt,0.5098039215686274,0.0,0.9006651118597218,1.1491900087240784e-16,1,43,True,True,False,False
DHA,DHA,acquired_hgt,0.5024509803921566,2.298380017448157e-16,0.8991750885376176,0.0,1,21,True,True,False,False
CMY,CMY,acquired_hgt,0.5024509803921566,2.298380017448157e-16,0.8991750885376176,0.0,1,15,True,True,False,False
FOX,FOX,acquired_hgt,0.5012254901960783,1.1491900087240784e-16,0.8989267513172672,2.298380017448157e-16,1,10,True,True,False,False
CARB,CARB,acquired_hgt,0.5010620915032679,0.0006328404160469612,0.8988953208522926,0.0001217296674097026,1,13,True,True,False,False
