gene,source,n_carriers,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
GyrA,chromosomal,460,0.8764618000103034,0.914378445211478,0.9954149708927926,False,0.11895317088248925
ParC,chromosomal,452,0.8382102931327599,0.8891607851218382,0.9973983823605173,False,0.1591880892277574
msyB,bakta_nonamr,460,0.8370674186106126,,0.9960010253781082,False,0.15893360676749557
gatC,bakta_nonamr,456,0.8296590617790309,,0.995642143040246,False,0.16598308126121508
xynB,bakta_nonamr,454,0.8206100999743655,,0.9940528069725711,False,0.17344270699820563
aNKYR,bakta_nonamr,451,0.818046654703922,,0.9946167649320689,False,0.17657011022814684
tadD,bakta_nonamr,443,0.8104075877980006,,0.9932581389387336,False,0.182850551140733
hAMP,bakta_nonamr,454,0.8074596257369906,,0.9958984875672904,False,0.1884388618302998
creD,bakta_nonamr,460,0.8073827223788772,,0.9962061009997436,False,0.1888233786208664
paaZ,bakta_nonamr,460,0.8069982055883106,,0.9981030504998718,False,0.1911048449115612
OmpK35,chromosomal,458,0.8021482664468601,0.9038174231106072,0.9972180722270876,True,0.19506980578022748
tssH,bakta_nonamr,441,0.7969238656754678,,0.969802614714176,False,0.17287874903870815
ggt,bakta_nonamr,460,0.7957959497564728,,0.9958472186618816,False,0.2000512689054088
tamB,bakta_nonamr,460,0.7949500128172264,,0.9963086388105614,False,0.20135862599333498
CTX-M,acquired,260,0.7855854927618361,0.7861006645716346,0.7966616866725053,True,0.011076193910669163
lpoA,bakta_nonamr,460,0.7806459882081518,,0.996103563188926,False,0.21545757498077422
bcsC,bakta_nonamr,458,0.7801076647013587,,0.9953857985132016,False,0.2152781338118429
ftsK,bakta_nonamr,459,0.778774673160728,,0.9750320430658806,False,0.19625736990515263
polB,bakta_nonamr,457,0.774237375032043,,0.9961548320943348,False,0.2219174570622917
AAC(6'),acquired,262,0.7569934573180155,0.7696409252485703,0.8014785430941217,False,0.044485085776106215
OmpK36,chromosomal,458,0.7446293338828499,0.875895111019525,0.9950543506259336,True,0.2504250167430837
SHV-OKP-LEN,acquired,436,0.7246406676626654,0.7941373448044923,0.9962392457884705,True,0.271598578125805
OXA,acquired,190,0.6968471485240328,0.6980578022770596,0.7016640049456494,True,0.0048168564216165555
Sul,acquired,242,0.6964607696666838,0.6925197053217249,0.7757199526041935,False,0.07925918293750966
Dfr,acquired,180,0.6433723146669414,0.6555561279686776,0.6857967132038535,False,0.042424398536912045
Cat,acquired,146,0.6426253155427335,0.6486785843078666,0.6495543763845243,False,0.006929060841790791
AAC(3),acquired,163,0.6396373190459018,0.6407191798464789,0.6842511977744579,False,0.044613878728556045
KPC,acquired,126,0.6368038740920097,0.6368038740920097,0.6368038740920097,True,0.0
TEM,acquired,182,0.6327340167946011,0.6470042759260215,0.724486116119726,True,0.09175209932512496
MphA,acquired,139,0.6297717788882593,0.6275050229251455,0.6357992890629025,False,0.0060275101746432025
StrB,acquired,160,0.6257276801813405,0.6396373190459018,0.6997063520684148,False,0.0739786718870743
StrA,acquired,157,0.6248776466951729,0.649322549070115,0.6971820102004018,False,0.07230436350522895
Mrx,acquired,134,0.6234609242182267,0.6212456854360929,0.6296429859358095,False,0.006182061717582732
ANT(3''),acquired,176,0.6155787955283087,0.6222245118747102,0.7009427644119314,False,0.08536396888362263
PmrB,chromosomal,460,0.5909793416104271,0.8612127144402659,0.9974756581319868,False,0.4064963165215597
QnrB,acquired,112,0.5856730719695019,0.5852866931121529,0.5950749574983257,False,0.009401885528823817
APH(3'),acquired,95,0.5770181855648859,0.5822729380248313,0.6008191231775797,False,0.02380093761269375
NDM,acquired,60,0.552521766008964,0.552521766008964,0.552521766008964,True,0.0
TetA,acquired,117,0.5458502910720726,0.5657616815207871,0.6388130441502241,False,0.0929627530781515
Arr,acquired,62,0.5313224460357528,0.5317088248931018,0.5353150275616918,False,0.003992581525938954
ArmA,acquired,29,0.5189583226005873,0.5189583226005873,0.5189583226005873,False,0.0
QnrS,acquired,65,0.5077275771469786,0.505409304002885,0.5523414558755345,False,0.044613878728555934
MphE,acquired,20,0.5063108546700325,0.5063108546700325,0.5063108546700325,False,0.0
MsrE,acquired,20,0.5063108546700325,0.5063108546700325,0.5063108546700325,False,0.0
RmtB,acquired,22,0.5059244758126836,0.5059244758126836,0.5059244758126836,False,0.0
FloR,acquired,29,0.5044819947452476,0.4955695224357324,0.5056668899077843,False,0.0011848951625367254
LAP,acquired,13,0.5009530678481274,0.5009530678481274,0.5009530678481274,True,0.0
VEB,acquired,13,0.5005924475812683,0.5005924475812683,0.5005924475812683,True,0.0
ANT(2''),acquired,12,0.4973211065890474,0.4973211065890474,0.4973211065890474,False,0.0
APH(4),acquired,10,0.4958013497501417,0.4958013497501416,0.4958013497501416,False,-5.551115123125783e-17
CmlA,acquired,22,0.4934058008345783,0.4934058008345783,0.4938179382824171,False,0.0004121374478388007
TetD,acquired,78,0.4673123486682808,0.4695533460409046,0.5977796094997682,False,0.13046726083148735
