gene_name,esm_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
entF,0.7406306075365291,0.9960010253781082,0.2553704178415791,0.9822784810126582,457,457,0.8874066930961821
hofC,0.7384773135093566,0.9957446808510638,0.2572673673417072,0.981012658227848,460,460,0.8836327487886472
gatC,0.8296590617790309,0.9956421430402461,0.1659830812612152,0.980379746835443,456,456,0.8819322912326234
gyrA,0.8516021532940271,0.9954883363240195,0.14388618302999234,0.9867088607594936,460,460,0.8813429844716675
creD,0.8073827223788772,0.9962061009997437,0.1888233786208665,0.9873417721518988,460,460,0.8753844383331151
lpoA,0.7806459882081518,0.9961035631889259,0.2154575749807741,0.9867088607594936,460,460,0.8752673706600632
ftsK,0.778774673160728,0.9750320430658806,0.19625736990515263,0.9860759493670886,459,459,0.8743705132326154
parC,0.8421686746987953,0.996872596770059,0.1547039220712637,0.9873417721518988,460,460,0.8740451047854882
polB,0.774237375032043,0.9961548320943348,0.2219174570622917,0.980379746835443,457,457,0.8700687722974234
pqqF,0.6989233529864137,0.9938990002563445,0.29497564726993075,0.9835443037974684,457,457,0.8697513006416895
bioA,0.7458087669828249,0.9920789541143297,0.24627018713150473,0.9556962025316456,444,444,0.8688842061819668
ccmI,0.6971545757498078,0.9940015380671624,0.29684696231735463,0.9835443037974684,455,455,0.8670150918088344
thiK,0.6949243783645218,0.9963086388105613,0.3013842604460395,0.9873417721518988,460,460,0.8662055390867134
aNKYR,0.818046654703922,0.9946167649320687,0.17657011022814673,0.9740506329113924,451,451,0.8659952141147899
sbcC,0.7409382209689823,0.9819277108433735,0.24098948987439117,0.8886075949367088,389,389,0.8658463992761647
msyB,0.8370674186106126,0.9960010253781082,0.15893360676749557,0.9854430379746836,460,460,0.865642026897786
cpdB,0.754421943091515,0.9963599077159703,0.24193796462445527,0.9873417721518988,459,459,0.862818513359604
tssH,0.7969238656754678,0.969802614714176,0.17287874903870815,0.9455696202531646,441,441,0.8627391454456708
menC,0.6825173032555755,0.9955908741348373,0.3130735708792618,0.9873417721518988,460,460,0.8625069942974155
pgaA,0.7669315560112792,0.9958984875672905,0.22896693155601133,0.979746835443038,455,455,0.8624296105813303
paaZ,0.8069982055883106,0.9981030504998718,0.1911048449115612,0.9860759493670886,460,460,0.8623204796996717
comEC,0.7147398103050498,0.9891309920533197,0.2743911817482698,0.9860759493670886,456,456,0.8621974594330749
tadD,0.8104075877980006,0.9932581389387336,0.182850551140733,0.9417721518987342,443,443,0.861411717085134
yfaS,0.7566521404768008,0.9969238656754679,0.24027172519866702,0.981012658227848,460,460,0.8609632883714101
paaD,0.7032555754934632,0.9972314791079211,0.2939759036144579,0.9873417721518988,460,460,0.86091566762305
glgX,0.7540630607536529,0.9967187900538323,0.24265572930017942,0.9873417721518988,460,460,0.8602172299804358
dsbD,0.7570622917200718,0.9923865675467828,0.235324275826711,0.9689873417721518,453,453,0.8602152457825876
entD,0.7342476288131248,0.9963599077159702,0.2621122789028454,0.9848101265822784,459,459,0.8595287133270632
bcsC,0.7801076647013587,0.9953857985132016,0.2152781338118429,0.9841772151898734,458,458,0.859137826350941
pgtC,0.7026659830812613,0.9914637272494232,0.28879774416816195,0.9544303797468354,445,445,0.8589652011381359
zraR,0.7549089976928992,0.9963086388105615,0.24139964111766232,0.9873417721518988,459,459,0.8588640070478707
tssM,0.7614457831325301,0.9557549346321456,0.19430915149961547,0.7917721518987342,357,357,0.8582846212761568
uraD,0.7520123045372982,0.9942578825942066,0.24224557805690838,0.9841772151898734,460,460,0.8581000908762615
hrpA,0.7240451166367599,0.9947705716482953,0.27072545501153544,0.9835443037974684,457,457,0.8573738744637704
pbpC,0.6199436042040503,0.9958984875672904,0.3759548833632401,0.9841772151898734,459,459,0.8570941025671552
tamB,0.7949500128172264,0.9963086388105614,0.20135862599333498,0.9867088607594936,460,460,0.8543539253386034
gspL,0.7505767751858498,0.9953601640604974,0.24478338887464768,0.9746835443037974,455,455,0.8540106591108413
xynB,0.8206100999743655,0.9940528069725711,0.17344270699820563,0.9835443037974684,454,454,0.852018524471112
fimK,0.6815431940528069,0.9942322481415022,0.3126890540886953,0.9569620253164556,442,442,0.8517923259164017
tynA,0.7311971289412972,0.9964111766213792,0.26521404768008205,0.9867088607594936,460,460,0.8498517804207293
paaH,0.7165085875416559,0.996462445526788,0.27995385798513206,0.9867088607594936,460,460,0.8488854760685898
cueO,0.770699820558831,0.9974878236349654,0.22678800307613434,0.9873417721518988,459,459,0.8486295145461545
hAMP,0.8074596257369906,0.9958984875672905,0.1884388618302999,0.9784810126582278,454,454,0.8485660202150076
dgcQ,0.7246603435016662,0.9970264034862856,0.2723660599846194,0.981012658227848,458,458,0.8482922009119374
ybbP,0.6362727505767752,0.9963086388105614,0.3600358882337862,0.9873417721518988,459,459,0.8482168013937006
agp,0.6719046398359394,0.9962573699051526,0.32435273006921317,0.9867088607594936,460,460,0.8468238945041688
ynjC,0.7589592412202,0.996872596770059,0.23791335554985904,0.9658227848101266,448,448,0.8454627347802105
sbcB,0.6582671109971803,0.995693411945655,0.3374263009484747,0.9873417721518988,459,459,0.844946843339643
atsA,0.7462701871315047,0.9884132273775955,0.2421430402460908,0.940506329113924,429,429,0.8447702497311412
ggt,0.7957959497564728,0.9958472186618816,0.2000512689054088,0.9867088607594936,460,460,0.8445321459893408
