gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
gatC,0.8846640260382228,0.858176425650474,0.976780016819562,0.09211599078133914,0.9185,766,766,0.9239952524207954
gyrA,0.8980009115945844,0.9030692490900104,0.9744175745164376,0.07641666292185323,0.9225,772,772,0.9128343282880512
comEC,0.8741871079982796,0.8818168978821475,0.9736632620962824,0.09947615409800281,0.912,760,760,0.910953511328382
benC,0.8616815710241316,0.8476834584101022,0.970183795443311,0.10850222441917945,0.9165,764,764,0.9105527874400676
bcsC,0.8788510056428989,0.8626220541692613,0.9715640266801908,0.09271302103729195,0.9185,770,770,0.9098858935790166
entF,0.873477733339325,0.8425733929935612,0.9757945959132316,0.1023168625739066,0.919,767,767,0.9063175707436308
mhpA,0.8578008743604394,0.8737890878276444,0.9764397737704708,0.11863889941003136,0.918,766,766,0.9037058146093824
fadJ,0.8560611410339537,0.8712340551193739,0.9747257191646712,0.11866457813071751,0.9225,771,771,0.903630605433863
xynB,0.8624134145636864,0.8668429938820448,0.967843822020787,0.10543040745710064,0.915,761,761,0.903424955344552
thiK,0.859900109776531,0.8553646057353423,0.9783143203805587,0.11841421060402768,0.9235,772,772,0.9023831907492714
paaH,0.8713367700021186,0.8766651045444916,0.9671312375217467,0.09579446751962806,0.923,772,772,0.9016675284384696
pgaA,0.857807294040611,0.8268291273728744,0.9701934249635683,0.11238613092295735,0.9175,762,762,0.901191007802952
dsbD,0.8502673796791442,0.8381919612764893,0.9686976394836009,0.11843025980445665,0.8925,753,753,0.9000652204568957
pqqF,0.8678669328694046,0.8515127976324219,0.9733775863286491,0.10551065345924449,0.914,765,765,0.8992226426624049
ccmI,0.8681686578374666,0.8155657985119181,0.965086569387113,0.09691791154964646,0.914,765,765,0.899203840368525
lpoA,0.8848983443644838,0.8777949682546815,0.9779676576512959,0.09306931328681212,0.923,772,772,0.8984170818839898
polB,0.8666696625174134,0.8558813899891509,0.9710889703474973,0.10441930783008391,0.92,768,768,0.89807041459058
pgtC,0.8467012473438574,0.8419153757759787,0.9648907691418814,0.118189521798024,0.8655,720,720,0.8970803563034688
fimK,0.8633571075489019,0.8441847327166161,0.9643354668070437,0.1009783592581418,0.8765,727,727,0.8969751809720785
hofC,0.8590880202348319,0.8593191287210071,0.9688260330870316,0.10973801285219975,0.9115,767,767,0.8965074739118173
entD,0.8426183307547619,0.8770984329560702,0.9719106894094536,0.12929235865469169,0.9215,771,771,0.8960174391275736
gspL,0.8685987764089593,0.8683066809611545,0.9736343735355105,0.1050355971265512,0.898,762,762,0.8958117890382626
parC,0.8826033087031604,0.91271481854774,0.9779901265318961,0.0953868178287357,0.9225,771,771,0.8955397433486886
hypF,0.8407502038248456,0.8586193835823099,0.9702833004859698,0.12953309666112423,0.921,770,770,0.8954927376139888
hrpB,0.8709515891918264,0.8776890435318512,0.9776242047621188,0.1066726155702924,0.9185,770,770,0.8948464087618688
ftsK,0.8562023739977274,0.8135564386182281,0.9792612232058598,0.12305884920813248,0.918,770,770,0.8935619770612014
paaZ,0.8436198008615212,0.8593094992007497,0.9742731317125781,0.1306533308510569,0.922,771,771,0.893503219892827
tssH,0.8613252787746115,0.8351297738346675,0.9628364714869906,0.10151119271237907,0.8705,728,728,0.8934374118642474
sbcB,0.8718535542559269,0.8363655622676878,0.9731753664032458,0.10132181214731883,0.9235,770,770,0.8932435132086114
ubiF,0.8468521098278883,0.8363944508284598,0.9716763710831926,0.12482426125530433,0.9235,772,772,0.893080755852214
dcp,0.8518658800418564,0.8883232437359971,0.9728190741537256,0.12095319411186922,0.906,759,759,0.8927235122684967
cpdB,0.8589339479107152,0.8603013397872519,0.9730052448787001,0.1140712969679849,0.9225,770,770,0.8917986744382815
creD,0.8476545698493302,0.8482002426639105,0.9735123996122513,0.12585782976292115,0.9225,770,770,0.8914302669925731
tssM,0.8642654922931741,0.8460207612456749,0.9292454949894396,0.06498000269626558,0.727,625,625,0.8904090674062235
scsB,0.8417324148910901,0.8470318608726914,0.9628107927663044,0.12107837787521436,0.892,751,751,0.8901569991538968
selO,0.8494264015766735,0.8764981928600317,0.9748027553267297,0.12537635375005618,0.9235,772,772,0.8900935414120522
agp,0.8410776075135937,0.874883643296891,0.9683477669142524,0.12727015940065867,0.921,770,770,0.8899813152204569
zraR,0.85479004435999,0.8585423474202514,0.9750274441327333,0.12023739977274339,0.9215,771,771,0.8892656529096548
hpxE,0.8711730681577445,0.8420919169806961,0.9678791302617303,0.0967060621039858,0.9185,771,771,0.8880687693898656
hrpA,0.8515095877923362,0.8816146779567442,0.9735573373734521,0.12204774958111586,0.921,769,769,0.8852848547522798
tmcA,0.8638193245212524,0.8628820512162084,0.9731207991217878,0.10930147460053541,0.9225,769,769,0.8850803798063365
aNKYR,0.8559134883900084,0.7675690597094452,0.9694744207843565,0.11356093239434817,0.9055,758,758,0.8850086960609194
rbbA,0.8656264644895392,0.8247138427563538,0.9735412881730231,0.10791482368348393,0.9165,768,768,0.8848124471185485
tadD,0.8382689974385475,0.8377490033446534,0.9614241418492531,0.12315514441070552,0.856,718,718,0.8840392027827394
bcsO,0.8572872999467167,0.856924588017025,0.9745844862008975,0.11729718625418084,0.9125,762,762,0.8837747955250539
ecpC,0.8574831001919485,0.8465889029408555,0.9655134781185202,0.10803037792657166,0.894,746,746,0.8830491444956284
walK,0.86263810336969,0.8416264901682599,0.9672596311251773,0.10462152775548728,0.9005,763,763,0.8830209410548087
paaD,0.8607089894781443,0.8787964383614407,0.9713618067547876,0.11065281727664322,0.9235,772,772,0.8824985898279589
oxlT,0.8452118815440615,0.8490027026853522,0.9639213974359797,0.11870951589191825,0.903,750,750,0.8822829510200244
nirB,0.8500779991140841,0.853178704636935,0.9720583420533989,0.12198034293931481,0.889,742,742,0.8816336843094857
