gene,source,n_carriers,esm_lr_auroc,ft_lr_auroc,is_causal,delta_ft_minus_esm
hpxW,bakta_nonamr,273,0.7192932368988707,0.911305671869052,False,0.19201243497018128
gndA,bakta_nonamr,274,0.7065727699530516,0.8983631518842787,False,0.1917903819312271
OmpK36,chromosomal,262,0.6988850174216028,0.9194773519163764,False,0.22059233449477356
OmpK35,chromosomal,269,0.6887456445993032,0.9142160278745644,False,0.22547038327526114
pat,bakta_nonamr,275,0.6835426976272045,0.9240895825402868,False,0.2405468849130823
selO,bakta_nonamr,275,0.6732648141098846,0.9235820327369624,False,0.2503172186270778
traR,bakta_nonamr,128,0.6731062047963456,0.7689062301738359,False,0.09580002537749022
traX,bakta_nonamr,163,0.6714566679355412,0.7516812587235123,False,0.08022459078797117
tadD,bakta_nonamr,266,0.6671742164699911,0.9126697119654869,False,0.24549549549549576
pgtC,bakta_nonamr,267,0.66704732901916,0.9147633549042,False,0.24771602588504005
flhA,bakta_nonamr,273,0.6640337520619211,0.8997271919807132,False,0.2356934399187921
oxlT,bakta_nonamr,272,0.6639068646110899,0.9061350082476844,False,0.2422281436365945
mhpA,bakta_nonamr,274,0.6629234868671489,0.9114960030452988,False,0.2485725161781499
dgcQ,bakta_nonamr,273,0.6620035528486232,0.9270079939094024,False,0.26500444106077914
benC,bakta_nonamr,273,0.6608932876538511,0.8972846085522143,False,0.23639132089836312
nirB,bakta_nonamr,273,0.6592754726557544,0.9078479888339044,False,0.24857251617815002
fadJ,bakta_nonamr,275,0.658323816774521,0.9231379266590536,False,0.2648141098845326
GyrA,chromosomal,275,0.6530313588850174,0.9361672473867596,False,0.2831358885017422
OXA,acquired,141,0.6489895470383275,0.7398954703832754,False,0.09090592334494796
PmrB,chromosomal,275,0.6176306620209059,0.917212543554007,True,0.29958188153310117
Dfr,acquired,136,0.6143205574912893,0.7109756097560975,False,0.0966550522648082
AAC(6'),acquired,174,0.5747038327526132,0.7406271777003485,False,0.1659233449477353
ParC,chromosomal,274,0.570766550522648,0.9340766550522648,False,0.36331010452961676
TEM,acquired,158,0.5614634146341463,0.7608362369337979,False,0.1993728222996516
MphA,acquired,102,0.550766550522648,0.6950522648083625,False,0.14428571428571446
APH(3'),acquired,86,0.5483623693379791,0.6056445993031359,False,0.05728222996515675
Cat,acquired,111,0.5483275261324042,0.6316376306620208,False,0.08331010452961662
AAC(3),acquired,86,0.5406620209059233,0.7005574912891986,False,0.15989547038327534
QnrB,acquired,51,0.5378048780487806,0.6002439024390244,False,0.062439024390243736
KPC,acquired,92,0.5347386759581882,0.6942508710801393,False,0.15951219512195103
Mrx,acquired,102,0.5336933797909408,0.6714634146341464,False,0.1377700348432056
ArmA,acquired,41,0.5255400696864112,0.6062020905923345,False,0.08066202090592334
NDM,acquired,47,0.5249825783972126,0.6060975609756099,False,0.08111498257839722
ANT(3''),acquired,127,0.5247735191637631,0.7278048780487805,False,0.20303135888501733
MsrE,acquired,45,0.5203135888501742,0.6341811846689895,False,0.11386759581881534
MphE,acquired,45,0.5188501742160279,0.610034843205575,False,0.09118466898954714
QnrS,acquired,33,0.5158536585365854,0.5785714285714286,False,0.06271777003484325
CMY,acquired,13,0.5145296167247387,0.512404181184669,False,-0.00212543554006972
DHA,acquired,13,0.5136585365853659,0.5101045296167247,False,-0.0035540069686411657
StrA,acquired,76,0.5084668989547039,0.6687456445993031,False,0.1602787456445992
CTX-M,acquired,139,0.5083275261324042,0.7408710801393728,False,0.23254355400696858
FloR,acquired,12,0.500418118466899,0.5008710801393728,False,0.00045296167247377284
Sul,acquired,148,0.4960627177700348,0.6665156794425088,False,0.17045296167247398
StrB,acquired,76,0.4826480836236934,0.6458885017421604,False,0.163240418118467
Arr,acquired,31,0.4789198606271776,0.5027526132404181,False,0.02383275261324047
SHV-OKP-LEN,acquired,266,0.47,0.8935540069686411,False,0.4235540069686411
CmlA,acquired,17,0.4665505226480836,0.524006968641115,False,0.057456445993031346
TetD,acquired,36,0.4589547038327525,0.5979790940766551,False,0.13902439024390256
TetA,acquired,41,0.3829616724738675,0.5691637630662021,False,0.1862020905923346
